"zone","state","lga","sector","ea","hhid","s10q1","s10q2","s10q3","s10q4","s10q5","s10q6","s10q7","s10q8"
1,23,2311,2,516,230089,1,50000,2,,,2,,
1,23,2316,1,140,230109,2,,1,2,20000,2,,
6,24,2415,1,696,240005,2,,1,2,20000,2,,
6,24,2415,1,696,240009,2,,2,,,1,,4000
6,24,2403,1,1588,240011,2,,1,2,36000,2,,
6,24,2403,1,1588,240018,2,,1,1,32000,2,,
6,24,2403,1,3592,240021,2,,1,1,6000,2,,
6,24,2403,1,3592,240030,2,,1,1,186000,2,,
6,24,2403,1,674,240032,1,500,2,,,2,,
6,24,2403,1,674,240035,2,,1,1,100000,2,,
6,24,2401,1,766,240045,2,,2,,,2,,
6,24,2401,1,766,240048,2,,1,1,140400,2,,
6,24,2403,1,7586,240052,2,,1,1,120000,2,,
6,24,2403,1,7586,240057,2,,1,1,60000,2,,
6,24,2403,1,7586,240060,2,,1,1,36000,2,,
6,24,2419,1,330,240087,2,,1,1,72000,2,,
6,24,2412,1,2798,240091,2,,1,1,60000,2,,
6,24,2405,1,134,240113,2,,1,1,60000,2,,
6,24,2413,1,306,240124,2,,1,1,48000,2,,
6,24,2413,1,306,240127,2,,1,1,735000,2,,
6,24,2417,1,924,240131,2,,1,1,200000,2,,
6,24,2417,1,924,240136,2,,1,2,240000,2,,
6,24,2411,1,788,240155,1,1000,1,1,24000,2,,
6,24,2411,1,788,240160,2,,1,1,330000,2,,
6,24,2407,2,396,240163,1,5000,2,,,2,,
1,25,2508,1,2788,250001,1,6000,2,,,1,,6000
1,25,2508,1,2788,250002,1,70000,2,,,1,,200000
1,25,2508,1,2788,250004,2,,2,,,1,,160000
1,25,2508,1,2788,250005,2,,2,,,1,,5000
1,25,2508,1,2788,250009,1,0,2,,,2,,
1,25,2504,2,222,250011,2,,1,1,8000,2,,
1,25,2504,2,222,250012,2,,1,1,15000,2,,
1,25,2504,2,222,250017,1,24000,1,1,2500,1,,24000
1,25,2504,2,222,250018,1,50000,2,,,1,,50000
1,25,2504,2,222,250020,1,15000,1,1,19200,1,,60000
1,25,2509,2,248,250027,2,,2,,,1,,480000
1,25,2509,2,248,250029,2,,2,,,1,,450000
1,25,2507,2,814,250031,2,,2,,,1,,50000
1,25,2507,2,814,250036,2,,2,,,1,,500
1,25,2507,2,814,250038,2,,2,,,1,,30000
1,25,2507,2,814,250040,2,,2,,,1,,20000
1,25,2513,2,128,250044,2,,2,,,1,,60000
1,25,2511,2,1424,250061,2,,2,,,1,,18000
1,25,2511,2,1424,250063,2,,2,,,1,,13500
1,25,2511,2,1424,250067,2,,2,,,1,,6000
1,25,2511,2,1424,250069,2,,2,,,1,,3000
1,26,2613,2,1462,260153,1,5000,2,,,2,,
1,26,2616,2,254,260167,2,,1,3,40000,2,,
6,27,2701,1,506,270002,1,80000,1,1,50000,2,,
6,27,2704,2,204,270011,2,,1,1,10000,2,,
6,27,2704,2,204,270014,2,,2,,,1,,52000
6,27,2704,2,204,270020,2,,1,1,12000,2,,
6,27,2715,2,752,270024,2,,1,3,,2,,
6,27,2709,1,1646,270033,2,,1,3,96000,2,,
6,27,2712,2,110,270041,2,,1,3,15000,2,,
6,27,2712,2,110,270042,2,,1,1,9600,2,,
6,27,2712,2,110,270043,2,,1,1,24000,2,,
6,27,2712,2,110,270044,2,,1,1,40000,2,,
6,27,2712,2,110,270048,2,,1,1,20000,2,,
6,27,2712,2,110,270050,2,,1,1,30000,2,,
6,27,2711,1,710,270059,2,,2,,,1,,20000
6,27,2703,1,1612,270063,2,,1,3,20000,2,,
6,27,2703,1,1612,270064,2,,1,1,30000,2,,
6,27,2703,1,1612,270065,2,,1,1,4000000,2,,
6,27,2703,1,1612,270066,2,,1,1,60000,2,,
6,27,2707,1,1410,270072,2,,1,1,126000,2,,
6,27,2707,1,1410,270077,2,,1,1,30000,2,,
6,27,2719,2,100,270083,1,1000,2,,,2,,
6,27,2703,1,1076,270092,2,,1,1,2000,2,,
6,27,2703,1,1076,270095,2,,1,1,120000,2,,
6,27,2703,1,1076,270096,2,,2,,,1,,20000
6,27,2703,1,1076,270097,2,,1,1,2000,2,,
6,27,2703,1,1076,270098,2,,2,,,1,,
6,27,2707,1,2136,270103,2,,2,,,1,,200000
6,27,2707,1,2136,270106,2,,1,1,84000,2,,
6,27,2707,1,2136,270108,2,,1,1,56000,2,,
6,28,2806,1,802,280001,1,1250,1,2,100000,1,,185000
6,28,2806,1,802,280007,2,,1,1,44000,2,,
6,28,2806,1,802,280008,1,,2,,,2,,
6,28,2806,1,164,280018,1,5000,2,,,2,,
6,28,2806,1,164,280019,2,,1,1,60000,2,,
6,28,2806,1,164,280020,1,,1,1,75000,2,,
6,28,2816,1,2302,280027,2,,1,1,12000,2,,
6,28,2811,2,588,280060,1,30000,2,,,2,,
6,28,2815,2,1164,280066,1,100000,2,,,2,,
6,28,2810,2,2394,280096,2,,1,3,200000,2,,
6,28,2810,1,3722,280102,2,,1,3,88000,2,,
6,28,2810,1,3722,280104,2,,1,3,30000,2,,
6,28,2810,1,3722,280106,2,,1,3,55000,2,,
6,29,2927,1,1124,290012,2,,1,1,96000,2,,
6,29,2927,1,1124,290019,2,,1,1,204000,2,,
6,29,2930,1,1418,290026,2,,2,,,1,,40000
6,29,2930,1,1300,290033,2,,1,1,3600,2,,
6,29,2930,1,1300,290038,1,5000,2,,,2,,
6,29,2909,2,220,290047,2,,2,,,1,,50000
6,29,2905,1,384,290064,2,,1,3,1000,2,,
6,29,2905,1,384,290065,2,,2,,,1,,15000
6,29,2905,1,384,290070,1,60000,1,1,60000,2,,
6,29,2905,1,1096,290071,2,,2,,,1,,120000
6,29,2905,1,1096,290074,2,,2,,,1,,10000
6,29,2910,1,350,290081,2,,1,1,30000,1,,50000
6,29,2910,1,350,290082,2,,1,2,30800,2,,
6,29,2910,1,350,290083,2,,1,1,12000,2,,
6,29,2910,1,350,290087,2,,1,1,64000,2,,
6,29,2910,1,350,290088,2,,1,1,240000,2,,
6,29,2911,1,746,290095,2,,1,1,12000,2,,
6,29,2911,1,746,290099,2,,1,1,4800,2,,
6,29,2911,2,1870,290101,2,,1,1,16800,2,,
6,29,2923,2,1126,290114,2,,2,,,1,,150000
6,29,2923,2,1126,290115,1,200000,2,,,2,,
6,29,2923,2,1126,290116,2,,2,,,1,,20000
6,29,2923,1,396,290122,2,,1,1,2400,2,,
6,29,2923,1,396,290125,2,,2,,,1,,1200
