"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q5","s3q6","s3q7","s3q8","s3q9","s3q10","s3q11","s3q12a","s3q12b","s3q13","s3q14","s3q15","s3q16","s3q17","s3q18","s3q19","s3q20","s3q21a","s3q21b","s3q22","s3q23a","s3q23b","s3q24","s3q25","s3q26","s3q27","s3q28","s3q29","s3q30","s3q31","s3q32","s3q33a","s3q33b","s3q34","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38a","s3q38b"
4,1,106,2,880,10023,1,1,1,,2,1,2,1,,,,,,,9211,1,10,11,51,20,2,2,,,,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,106,2,880,10023,2,1,2,1,2,1,2,1,,,,,,,9211,1,10,11,51,20,2,2,,,,,,2,,,,,,,,,,,,,,2,2,,0,5
4,1,106,2,880,10024,1,1,1,,2,1,2,1,,,,,,,6210,1,10,9,36,42,2,2,,,,,,2,,,,,,,,,,,,,,2,0,15,0,
4,1,106,2,880,10024,2,1,2,1,2,1,2,1,,,,,,,6210,1,10,9,36,42,2,2,,,,,,2,,,,,,,,,,,,,,2,1,20,1,
4,1,106,2,880,10025,1,1,1,,2,1,2,1,,,,,,,6210,1,10,9,36,35,2,2,,,,,,1,7212,6,10,5,20,0,1,,1200,2,2,,,2,1,20,1,15
4,1,106,2,880,10025,2,1,2,1,2,1,2,1,,,,,,,6210,1,10,9,36,35,2,2,,,,,,1,5141,10,10,9,45,0,1,,200,2,2,,,2,1,20,1,15
4,1,106,2,880,10026,1,1,1,,2,1,2,1,,,,,,,6210,1,10,9,36,21,2,2,,,,,,2,,,,,,,,,,,,,,2,0,30,0,
4,1,106,2,880,10026,2,1,2,1,2,1,2,1,,,,,,,6210,1,10,9,36,21,2,2,,,,,,2,,,,,,,,,,,,,,2,0,30,1,20
4,1,106,2,880,10027,1,1,2,1,2,2,1,1,,,,,,,7231,4,10,12,52,63,1,,3000,2,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,106,2,880,10027,2,1,1,,2,1,1,1,,,,,,,9211,1,10,12,52,28,2,2,,,,,,1,3416,8,10,10,8,28,2,2,,,,,,2,0,,0,
4,1,106,2,880,10027,3,1,1,,2,2,2,2,2,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10027,4,1,2,2,2,2,2,2,2,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10027,5,1,1,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10028,1,1,1,,2,2,2,2,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10029,1,1,2,2,2,1,1,1,,,,,,,8321,7,10,7,28,54,1,,1500,3,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,106,2,880,10029,2,1,1,,2,1,2,1,,,,,,,3213,1,10,5,20,40,1,,1000,5,2,,,2,,,,,,,,,,,,,,2,1,30,0,5
4,1,106,2,880,10030,1,1,1,,2,1,1,1,,,,,,,8321,7,10,8,32,54,1,,1000,3,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,106,2,880,10030,2,1,2,1,2,1,2,1,,,,,,,3213,1,10,6,24,45,1,,500,3,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,106,2,880,10030,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10030,4,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10030,5,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,30
4,1,106,2,880,10030,6,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10030,7,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,106,2,880,10030,8,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10031,1,1,1,,2,2,1,1,,,,,,,3416,8,10,12,52,45,1,,35000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,111,1,1146,10031,2,1,2,1,2,2,1,1,,,,,,,3416,8,10,12,52,40,1,,5000,5,2,,,2,,,,,,,,,,,,,,2,,40,,20
4,1,111,1,1146,10031,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,30
4,1,111,1,1146,10031,4,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
