"zone","state","lga","sector","ea","hhid","item_cd","s7q1","s7q2"
5,3,331,1,2322,30008,8,1,200
5,3,331,1,2322,30008,9,1,600
5,3,331,1,2322,30009,2,1,1200
5,3,331,1,2322,30009,6,1,60
5,3,331,1,2322,30009,7,1,100
5,3,331,1,2322,30009,8,1,100
5,3,331,1,516,30011,2,1,300
5,3,331,1,516,30011,4,1,400
5,3,331,1,516,30011,5,1,200
5,3,331,1,516,30011,7,1,200
5,3,331,1,516,30011,8,1,150
5,3,331,1,516,30012,5,1,200
5,3,331,1,516,30012,6,1,60
5,3,331,1,516,30012,8,1,200
5,3,331,1,516,30013,1,1,1050
5,3,331,1,516,30013,2,1,3250
5,3,331,1,516,30013,4,1,750
5,3,331,1,516,30013,5,1,750
5,3,331,1,516,30013,6,1,210
5,3,331,1,516,30013,7,1,200
5,3,331,1,516,30013,8,1,1050
5,3,331,1,516,30014,1,1,1050
5,3,331,1,516,30014,2,1,1400
5,3,331,1,516,30014,5,1,300
5,3,331,1,516,30014,6,1,30
5,3,331,1,516,30014,7,1,300
5,3,331,1,516,30014,8,1,200
5,3,331,1,516,30015,4,1,200
5,3,331,1,516,30015,9,1,300
5,3,331,1,516,30017,2,1,300
5,3,331,1,516,30019,5,1,60
5,3,331,1,516,30020,4,1,300
5,3,331,1,516,30020,7,1,100
5,3,331,1,516,30020,9,1,200
5,3,316,2,874,30022,1,1,200
5,3,316,2,874,30022,2,1,150
5,3,316,2,874,30022,3,1,200
5,3,316,2,874,30022,4,1,150
5,3,316,2,874,30022,5,1,200
5,3,316,2,874,30022,6,1,60
5,3,316,2,874,30022,7,1,400
5,3,316,2,874,30022,8,1,200
5,3,316,2,874,30022,9,1,200
5,3,316,2,874,30023,4,1,1000
5,3,316,2,874,30023,5,1,200
5,3,316,2,874,30023,6,1,250
5,3,316,2,874,30023,7,1,150
5,3,316,2,874,30023,8,1,300
5,3,316,2,874,30024,5,1,100
5,3,316,2,874,30026,2,1,1400
5,3,316,2,874,30027,2,1,200
5,3,316,2,874,30027,5,1,120
5,3,316,2,874,30027,6,1,100
5,3,316,2,874,30027,7,1,150
5,3,316,2,874,30027,8,1,200
5,3,316,2,874,30028,2,1,300
5,3,316,2,874,30028,8,1,50
5,3,316,2,874,30029,5,1,50
5,3,309,2,478,30031,1,1,200
5,3,309,2,478,30031,2,1,400
5,3,309,2,478,30031,3,1,300
5,3,309,2,478,30031,5,1,20
5,3,309,2,478,30031,8,1,200
5,3,309,2,478,30032,2,1,600
5,3,309,2,478,30032,5,1,80
5,3,309,2,478,30032,8,1,100
5,3,309,2,478,30033,2,1,400
5,3,309,2,478,30033,5,1,50
5,3,309,2,478,30033,7,1,150
5,3,309,2,478,30034,2,1,200
5,3,309,2,478,30037,2,1,1400
5,3,309,2,478,30038,2,1,700
5,3,309,2,478,30039,2,1,450
5,3,309,2,478,30039,4,1,600
5,3,309,2,478,30039,8,1,700
5,3,307,1,634,30041,5,1,40
