"zone","state","lga","sector","ea","hhid","item_cd","s5q1"
4,1,115,1,670,10007,322,1
4,1,115,1,670,10007,323,1
4,1,115,1,670,10007,326,1
4,1,115,1,670,10007,327,1
4,1,115,1,670,10007,329,1
4,1,115,1,670,10008,301,1
4,1,115,1,670,10008,302,1
4,1,115,1,670,10008,303,1
4,1,115,1,670,10008,304,4
4,1,115,1,670,10008,305,1
4,1,115,1,670,10008,307,1
4,1,115,1,670,10008,311,2
4,1,115,1,670,10008,312,1
4,1,115,1,670,10008,313,1
4,1,115,1,670,10008,319,2
4,1,115,1,670,10008,320,1
4,1,115,1,670,10008,321,1
4,1,115,1,670,10008,322,1
4,1,115,1,670,10008,323,1
4,1,115,1,670,10008,324,1
4,1,115,1,670,10008,326,2
4,1,115,1,670,10008,327,1
4,1,115,1,670,10008,328,2
4,1,115,1,670,10008,329,1
4,1,115,1,670,10008,330,1
4,1,115,1,670,10009,301,1
4,1,115,1,670,10009,302,1
4,1,115,1,670,10009,303,1
4,1,115,1,670,10009,304,2
4,1,115,1,670,10009,308,1
4,1,115,1,670,10009,311,1
4,1,115,1,670,10009,312,2
4,1,115,1,670,10009,319,1
4,1,115,1,670,10009,320,1
4,1,115,1,670,10009,321,2
4,1,115,1,670,10009,322,1
4,1,115,1,670,10009,324,1
4,1,115,1,670,10009,326,1
4,1,115,1,670,10009,327,2
4,1,115,1,670,10009,328,1
4,1,115,1,670,10009,329,2
4,1,115,1,670,10009,332,1
4,1,115,1,670,10010,301,1
4,1,115,1,670,10010,303,1
4,1,115,1,670,10010,304,3
4,1,115,1,670,10010,305,2
4,1,115,1,670,10010,306,1
4,1,115,1,670,10010,308,1
4,1,115,1,670,10010,311,1
4,1,115,1,670,10010,312,1
4,1,115,1,670,10010,319,2
4,1,115,1,670,10010,320,1
4,1,115,1,670,10010,321,3
4,1,115,1,670,10010,322,1
4,1,115,1,670,10010,326,1
4,1,115,1,670,10010,327,1
4,1,115,1,670,10010,328,2
4,1,115,1,670,10010,329,1
4,1,115,1,670,10010,330,1
4,1,104,2,1364,10011,304,2
4,1,104,2,1364,10011,305,1
4,1,104,2,1364,10011,321,1
4,1,104,2,1364,10011,322,1
4,1,104,2,1364,10011,327,1
4,1,104,2,1364,10012,303,1
4,1,104,2,1364,10012,305,1
4,1,104,2,1364,10012,320,1
4,1,104,2,1364,10012,321,1
4,1,104,2,1364,10012,322,1
4,1,104,2,1364,10012,327,1
4,1,104,2,1364,10013,302,6
4,1,104,2,1364,10013,303,1
4,1,104,2,1364,10013,304,1
4,1,104,2,1364,10013,305,1
4,1,104,2,1364,10013,306,1
4,1,104,2,1364,10013,311,1
4,1,104,2,1364,10013,312,1
4,1,104,2,1364,10013,320,1
4,1,104,2,1364,10013,321,1
4,1,104,2,1364,10013,322,1
4,1,104,2,1364,10013,326,1
4,1,104,2,1364,10013,327,1
4,1,104,2,1364,10013,329,1
4,1,104,2,1364,10014,301,1
4,1,104,2,1364,10014,303,1
4,1,104,2,1364,10014,304,3
4,1,104,2,1364,10014,305,3
4,1,104,2,1364,10014,307,1
4,1,104,2,1364,10014,311,1
4,1,104,2,1364,10014,312,1
4,1,104,2,1364,10014,321,1
4,1,104,2,1364,10014,322,1
4,1,104,2,1364,10014,326,1
4,1,104,2,1364,10014,327,1
4,1,104,2,1364,10014,329,1
4,1,104,2,1364,10015,305,1
4,1,104,2,1364,10015,306,1
4,1,104,2,1364,10015,322,1
4,1,104,2,1364,10016,301,1
4,1,104,2,1364,10016,303,1
4,1,104,2,1364,10016,304,2
4,1,104,2,1364,10016,305,2
4,1,104,2,1364,10016,307,1
4,1,104,2,1364,10016,311,2
4,1,104,2,1364,10016,312,1
4,1,104,2,1364,10016,313,1
4,1,104,2,1364,10016,319,1
4,1,104,2,1364,10016,320,1
4,1,104,2,1364,10016,321,2
4,1,104,2,1364,10016,322,1
4,1,104,2,1364,10016,323,1
4,1,104,2,1364,10016,326,1
4,1,104,2,1364,10016,327,1
4,1,104,2,1364,10016,328,1
4,1,104,2,1364,10016,329,1
4,1,104,2,1364,10017,302,3
4,1,104,2,1364,10017,303,1
4,1,104,2,1364,10017,304,3
4,1,104,2,1364,10017,305,3
4,1,104,2,1364,10017,306,1
