"zone","state","lga","sector","ea","hhid","item_cd","s8q1","s8q2"
5,3,313,2,70,30096,104,1,400
5,3,313,2,70,30099,104,1,550
5,3,313,2,70,30100,102,1,10
5,3,301,1,1198,30101,102,1,50
5,3,301,1,1198,30101,104,1,350
5,3,301,1,1198,30102,102,1,10
5,3,301,1,1198,30102,104,1,600
5,3,301,1,1198,30103,102,1,10
5,3,301,1,1198,30104,102,1,20
5,3,301,1,1198,30105,103,1,280
5,3,301,1,1198,30107,102,1,20
5,3,301,1,1198,30108,102,1,30
5,3,301,1,1198,30109,102,1,10
5,3,326,2,74,30111,102,1,10
5,3,326,2,74,30111,104,1,300
5,3,326,2,74,30112,102,1,5
5,3,326,2,74,30113,102,1,5
5,3,326,2,74,30113,104,1,600
5,3,326,2,74,30114,102,1,10
5,3,326,2,74,30114,104,1,500
5,3,326,2,74,30115,102,1,10
5,3,326,2,74,30118,102,1,20
5,3,326,2,74,30119,103,1,130
5,3,326,2,74,30120,102,1,20
5,3,305,2,1542,30121,102,1,5
5,3,305,2,1542,30121,104,1,260
5,3,305,2,1542,30122,102,1,10
5,3,305,2,1542,30122,104,1,360
5,3,305,2,1542,30123,102,1,10
5,3,305,2,1542,30123,104,1,650
5,3,305,2,1542,30124,102,1,40
5,3,305,2,1542,30124,104,1,500
5,3,305,2,1542,30125,102,1,50
5,3,305,2,1542,30126,102,1,5
5,3,305,2,1542,30127,102,1,20
5,3,305,2,1542,30128,102,1,50
5,3,305,2,1542,30128,103,1,300
5,3,305,2,1542,30130,102,1,20
5,3,305,2,1542,30130,103,1,300
5,3,312,2,20,30132,102,1,5
5,3,312,2,20,30133,102,1,20
5,3,312,2,20,30133,104,1,300
5,3,312,2,20,30134,102,1,10
5,3,312,2,20,30134,104,1,600
5,3,312,2,20,30135,102,1,80
5,3,312,2,20,30136,102,1,10
5,3,312,2,20,30139,102,1,50
5,3,312,2,20,30140,102,1,30
5,3,305,2,4,30141,102,1,20
5,3,305,2,4,30142,104,1,180
5,3,305,2,4,30144,102,1,50
5,3,305,2,4,30145,102,1,50
5,3,305,2,4,30146,102,1,20
5,3,305,2,4,30146,104,1,350
5,3,305,2,4,30147,102,1,5
5,3,305,2,4,30147,104,1,500
5,3,305,2,4,30148,102,1,5
5,3,305,2,4,30149,102,1,5
5,3,305,2,4,30150,102,1,20
4,4,418,1,44,40001,102,1,40
4,4,418,1,44,40001,104,1,1600
4,4,418,1,44,40002,102,1,20
4,4,418,1,44,40002,104,1,680
4,4,418,1,44,40003,102,1,10
4,4,418,1,44,40003,104,1,300
4,4,418,1,44,40004,101,1,30
4,4,418,1,44,40004,102,1,10
4,4,418,1,44,40005,104,1,500
4,4,418,1,44,40006,102,1,20
4,4,418,1,44,40006,104,1,400
4,4,418,1,44,40007,102,1,20
4,4,418,1,44,40007,104,1,500
4,4,418,1,44,40008,102,1,20
4,4,418,1,44,40008,104,1,400
4,4,418,1,44,40009,102,1,10
4,4,418,1,44,40009,104,1,280
4,4,418,1,44,40010,102,1,40
4,4,418,1,44,40010,104,1,240
4,4,417,1,678,40011,102,1,40
4,4,417,1,678,40011,104,1,1200
4,4,417,1,678,40012,102,1,50
4,4,417,1,678,40013,102,1,20
4,4,417,1,678,40013,104,1,400
4,4,417,1,678,40014,102,1,10
4,4,417,1,678,40014,104,1,200
4,4,417,1,678,40015,102,1,10
4,4,417,1,678,40015,104,1,500
4,4,417,1,678,40016,102,1,20
4,4,417,1,678,40016,103,1,600
4,4,417,1,678,40016,104,1,200
4,4,417,1,678,40017,101,1,300
4,4,417,1,678,40017,102,1,20
4,4,417,1,678,40017,104,1,400
4,4,417,1,678,40018,102,1,10
4,4,417,1,678,40018,104,1,1300
4,4,417,1,678,40019,102,1,20
4,4,417,1,678,40019,104,1,700
4,4,417,1,678,40020,102,1,10
4,4,417,1,678,40020,104,1,500
4,4,416,1,616,40021,102,1,5
4,4,416,1,616,40021,104,1,300
4,4,416,1,616,40022,102,1,10
4,4,416,1,616,40022,104,1,300
4,4,416,1,616,40023,102,1,10
4,4,416,1,616,40023,104,1,400
4,4,416,1,616,40024,102,1,10
4,4,416,1,616,40024,103,1,100
4,4,416,1,616,40024,104,1,250
4,4,416,1,616,40025,102,1,30
4,4,416,1,616,40025,103,1,100
