"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
4,1,108,2,904,10106,0,0,0,0,1,0,0,0,0,2,,1,,,,2,,,,,,,,,
4,1,108,2,904,10107,0,1,1,1,0,0,0,0,0,2,3,1,,,,1,,2,,,7,,1,2,
4,1,108,2,904,10108,0,5,5,5,0,0,0,1,1,3,,1,,,,2,,,,,,,,,
4,1,108,2,904,10109,0,0,2,2,2,0,0,0,0,3,,2,2,1,,1,,3,,,,,9,,
4,1,108,2,904,10110,0,1,1,0,0,0,0,0,0,3,3,1,,,,1,,3,,,7,,3,2,
2,2,209,2,1040,20001,6,2,0,1,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,
2,2,209,2,1040,20002,4,2,1,3,1,0,0,0,0,3,,1,,,,1,8,7,,,,,1,2,3
2,2,209,2,1040,20003,0,2,0,0,0,0,0,0,0,2,4,1,,,,1,8,7,,,,,3,4,5
2,2,209,2,1040,20004,3,2,1,3,0,0,3,1,0,2,2,1,,,,1,3,4,,,,,1,2,3
2,2,209,2,1040,20005,3,0,0,3,3,0,0,0,0,2,3,1,,,,1,5,,,,,,5,1,
2,2,209,2,1040,20006,3,0,0,0,0,0,0,0,0,2,4,1,,,,2,,,,,,,,,
2,2,209,2,1040,20007,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,209,2,1040,20008,,6,0,2,0,0,2,2,2,2,3,1,,,,1,8,9,,,,,1,2,3
2,2,209,2,1040,20009,2,0,1,1,0,0,0,0,0,2,0,1,,,,1,10,,,,,,2,1,3
2,2,209,2,1040,20010,0,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,221,2,18,20011,,,,,,,,,,,,1,,,,,,,,,,,,,
2,2,221,2,18,20012,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,9,1,3,,,,,
2,2,221,2,18,20013,4,4,7,0,2,0,0,3,0,3,3,1,,,,2,,,,,,,,,
2,2,221,2,18,20014,0,0,0,0,0,0,0,0,0,3,4,1,,,,1,8,8,,,,,3,4,
2,2,221,2,18,20015,,,,,,,,,,,,1,,,,,,,,,,,,,
2,2,221,2,18,20016,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,221,2,18,20017,0,0,0,0,0,0,0,0,0,2,3,1,,,,1,4,4,,,,,3,2,
2,2,221,2,18,20018,1,1,0,0,0,0,0,0,0,3,3,1,,,,3,,,,,,,,,
2,2,221,2,18,20019,1,3,3,0,0,0,0,0,0,2,3,1,,,,1,8,,,,,,1,,
2,2,221,2,18,20020,0,2,2,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,201,2,60,20021,0,0,0,2,3,4,0,0,4,2,2,1,,,,2,,,,,,,,,
2,2,201,2,60,20022,0,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,
2,2,201,2,60,20023,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,201,2,60,20024,3,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
2,2,201,2,60,20025,2,0,0,0,7,0,0,0,0,2,2,1,,,,1,,9,,,,,1,,
2,2,201,2,60,20026,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,201,2,60,20027,0,0,0,0,1,0,0,0,0,2,0,1,,,,2,,,,,,,,,
2,2,201,2,60,20028,0,0,0,0,0,0,0,0,0,2,4,1,,,,2,,,,,,,,,
2,2,201,2,60,20029,2,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,201,2,60,20030,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
2,2,216,2,200,20031,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,216,2,200,20032,2,2,1,1,2,2,0,0,0,2,2,1,,,,2,,,,,,,,,
