"zone","state","lga","sector","ea","hhid","plotid","qa_type_plot","dist_household","srtmslp_nga","srtm_nga","twi_nga"
2,2,215,1,8,20088,1,1,5,1.5,574,13
2,2,215,1,8,20090,1,1,6.2,1.2,562,15
2,2,215,1,8,20090,2,1,2.3,2.1,569,15
2,2,215,1,8,20090,3,1,6.2,0.7,561,14
2,2,207,2,1302,20091,1,1,0.8,2.1,502,13
2,2,207,2,1302,20091,2,1,0.8,1.7,502,13
2,2,207,2,1302,20091,3,1,0.7,1.6,501,13
2,2,207,2,1302,20092,1,1,2.7,0.8,506,17
2,2,207,2,1302,20092,2,1,1.7,1.5,490,14
2,2,207,2,1302,20092,3,1,2.8,0.7,507,16
2,2,207,2,1302,20092,4,1,1.5,2.6,493,14
2,2,207,2,1302,20092,5,1,2.3,1.6,504,15
2,2,207,2,1302,20093,1,1,1.1,2.7,500,14
2,2,207,2,1302,20093,2,1,0.3,1.3,499,15
2,2,207,2,1302,20093,3,1,0.4,0.4,499,14
2,2,207,2,1302,20094,1,1,0.7,1,486,15
2,2,207,2,1302,20094,2,1,0.6,1.1,486,15
2,2,207,2,1302,20095,1,1,4,1.1,501,18
2,2,207,2,1302,20095,2,1,1.5,1.6,491,16
2,2,207,2,1302,20096,1,1,3.3,0.9,510,13
2,2,207,2,1302,20096,2,1,1.8,0.1,493,18
2,2,207,2,1302,20096,3,1,1.5,2.3,489,15
2,2,207,2,1302,20096,4,1,2.5,1.8,506,13
2,2,207,2,1302,20097,1,1,2.3,1.4,503,16
2,2,207,2,1302,20097,2,1,2.5,2.2,506,15
2,2,207,2,1302,20097,3,1,0.3,2.8,498,13
2,2,207,2,1302,20098,1,1,0.6,0.8,487,16
2,2,207,2,1302,20098,2,1,0.8,1.1,486,15
2,2,207,2,1302,20098,3,1,0.8,1,486,20
2,2,207,2,1302,20098,4,1,0.8,1,486,23
2,2,207,2,1302,20098,5,1,0.9,0.4,486,16
2,2,207,2,1302,20098,6,1,1,0.5,485,15
2,2,207,2,1302,20099,1,1,1.4,2,492,13
2,2,207,2,1302,20100,1,1,0.9,0.8,502,14
2,2,207,2,1302,20100,2,5,10.1,1.7,525,15
2,2,205,2,712,20101,1,1,0,18.5,566,11
2,2,205,2,712,20101,2,1,1,9.4,515,13
2,2,205,2,712,20102,1,1,0.4,2.4,523,17
2,2,205,2,712,20102,2,1,1.3,6.9,501,15
2,2,205,2,712,20102,3,1,0.1,4.6,530,16
2,2,205,2,712,20102,4,1,1.3,2.5,499,18
2,2,205,2,712,20102,5,1,2.1,7.6,539,14
2,2,205,2,712,20102,6,1,2,4.3,499,14
2,2,205,2,712,20102,7,1,1.2,3.4,499,14
2,2,205,2,712,20102,8,1,0.4,3.2,539,14
2,2,205,2,712,20103,1,1,2.4,2.6,478,17
2,2,205,2,712,20103,2,1,2.4,1.9,477,18
2,2,205,2,712,20103,3,1,3.5,3.8,467,14
2,2,205,2,712,20103,4,1,2.6,2.5,475,14
2,2,205,2,712,20104,1,1,2.2,7.4,506,14
2,2,205,2,712,20104,2,1,2.7,3.3,492,14
2,2,205,2,712,20104,3,1,2.9,1.8,489,15
2,2,205,2,712,20104,4,1,3.5,1.6,475,15
2,2,205,2,712,20104,5,1,3.2,3.4,492,13
2,2,205,2,712,20105,1,3,1.4,1.9,497,19
2,2,205,2,712,20106,1,1,1.9,2.8,494,13
