"zone","state","lga","sector","ea","c0q2","c0q3","c0q4","c0q6","c0q7","c0q9","c0q10"
5,12,1214,2,452,1201,10/6/2012,,1201,10/10/2012,,
5,12,1216,2,618,1201,10/15/2012,,1201,10/17/2012,,
6,13,1301,1,1206,1301,9/29/2012,,1301,10/1/2012,,
6,13,1303,1,626,1301,10/9/2012,10/9/2012,1301,10/11/2012,,
6,13,1305,2,10,1301,10/6/2012,,1301,10/11/2012,,
6,13,1305,1,1232,1301,10/2/2012,,1301,10/6/2012,,
6,13,1307,1,268,1301,10/4/2012,,1301,10/11/2012,,
6,13,1309,2,674,1301,10/10/2012,,1301,10/13/2012,,
6,13,1310,1,1300,1301,9/25/2012,9/26/2012,1301,9/30/2012,,
6,13,1314,1,6,1301,9/27/2012,,1301,9/30/2012,,
4,14,1401,2,1116,1401,10/19/2012,10/19/2012,1406,10/20/2012,,
4,14,1403,1,34,1401,9/22/2012,9/22/2012,1406,9/23/2012,,
4,14,1404,1,96,1401,9/19/2012,9/19/2012,1406,9/20/2012,,
4,14,1406,2,694,1401,9/28/2012,9/28/2012,1406,9/29/2012,,
4,14,1407,2,68,1401,9/27/2012,,1406,9/29/2012,,
4,14,1408,2,968,1401,10/10/2012,10/10/2012,1406,10/11/2012,,
4,14,1408,2,1996,1401,10/12/2012,10/12/2012,1406,10/13/2012,,
4,14,1410,2,236,1401,10/18/2012,10/18/2012,1406,10/19/2012,,
4,14,1411,2,1066,1401,10/20/2012,10/20/2012,1406,10/21/2012,,
4,14,1413,2,670,1401,10/16/2012,10/17/2012,1406,10/17/2012,,
4,14,1413,1,2578,1401,10/7/2012,10/8/2012,1406,10/8/2012,,
4,14,1415,2,156,1401,9/28/2012,9/28/2012,1406,9/29/2012,,
4,14,1415,2,952,1401,10/8/2012,10/9/2012,1406,10/9/2012,,
4,14,1416,2,2314,1401,9/25/2012,9/26/2012,1406,9/26/2012,,
2,15,1502,2,590,1501,10/6/2012,,1501,10/27/2012,,
2,15,1503,2,634,1501,10/3/2012,,1501,10/27/2012,,
2,15,1506,1,148,1501,9/23/2012,,1501,10/27/2012,,
2,15,1506,1,398,1501,9/21/2012,,1501,10/26/2012,,
2,15,1507,2,458,1501,10/12/2012,,1501,10/27/2012,,
2,15,1508,2,1682,1501,9/26/2012,,1501,10/26/2012,,
2,15,1510,2,616,1501,10/16/2012,,1501,10/27/2012,,
2,15,1511,2,1938,1501,10/3/2012,,1501,10/27/2012,,
4,16,1601,2,954,1607,9/20/2012,10/19/2012,1610,12/20/2012,,
4,16,1602,2,1576,1601,9/20/2012,10/19/2012,1610,10/23/2012,,
4,16,1603,2,158,1607,10/15/2012,10/19/2012,1610,10/20/2012,,
4,16,1605,2,180,1607,10/17/2012,10/19/2012,1610,12/20/2012,,
4,16,1606,2,590,1601,10/2/2012,10/19/2012,1610,10/23/2012,,
4,16,1608,2,1104,1601,10/13/2012,10/19/2012,1610,10/23/2012,,
4,16,1609,2,738,1601,9/30/2012,10/19/2012,1610,10/23/2012,,
4,16,1610,2,1006,1601,10/7/2012,10/19/2012,1610,10/23/2012,,
4,16,1612,2,108,1607,9/24/2012,10/19/2012,1610,10/20/2012,,
4,16,1612,2,414,1601,10/16/2012,10/19/2012,1610,10/23/2012,,
4,16,1613,2,440,1607,10/10/2012,10/19/2012,1610,12/20/2012,,
4,16,1616,2,296,1607,9/28/2012,10/19/2012,1610,10/20/2012,,
4,16,1618,2,1060,1607,10/4/2012,10/19/2012,1610,10/20/2012,,
4,16,1620,2,106,1607,10/5/2012,10/19/2012,1610,10/20/2012,,
4,16,1622,2,18,1601,9/23/2012,10/19/2012,1610,10/23/2012,,
4,16,1624,1,136,1601,9/26/2012,10/19/2012,1610,10/23/2012,,
4,16,1624,1,286,1601,10/10/2012,10/19/2012,1610,10/23/2012,,
4,16,1625,2,1210,1607,10/24/2012,10/19/2012,1610,10/25/2012,,
4,16,1626,2,1546,1601,10/20/2012,10/19/2012,1610,10/23/2012,,
3,17,1702,2,510,1701,10/5/2012,,1707,10/22/2012,,
3,17,1704,2,1080,1701,9/2/2012,,1707,10/22/2012,,
3,17,1704,1,2074,1701,9/23/2012,,1707,10/22/2012,,
3,17,1706,2,284,1701,9/25/2012,,1707,10/22/2012,,
3,17,1710,2,546,1701,9/29/2012,,1707,10/22/2012,,
3,17,1712,2,794,1701,10/9/2012,,1707,,,
3,17,1713,1,226,1701,9/27/2012,,1707,10/22/2012,,
3,17,1715,2,2244,1701,10/3/2012,,1707,10/22/2012,,
3,17,1716,2,1452,1701,10/1/2012,,1707,,,
3,17,1719,2,1354,1701,10/15/2012,,1707,10/22/2012,,
3,17,1722,2,96,1701,10/13/2012,,1707,10/22/2012,,
3,17,1724,2,786,1701,10/11/2012,,1707,10/22/2012,,
3,17,1727,2,634,1701,10/7/2012,,1707,10/22/2012,,
3,18,1803,2,840,1801,9/27/2012,,1806,9/27/2012,,
3,18,1805,2,534,1801,10/2/2012,,1806,,,
3,18,1808,2,1726,1801,10/7/2012,,1806,10/7/2012,,
3,18,1809,1,1272,1801,9/24/2012,,1806,9/24/2012,,
3,18,1811,2,364,1801,10/6/2012,,1806,10/6/2012,,
3,18,1814,2,678,1801,10/14/2012,,1806,10/14/2012,,
3,18,1816,1,378,1801,9/27/2012,,1806,9/27/2012,,
3,18,1817,2,370,1801,10/17/2012,,1806,10/17/2012,,
3,18,1820,2,450,1801,10/11/2012,,1806,,,
3,18,1822,2,1654,1801,10/10/2012,,1806,10/10/2012,,
3,18,1823,1,1822,1801,9/25/2012,,1806,9/25/2012,,
3,19,1901,2,640,1901,9/29/2012,9/29/2012,1912,10/23/2012,12,
3,19,1902,2,52,1901,10/1/2012,10/1/2012,1912,10/23/2012,12,
3,19,1905,2,1290,1902,9/27/2012,,1913,10/24/2012,,
3,19,1908,2,284,1902,9/25/2012,,1913,10/24/2012,,
3,19,1910,2,808,1902,9/30/2012,,1913,10/24/2012,,
3,19,1912,1,1510,1902,9/20/2012,,1913,9/24/2012,,
3,19,1914,2,934,1901,9/8/2012,9/9/2012,1912,10/23/2012,,
3,19,1916,2,1516,1901,9/26/2012,9/26/2012,1912,10/22/2012,12,
3,19,1919,2,366,1902,9/11/2012,,1913,9/24/2012,,
3,19,1921,1,842,1901,9/19/2012,9/19/2012,1912,10/22/2012,12,10/22/2012
3,19,1923,2,284,1902,9/15/2012,,1913,10/24/2012,,
3,19,1925,1,2858,1902,9/23/2012,,1913,10/24/2012,,
3,19,1925,2,3394,1901,9/21/2012,9/21/2012,1912,10/22/2012,12,10/22/2012
3,19,1928,2,526,1902,10/15/2012,,1913,9/24/2012,,
3,19,1932,2,562,1902,9/3/2012,,1913,10/24/2012,,
3,19,1934,2,386,1902,9/12/2012,,1913,9/24/2012,,
3,19,1936,2,1994,1901,10/5/2012,10/5/2012,1912,10/23/2012,,
3,19,1937,2,432,1901,10/3/2012,10/3/2012,1912,10/23/2012,,
3,19,1941,2,518,1901,10/9/2012,10/9/2012,1912,10/23/2012,,
3,19,1943,2,668,1901,9/25/2012,9/25/2012,1912,10/22/2012,12,
3,20,2001,2,1354,2001,9/25/2012,9/25/2012,2010,10/11/2012,,
3,20,2003,2,784,2002,9/27/2012,,2000,,,
3,20,2005,2,970,2002,9/25/2012,,2000,,,
3,20,2008,2,1474,2001,9/30/2012,,2010,10/1/2012,,
3,20,2009,2,240,2001,10/1/2012,10/2/2012,2010,10/11/2012,,
3,20,2012,1,844,2001,10/12/2012,10/13/2012,2010,10/15/2012,,
3,20,2013,2,1232,2001,10/3/2012,10/4/2012,2010,10/13/2012,,
3,20,2015,2,1746,2002,10/8/2012,,2000,,,
3,20,2018,2,1134,2002,9/22/2012,,2000,,,
3,20,2019,2,344,2001,10/10/2012,10/12/2012,2010,,,
3,20,2021,1,3300,2002,9/21/2012,,2000,,,
3,20,2022,2,1130,2002,10/9/2012,,2000,,,
3,20,2025,2,760,2001,9/25/2012,9/26/2012,2010,10/1/2012,,
3,20,2025,2,1304,2001,9/24/2012,9/25/2012,2010,10/1/2012,,
3,20,2028,2,498,2001,10/7/2012,10/9/2012,2010,10/12/2012,,
3,20,2030,2,1050,2002,9/29/2012,,2000,,,
3,20,2032,1,1390,2002,,,2000,,,
3,20,2032,2,1772,2002,10/4/2012,,2000,,,
3,21,2102,2,1124,2101,10/15/2012,10/16/2012,2101,,,
3,21,2106,2,236,2101,9/24/2012,9/25/2012,2101,10/4/2012,,
3,21,2106,2,2822,2101,9/24/2012,,2101,9/28/2012,,
3,21,2108,1,520,2101,10/11/2012,10/11/2012,2101,,,
3,21,2109,2,38,2101,9/29/2012,,2101,,,
3,21,2111,2,180,2101,10/20/2012,10/20/2012,2101,,,
3,21,2115,2,926,2101,10/6/2012,,2101,,,
3,21,2117,2,554,2101,10/8/2012,10/9/2012,2101,,,
3,21,2119,2,2146,2101,10/3/2012,10/3/2012,2101,,,
3,21,2119,2,3956,2101,10/1/2012,10/2/2012,2101,10/9/2012,,
1,22,2201,2,422,2201,9/20/2012,,2201,,,
1,22,2203,2,266,2201,10/10/2012,,2201,10/12/2012,,
1,22,2203,2,530,2201,10/9/2012,,2201,10/13/2012,,
1,22,2205,2,664,2201,10/7/2012,,2201,10/13/2012,,
1,22,2205,2,2432,2201,10/5/2012,,2201,10/6/2012,,
1,22,2209,1,792,2201,9/27/2012,,2201,10/6/2012,,
1,22,2211,2,594,2201,10/12/2012,,2201,10/15/2012,,
1,22,2211,1,806,2201,10/13/2012,,2201,10/15/2012,,
1,22,2214,2,1354,2201,10/4/2012,,2201,10/6/2012,,
1,22,2216,1,428,2201,9/19/2012,,2201,9/25/2012,,
1,22,2218,2,596,2201,10/11/2012,,2201,10/15/2012,,
1,22,2220,1,1296,2201,9/29/2012,,2201,10/6/2012,,
1,23,2302,2,1982,2301,10/11/2012,,2301,11/4/2012,,
1,23,2303,2,2348,2301,10/17/2012,,2301,,,
1,23,2304,2,322,2301,10/6/2012,,2301,11/4/2012,,
1,23,2306,1,970,2301,9/27/2012,,2301,11/4/2012,,
1,23,2307,1,78,2301,9/25/2012,,2301,11/3/2012,,
1,23,2307,1,2316,2301,9/23/2012,,2301,11/3/2012,,
1,23,2308,1,556,2301,9/29/2012,,2301,11/4/2012,,
1,23,2308,1,5180,2301,9/20/2012,,2301,11/3/2012,,
1,23,2309,2,998,2301,10/4/2012,,2301,11/4/2012,,
1,23,2311,2,516,2301,10/9/2012,,2301,11/4/2012,,
1,23,2315,2,924,2301,10/1/2012,,2301,11/4/2012,,
1,23,2316,1,140,2301,10/15/2012,,2301,11/4/2012,,
6,24,2401,1,766,2401,9/19/2012,9/19/2012,2402,11/1/2012,,
6,24,2403,1,674,2402,9/28/2012,9/28/2012,2401,9/28/2012,2,9/28/2012
6,24,2403,1,1588,2401,9/25/2012,9/25/2012,2402,11/1/2012,,
6,24,2403,1,3592,2401,,,2402,,,
6,24,2403,1,7586,2401,9/22/2012,9/22/2012,2402,11/1/2012,,
6,24,2405,1,134,2401,10/1/2012,10/1/2012,2402,11/2/2012,,
6,24,2407,2,396,2401,10/12/2012,10/12/2012,2402,11/2/2012,,
6,24,2408,1,2074,2402,10/2/2012,10/2/2012,2401,10/2/2012,2,10/2/2012
6,24,2411,1,788,2401,10/13/2012,10/13/2012,2402,11/1/2012,,
6,24,2412,1,2798,2402,9/30/2012,9/30/2012,2401,9/30/2012,2,9/30/2012
6,24,2413,1,306,2402,9/20/2012,9/20/2012,2401,9/20/2012,2,9/20/2012
6,24,2415,1,696,2402,9/27/2012,9/27/2012,2401,9/27/2012,2,9/27/2012
6,24,2417,1,112,2401,9/27/2012,9/27/2012,2402,11/1/2012,,
6,24,2417,1,924,2402,10/8/2012,10/8/2012,2401,10/8/2012,2,10/8/2012
6,24,2418,1,1770,2402,10/5/2012,10/5/2012,2401,10/5/2012,2,10/5/2012
6,24,2419,1,330,2402,10/1/2012,10/1/2012,2401,10/1/2012,2,10/1/2012
6,24,2420,1,402,2401,10/4/2012,10/4/2012,2402,11/2/2012,,
1,25,2502,2,728,2501,,,2500,,,
1,25,2504,2,222,2501,10/9/2012,,2505,10/16/2012,,
1,25,2507,2,814,2501,10/13/2012,,2505,10/21/2012,,
1,25,2508,1,2788,2501,9/20/2012,,2505,10/4/2012,,
1,25,2509,2,248,2501,10/9/2012,,2505,10/21/2012,,
1,25,2511,2,1424,2501,9/22/2012,,2505,10/6/2012,,
1,25,2513,2,128,2501,10/5/2012,,2505,10/16/2012,,
1,26,2601,2,822,2602,10/5/2012,,2610,10/9/2012,,
1,26,2603,1,658,2602,8/19/2012,,2610,10/1/2012,,
1,26,2603,1,1786,2602,8/19/2012,,2610,10/1/2012,,
1,26,2605,2,594,2602,9/29/2012,,2610,10/2/2012,,
1,26,2606,1,516,2601,9/20/2012,,2601,9/25/2012,,
1,26,2608,2,820,2602,9/5/2012,,2610,10/12/2012,,
1,26,2611,2,424,2601,10/10/2012,,2601,10/12/2012,,
1,26,2613,2,1462,2602,10/3/2012,,2610,10/12/2012,,
1,26,2613,2,2248,2602,10/6/2012,,2610,10/12/2012,,
1,26,2615,2,2178,2601,10/14/2012,,2601,10/15/2012,,
1,26,2615,2,2196,2601,10/11/2012,,2601,10/14/2012,,
1,26,2616,2,254,2602,10/7/2012,,2610,10/12/2012,,
1,26,2618,2,494,2601,10/1/2012,,2601,10/2/2012,,
1,26,2618,2,1276,2601,10/1/2012,,2601,10/1/2012,,
1,26,2621,2,100,2601,10/13/2012,,2601,10/14/2012,,
1,26,2621,1,940,2601,10/13/2012,,2601,10/14/2012,,
1,26,2623,2,1688,2601,9/27/2012,,2601,9/27/2012,,
1,26,2625,2,926,2602,10/9/2012,,2610,10/12/2012,,
6,27,2701,1,506,2701,9/18/2012,,2701,10/29/2012,,
6,27,2703,1,1076,2701,10/2/2012,,2701,10/30/2012,,
6,27,2703,1,1612,2701,10/6/2012,,2701,10/30/2012,,
6,27,2704,2,204,2701,10/22/2012,,2701,10/29/2012,,
6,27,2707,1,1410,2701,9/27/2012,,2701,10/30/2012,,
6,27,2707,1,2136,2701,9/27/2012,,2701,10/30/2012,,
6,27,2709,1,1646,2701,10/13/2012,,2700,,1,10/30/2012
6,27,2711,1,710,2701,10/9/2012,,2701,12/30/2012,,
6,27,2712,2,110,2701,10/10/2012,,2701,10/30/2012,,
6,27,2715,2,752,2701,10/14/2012,,2701,10/29/2012,,
6,27,2719,2,100,2701,,10/17/2012,2701,10/30/2012,,
6,28,2802,2,566,2801,9/27/2012,,2801,10/1/2012,,
6,28,2804,1,340,2801,9/24/2012,,2801,9/27/2012,,
6,28,2806,1,164,2801,9/20/2012,,2801,9/24/2012,,
6,28,2806,1,802,2801,9/19/2012,,2801,9/25/2012,,
6,28,2807,2,1266,2801,11/6/2012,,2801,11/8/2012,,
6,28,2810,2,2394,2801,11/3/2012,,2801,11/6/2012,,
