"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
5,3,318,2,1136,5,2,62,11,,"WOMEN LEADER",30,31
5,3,321,2,364,1,1,67,1,,,50,43
5,3,321,2,364,2,1,85,11,,"CHAIRMAN VILLAGE",85,16
5,3,321,2,364,3,1,28,11,,"ETEUBOM MKPARAWA",28,26
5,3,321,2,364,4,2,75,11,,"WOMEN LEADER",30,16
5,3,321,2,364,5,1,65,11,,"FAMILY HEAD",65,16
5,3,321,2,364,6,1,71,11,,"FAMILY HEAD",40,16
5,3,321,2,364,7,1,53,11,,"COUNCILLOR",10,16
5,3,321,2,364,8,1,48,11,,"MESSENGER",20,16
5,3,321,2,364,9,1,,11,,"FAMILY HEAD",48,16
5,3,323,2,580,1,1,76,1,,"HEAD MAN",76,31
5,3,323,2,580,2,1,70,11,,"VILLAGE DEPUTY",70,32
5,3,323,2,580,3,1,45,11,,"SECRETARY",45,26
5,3,323,2,580,4,1,28,11,,"YOUTH LEADER",20,41
5,3,323,2,580,5,2,54,11,,"WOMEN LEADER",36,16
5,3,326,2,74,1,1,38,1,,,38,32
5,3,326,2,74,2,1,35,11,,"SECRETARY OF VILLAGE",35,41
5,3,326,2,74,3,1,68,11,,"MEMBER",50,0
5,3,326,2,74,4,1,62,11,,"MEMBER",20,13
5,3,326,2,74,5,2,50,11,,"WOMEN LEADER",30,12
5,3,326,2,74,6,1,55,11,,"MEMBER",50,26
5,3,326,2,74,7,1,66,11,,"FAMILY HEAD",40,16
5,3,329,2,696,1,1,97,1,,,20,43
5,3,329,2,696,2,1,98,11,,"DEPUTY VILLAGE HEAD",10,26
5,3,329,2,696,3,1,60,11,,"VILLAGE CHAIRMAN",2,16
5,3,329,2,696,4,2,62,11,,"WOMEN LEADER",20,16
5,3,329,2,696,5,2,70,11,,"OBONGANWAN",30,14
5,3,329,2,696,6,1,98,11,,"FAMILY HEAD",30,16
5,3,329,2,696,7,1,80,11,,"FAMILY HEAD",30,14
5,3,329,2,696,8,1,73,11,,"FAMILY HEAD",25,14
5,3,331,1,516,1,1,62,1,,,20,26
5,3,331,1,516,2,1,50,11,,"CHAIRMAN",45,26
5,3,331,1,516,3,1,30,11,,"SECRETARY",10,42
5,3,331,1,516,4,1,80,11,,"FAMILY HEAD",21,14
5,3,331,1,516,5,1,45,11,,"COUNCILLOR",40,16
5,3,331,1,516,6,2,68,11,,"OBONGANWAN",21,16
5,3,331,1,516,7,1,44,11,,"COUNCILLOR",3,16
5,3,331,1,2322,1,1,89,1,,,41,16
5,3,331,1,2322,2,1,40,8,,,40,26
5,3,331,1,2322,3,2,40,8,,,28,16
5,3,331,1,2322,4,1,87,11,,"FAMILY HEAD",31,16
5,3,331,1,2322,5,1,74,11,,"FAMILY HEAD",74,0
5,3,331,1,2322,6,1,70,11,,"FAMILY HEAD",70,0
5,3,331,1,2322,7,1,72,11,,"FAMILY HEAD",12,16
5,3,331,1,2322,8,1,62,11,,"FAMILY HEAD",35,15
4,4,401,1,738,1,1,45,1,,,11,41
4,4,401,1,738,2,2,62,8,,,62,16
4,4,401,1,738,3,1,49,8,,,21,28
4,4,401,1,738,4,2,63,8,,,16,23
4,4,401,1,738,5,1,61,8,,,31,42
4,4,401,1,738,6,1,59,7,,,58,23
4,4,401,1,1460,1,1,43,1,,,22,16
4,4,401,1,1460,2,2,34,2,,,22,28
4,4,401,1,1460,3,1,63,8,,,10,42
4,4,401,1,1460,4,1,46,8,,,16,28
4,4,401,1,1460,5,1,53,8,,,15,28
4,4,401,2,2106,1,1,63,1,,,21,43
4,4,401,2,2106,2,1,73,8,,,21,16
4,4,401,2,2106,3,2,54,8,,,16,23
4,4,401,2,2106,4,1,52,8,,,21,16
4,4,401,2,2106,5,1,19,11,,"STUDENT",19,23
4,4,402,2,1080,1,1,60,1,,,29,16
4,4,402,2,1080,2,1,63,8,,,32,16
4,4,402,2,1080,3,1,73,8,,,41,24
4,4,402,2,1080,4,1,43,5,,,29,26
4,4,402,2,1080,5,1,52,9,,,30,26
4,4,403,2,836,1,1,47,3,,,47,31
4,4,403,2,836,2,1,65,3,,,27,16
4,4,403,2,836,3,1,39,1,,,18,23
4,4,403,2,836,4,2,23,8,,,12,23
4,4,403,2,836,5,2,72,2,,,32,0
4,4,403,2,836,6,1,48,1,,,17,16
4,4,405,2,484,1,1,82,1,,,20,0
4,4,405,2,484,2,1,68,11,,"FARMER",68,16
4,4,405,2,484,3,1,60,8,,,10,16
4,4,405,2,484,4,2,50,8,,,50,16
4,4,405,2,484,5,1,58,8,,,58,13
4,4,405,2,484,6,1,57,8,,,30,16
4,4,405,2,484,7,2,26,11,,"STUDENT",2,28
4,4,405,2,484,8,2,24,11,,"STUDENT",2,28
4,4,405,2,722,1,1,95,1,,,77,11
4,4,405,2,722,2,1,92,9,,,73,12
4,4,405,2,722,3,1,73,9,,,44,15
4,4,405,2,722,4,2,72,9,,,40,0
4,4,405,2,722,5,1,55,8,,,19,16
4,4,407,2,796,1,1,51,1,,,15,28
4,4,407,2,796,2,2,54,5,,,16,
4,4,407,2,796,3,1,60,4,,,26,
4,4,407,2,796,4,1,49,5,,,19,
4,4,407,2,796,5,2,51,5,,,20,
4,4,410,1,3192,1,1,66,1,,,21,23
4,4,410,1,3192,2,2,50,8,,,13,16
4,4,410,1,3192,3,1,54,9,,,13,23
4,4,410,1,3192,4,2,40,8,,,11,16
4,4,410,1,3192,5,1,36,8,,,7,23
4,4,410,1,3414,1,1,78,1,,,40,0
4,4,410,1,3414,2,1,64,8,,,11,28
4,4,410,1,3414,3,1,60,8,,,10,16
4,4,410,1,3414,4,1,52,8,,,21,28
4,4,410,1,3414,5,2,35,8,,,11,28
4,4,410,1,3414,6,1,22,11,,"STUDENT",7,23
