"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
5,3,323,2,580,6,,1,3,2,,1,500,2,,1,,
5,3,326,2,74,1,,1,3,1,1000,2,,2,,1,25000,
5,3,326,2,74,2,1020,1,3,1,1000,1,500,2,,1,20000,
5,3,326,2,74,3,1120,1,3,1,1000,1,500,2,,1,20000,
5,3,326,2,74,4,3180,1,3,1,1500,2,,2,,1,40000,
5,3,326,2,74,5,,,,,,,,,,,,
5,3,326,2,74,6,,1,3,2,,1,700,2,,1,2000,
5,3,329,2,696,1,,1,3,1,1000,2,,1,500,1,,
5,3,329,2,696,2,1020,1,3,1,1000,1,700,1,500,1,,
5,3,329,2,696,3,1120,1,3,1,1000,1,700,1,500,1,,
5,3,329,2,696,4,,,,,,,,,,,,
5,3,329,2,696,5,,,,,,,,,,,,
5,3,329,2,696,6,,1,3,2,,1,700,2,,1,,
5,3,331,1,516,1,,1,3,1,2000,1,2000,2,,1,,
5,3,331,1,516,2,1020,1,3,1,2000,1,2000,2,,1,,
5,3,331,1,516,3,1120,1,3,1,2000,1,2000,2,,1,,
5,3,331,1,516,4,,2,,,,,,,,,,
5,3,331,1,516,5,,2,,,,,,,,,,
5,3,331,1,516,6,,1,3,1,2000,1,2000,2,,1,,
5,3,331,1,2322,1,,1,3,1,1500,1,1500,1,1000,1,,
5,3,331,1,2322,2,1020,1,3,1,2000,1,2000,1,1500,1,,
5,3,331,1,2322,3,1120,1,3,1,2000,1,2000,1,1500,1,,
5,3,331,1,2322,4,,2,,,,,,,,,,
5,3,331,1,2322,5,,2,,,,,,,,,,
5,3,331,1,2322,6,,1,3,1,2000,1,2000,1,1000,1,,
4,4,401,1,738,1,,1,3,1,1200,1,1200,2,,1,8000,
4,4,401,1,738,2,1120,1,3,1,2500,1,2500,2,,1,9000,20
4,4,401,1,738,3,1020,1,3,1,2500,1,2500,2,,1,9000,
4,4,401,1,738,4,1080,1,3,1,1000,1,1000,2,,1,5000,
4,4,401,1,738,5,,2,,,,,,,,,,
4,4,401,1,738,6,,2,,,,,,,,,,
4,4,401,1,1460,1,,1,3,1,1500,1,1500,2,,2,,
4,4,401,1,1460,2,1120,1,3,1,2000,1,2000,2,,2,,
4,4,401,1,1460,3,1020,1,3,1,2000,1,2000,2,,2,,
4,4,401,1,1460,4,1080,1,3,1,1500,1,1500,2,,2,,
4,4,401,1,1460,5,,2,,,,,,,,,,
4,4,401,1,1460,6,,1,3,1,1000,1,1000,2,,2,,
4,4,401,2,2106,1,,1,3,1,1500,1,1500,2,,1,7000,
