"zone","state","lga","sector","ea","csource_cd","c4q5","c4q6","c4q7","c4q8","c4q9","c4q10","c4q11","c4q12","c4q13","c4q14","c4q15","c4q16"
2,5,506,2,830,4,2,2,2,,,,,,,,,
2,5,508,2,718,1,1,1,1,6,10,11000,12,20,60000,20,24,124000
2,5,508,2,718,2,1,2,1,12,5,10500,12,10,55000,12,10,110000
2,5,508,2,718,3,2,2,2,,,,,,,,,
2,5,508,2,718,4,2,2,2,,,,,,,,,
2,5,508,2,984,1,2,2,2,,,,,,,,,
2,5,508,2,984,2,2,2,2,,,,,,,,,
2,5,508,2,984,3,2,2,2,,,,,,,,,
2,5,508,2,984,4,2,2,2,,,,,,,,,
2,5,510,1,872,1,2,2,2,,,,,,,,,
2,5,510,1,872,2,2,2,2,,,,,,,,,
2,5,510,1,872,3,2,2,2,,,,,,,,,
2,5,510,1,872,4,2,2,2,,,,,,,,,
2,5,510,2,1516,1,2,2,2,,,,,,,,,
2,5,510,2,1516,2,2,2,2,,,,,,,,,
2,5,510,2,1516,3,2,2,2,,,,,,,,,
2,5,510,2,1516,4,2,2,2,,,,,,,,,
2,5,513,2,348,1,2,2,2,,,,,,,,,
2,5,513,2,348,2,2,2,2,,,,,,,,,
2,5,513,2,348,3,2,2,2,,,,,,,,,
2,5,513,2,348,4,2,2,2,,,,,,,,,
2,5,514,2,710,1,1,1,1,10,21,13000,10,21,60500,20,21,121000
2,5,514,2,710,2,2,2,2,,,,,,,,,
2,5,514,2,710,3,1,1,1,12,0,10000,12,0,50000,12,0,100000
2,5,514,2,710,4,1,1,1,10,10,11000,10,10,55000,20,,110000
2,5,514,1,2036,1,1,1,1,10,21,12100,12,21,60000,12,21,121000
2,5,514,1,2036,2,2,2,2,,,,,,,,,
2,5,514,1,2036,3,2,2,2,,,,,,,,,
2,5,514,1,2036,4,1,1,1,10,,10000,,,,,,
2,5,515,2,18,1,2,2,2,,,,,,,,,
2,5,515,2,18,2,2,2,2,,,,,,,,,
2,5,515,2,18,3,2,2,2,,,,,,,,,
2,5,515,2,18,4,2,2,2,,,,,,,,,
2,5,516,2,942,1,2,2,2,,,,,,,,,
2,5,516,2,942,2,2,2,2,,,,,,,,,
2,5,516,2,942,3,2,2,2,,,,,,,,,
2,5,516,2,942,4,2,2,2,,,,,,,,,
2,5,518,2,1304,1,2,2,2,,,,,,,,,
2,5,518,2,1304,2,1,2,1,12,10,11000,12,10,55000,24,10,110000
