"zone","state","lga","sector","ea","tenure_cd","c4q1","c4q2","c4q3","c4q4"
4,4,405,2,484,7,1,1,1,
4,4,405,2,722,1,1,1,1,
4,4,405,2,722,2,1,1,1,
4,4,405,2,722,3,1,1,1,
4,4,405,2,722,4,1,1,1,
4,4,405,2,722,5,1,1,1,5000
4,4,405,2,722,6,1,1,1,700000
4,4,405,2,722,7,1,1,1,
4,4,407,2,796,1,1,1,2,
4,4,407,2,796,2,1,1,2,
4,4,407,2,796,3,2,,,
4,4,407,2,796,4,1,1,1,
4,4,407,2,796,5,1,1,1,8000
4,4,407,2,796,6,1,1,1,500000
4,4,407,2,796,7,1,1,1,
4,4,410,1,3192,1,1,1,,
4,4,410,1,3192,2,1,1,1,
4,4,410,1,3192,3,1,1,1,
4,4,410,1,3192,4,1,1,1,
4,4,410,1,3192,5,1,1,1,5000
4,4,410,1,3192,6,1,1,1,300000
4,4,410,1,3192,7,1,1,1,
4,4,410,1,3414,1,1,1,1,
4,4,410,1,3414,2,1,1,1,
4,4,410,1,3414,3,1,1,1,
4,4,410,1,3414,4,1,1,1,
4,4,410,1,3414,5,1,1,1,5000
4,4,410,1,3414,6,1,1,1,400000
4,4,410,1,3414,7,1,1,1,
4,4,410,2,4036,1,1,1,2,
4,4,410,2,4036,2,1,1,1,
4,4,410,2,4036,3,1,1,2,
4,4,410,2,4036,4,1,,,4500
4,4,410,2,4036,5,1,1,2,5600
4,4,410,2,4036,6,1,1,2,9000000
4,4,410,2,4036,7,1,1,2,
4,4,411,1,1486,1,1,1,2,
4,4,411,1,1486,2,1,1,1,
4,4,411,1,1486,3,2,,,
4,4,411,1,1486,4,1,1,2,3800
4,4,411,1,1486,5,1,1,2,4700
4,4,411,1,1486,6,1,1,2,6800000
4,4,411,1,1486,7,1,1,2,
4,4,412,2,1606,1,1,1,2,
4,4,412,2,1606,2,1,1,1,
4,4,412,2,1606,3,1,1,2,
4,4,412,2,1606,4,1,1,2,4700
4,4,412,2,1606,5,1,1,2,5000
4,4,412,2,1606,6,1,1,2,7000000
4,4,412,2,1606,7,1,1,2,
4,4,412,2,2592,1,1,1,2,
4,4,412,2,2592,2,1,1,1,
4,4,412,2,2592,3,2,,,
4,4,412,2,2592,4,1,1,2,4500
4,4,412,2,2592,5,1,1,2,5300
4,4,412,2,2592,6,1,1,2,13000000
4,4,412,2,2592,7,1,1,2,
4,4,413,2,1540,1,1,1,2,
4,4,413,2,1540,2,1,1,2,
4,4,413,2,1540,3,,,,
4,4,413,2,1540,4,1,1,1,
4,4,413,2,1540,5,1,1,1,6000
4,4,413,2,1540,6,1,1,1,400000
4,4,413,2,1540,7,1,1,1,
4,4,414,1,2176,1,1,1,2,
4,4,414,1,2176,2,1,1,1,
4,4,414,1,2176,3,2,,,
4,4,414,1,2176,4,1,1,2,4000
4,4,414,1,2176,5,1,1,2,5000
4,4,414,1,2176,6,1,1,2,10000000
4,4,414,1,2176,7,1,1,2,
4,4,415,1,2108,1,1,1,2,
4,4,415,1,2108,2,1,1,1,
4,4,415,1,2108,3,2,,,
4,4,415,1,2108,4,1,1,2,4000
4,4,415,1,2108,5,1,1,2,5000
4,4,415,1,2108,6,1,1,2,3500000
4,4,415,1,2108,7,1,1,2,
4,4,416,1,616,1,2,,,
4,4,416,1,616,2,2,,,
4,4,416,1,616,3,2,,,
4,4,416,1,616,4,2,,,
4,4,416,1,616,5,2,,,
4,4,416,1,616,6,2,,,
4,4,416,1,616,7,2,,,
4,4,417,1,678,1,2,,,
4,4,417,1,678,2,2,,,
4,4,417,1,678,3,2,,,
4,4,417,1,678,4,2,,,
4,4,417,1,678,5,2,,,
4,4,417,1,678,6,2,,,
4,4,417,1,678,7,2,,,
4,4,418,1,44,1,2,,,
4,4,418,1,44,2,2,,,
4,4,418,1,44,3,2,,,
4,4,418,1,44,4,2,,,
4,4,418,1,44,5,2,,,
4,4,418,1,44,6,2,,,
4,4,418,1,44,7,2,,,
4,4,419,2,296,1,1,1,1,
4,4,419,2,296,2,1,1,1,
4,4,419,2,296,3,1,2,1,
4,4,419,2,296,4,1,2,1,
4,4,419,2,296,5,1,1,1,3000
