"zone","state","lga","sector","ea","hhid","plotid","cropid","sa3q1","sa3q2","sa3q3","sa3q4","sa3q4b","sa3q5a","sa3q5b","sa3q6a","sa3q6b","sa3q7","sa3q8a","sa3q8b","sa3q9","sa3q10","sa3q11a","sa3q11b","sa3q12","sa3q13","sa3q14","sa3q15a","sa3q15b","sa3q15c","sa3q16a","sa3q16b","sa3q17","sa3q18","sa3q19a","sa3q19b","sa3q20a","sa3q20b","sa3q21a","sa3q21b","sa3q22a","sa3q22b","sa3q23a","sa3q23b","trackingobs"
4,1,106,2,880,10022,1,4,"MAIZE",1080,1,,,3600,3,8,11,2,,,1,"N2",6,11,3000,1,1,"N2",,,6,11,3000,4500,0,,1,11,0,,1,11,0,,0
4,1,106,2,880,10022,2,1,"PINEAPPLE",2160,1,,,1500,3,5,11,2,,,1,"N3",5,11,1800,1,1,"N3",,,5,11,1800,1800,0,,0,,0,,0,,0,,0
4,1,106,2,880,10022,3,1,"PINEAPPLE",2160,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,3,2,"OIL PALM TREE",3180,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,2,"MAIZE",1080,1,,,100,3,4,32,2,,,1,"N1",3,32,2100,1,2,,,,,,,2400,0,,0,,0,,1,32,0,,0
4,1,106,2,880,10023,2,1,"PINEAPPLE",2160,1,,,1050,3,3,31,2,,,1,"N2",2,31,2400,1,2,,,,,,,3600,0,,0,,0,,1,31,0,,0
4,1,106,2,880,10023,3,1,"PINEAPPLE",2160,1,,,2000,3,4,3,2,,,1,"N2",3,32,6000,1,2,,,,,,,8000,0,,0,,0,,1,32,0,,0
4,1,106,2,880,10023,3,2,"OIL PALM TREE",3180,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,1,2,"MAIZE",1080,1,,,600,3,1,21,2,,,2,,,,,,,,,,,,,1000,1,21,0,,0,,0,,0,,0
4,1,106,2,880,10024,1,3,"PUMKIN",2190,1,,,100,1,3,61,2,,,2,,,,,,,,,,,,,1500,3,61,0,,0,,0,,0,,0
4,1,106,2,880,10024,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,2,2,"MAIZE",1080,1,,,200,3,1,21,2,,,2,,,,,,,,,,,,,1000,1,21,0,,0,,0,,0,,0
4,1,106,2,880,10024,3,1,"OIL PALM TREE",3180,1,,,50,1,1,91,2,,,2,,,,,,,,,,,,,1500,1,91,0,,0,,0,,0,,0
4,1,106,2,880,10025,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,1,2,"PUMKIN",2190,1,,,100,1,5,61,2,,,2,,,,,,,,,,,,,2500,4,61,0,,0,,1,61,0,,0
4,1,106,2,880,10025,1,3,"YAM",1120,1,,,100,1,30,51,2,,,2,,,,,,,,,,,,,3000,0,,30,51,0,,0,,0,,0
4,1,106,2,880,10025,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,2,2,"MAIZE",1080,1,,,900,3,3,21,2,,,2,,,,,,,,,,,,,5000,2,21,0,,0,,1,21,0,,0
4,1,106,2,880,10025,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,3,2,"OIL PALM TREE",3180,1,,,80,1,2,92,2,,,1,"N1",1,92,3000,1,2,,,,,,,3000,1,92,0,,0,,0,,0,,0
4,1,106,2,880,10025,4,1,"FALLOW FALLOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,1,2,"MAIZE",1080,1,,,350,3,5,21,2,,,1,"N1",4,21,2000,1,2,,,,,,,2500,1,21,0,,0,,0,,0,,0
4,1,106,2,880,10026,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,2,2,"MAIZE",1080,1,,,500,3,3,21,2,,,1,"N1",2,21,1000,1,2,,,,,,,1500,0,,1,21,0,,0,,0,,0
4,1,106,2,880,10026,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
