"zone","state","lga","sector","ea","hhid","item_cd","sa7q1","sa7q2","sa7q3","sa7q4a","sa7q4b","sa7q5"
2,5,518,2,1304,50159,3,1,400,,"N4",,2
2,5,518,2,1304,50159,6,1,750,,"N5",,2
2,5,520,2,1756,50161,2,1,4500,,"N3",,2
2,5,520,2,1756,50163,2,1,7500,,"N1",,2
2,5,520,2,1756,50166,2,1,1300,,"N4",,2
2,5,520,2,1756,50167,2,1,40000,,"N2",,2
2,5,520,2,1756,50167,3,1,300,,"N1",,2
2,5,520,2,1756,50169,2,1,900,,"N3",,
2,5,520,2,1756,50170,2,1,650,,"N2",,
5,6,601,2,640,60048,5,1,4000,1800,"N3",,2
1,7,713,2,304,70156,5,1,4000,,"N2",,2
2,8,821,1,5062,80025,2,1,10000,,"N1",,2
2,8,821,1,5062,80026,2,1,3000,2000,"N2","N1",2
2,8,821,1,5062,80026,6,1,100,,"N2",,2
2,8,821,1,5062,80026,8,1,100,,,,
2,8,816,2,1270,80033,9,1,300,500,"N1",,
2,8,816,2,1270,80035,2,1,1000,1000,"N1",,
2,8,816,2,1270,80035,4,1,200,,,,
2,8,816,2,1270,80037,1,1,1600,4500,"N3",,2
2,8,816,2,1270,80037,2,1,5000,,"N1",,2
2,8,816,2,1270,80038,4,1,6000,,"N2",,2
2,8,816,2,1270,80040,4,1,5000,,"N2",,2
2,8,803,1,944,80042,6,1,800,,"N1",,2
2,8,803,1,944,80042,9,1,600,,"N2",,
2,8,803,1,944,80044,2,1,5500,,"N1",,2
2,8,803,1,944,80045,2,1,500,,"N2",,2
2,8,803,1,944,80045,3,1,700,,"N2",,2
2,8,803,1,944,80045,9,1,2600,,"N3",,
2,8,803,1,944,80047,2,1,3000,2000,"N1",,
2,8,803,1,944,80047,6,1,100,300,"N1",,
2,8,811,1,1558,80057,6,1,500,,"N1",,2
2,8,811,1,1558,80057,9,1,200,,"N2",,
2,8,811,1,1558,80060,2,1,1400,,"N1",,2
2,8,811,2,390,80061,1,1,12000,,"N4",,2
2,8,811,2,390,80061,2,1,8000,,"N4",,2
2,8,811,2,390,80061,3,1,2000,,"N5",,2
2,8,811,2,390,80063,1,1,,1000,"N2",,
2,8,811,2,390,80063,2,1,3000,,,,
2,8,811,2,390,80063,6,1,1000,,,,
2,8,811,2,390,80068,4,1,800,,"N4",,2
2,8,811,2,390,80070,2,1,1500,,"N2",,2
2,8,802,2,1152,80074,1,1,5000,,"N2",,
2,8,802,2,1152,80074,3,1,10000,,"N1",,
2,8,802,2,1152,80078,1,1,1000,,,,2
2,8,802,2,1152,80080,3,1,5000,,"N2",,2
2,8,802,2,1152,80080,4,1,700,,"N3",,2
2,8,812,2,866,80081,2,1,1000,300,"N1",,2
2,8,812,2,866,80081,6,1,200,,"N1",,2
2,8,812,2,866,80082,2,1,400,,"N3",,2
2,8,812,2,866,80082,3,1,1000,,"N3",,2
2,8,812,2,866,80088,2,1,1000,,"N1",,2
2,8,812,2,866,80088,3,1,500,,"N3",,2
2,8,805,2,46,80091,1,1,500,,"N2",,2
2,8,805,2,46,80091,2,1,1700,,"N3",,2
2,8,805,2,46,80091,3,1,1000,,"N3",,2
2,8,805,2,46,80091,6,1,500,,"N4",,2
2,8,805,2,46,80100,2,1,2500,,"N1",,2
2,8,805,2,46,80100,3,1,250,,"N2",,2
2,8,827,2,804,80102,1,1,1800,200,"N3",,1
2,8,827,2,804,80102,2,1,3000,1600,"N1",,2
2,8,827,2,804,80102,6,1,100,,"N2",,2
2,8,827,2,804,80106,2,1,3000,,"N2",,2
2,8,827,2,804,80106,3,1,500,,"N3",,2
2,8,807,2,946,80113,1,1,35000,3000,"N2",,
2,8,807,2,946,80114,4,1,600,,"N5",,2
2,8,807,2,946,80117,2,1,600,,"N1",,2
2,8,807,2,946,80117,3,1,350,,"N1",,2
2,8,807,2,946,80118,2,1,1600,,"N1",,2
2,8,807,2,946,80118,3,1,530,,"N2",,2
2,8,807,2,946,80118,6,1,2450,,"N1",,2
2,8,807,2,2396,80121,2,1,300,,"N5",,2
2,8,807,2,2396,80121,3,1,1000,,"N5",,2
2,8,807,2,2396,80123,6,1,300,100,"N1",,2
2,8,807,2,2396,80127,1,1,1000,,"N4",,2
2,8,807,2,2396,80128,2,1,1000,,"N1",,2
2,8,807,2,2396,80130,2,1,600,,"N1","N2",
2,8,807,2,1438,80131,2,1,1000,500,"N1",,2
2,8,807,2,1438,80132,2,1,500,,"N3",,
2,8,807,2,1438,80132,3,1,1000,,"N2",,
2,8,807,2,1438,80135,2,1,1500,3000,"N1",,2
2,8,807,2,1438,80135,6,1,,1500,"N2",,2
2,8,807,2,1438,80137,2,1,1500,,"N1",,2
2,8,807,2,1438,80137,6,1,400,,"N3",,2
2,8,807,2,1438,80138,2,1,2500,,"N2",,2
2,8,807,2,1438,80140,1,1,1300,,"N2",,2
2,8,807,2,1438,80140,2,1,6000,,"N3",,
2,8,807,2,1438,80140,3,1,1500,,"N1",,
2,8,824,2,768,80156,2,1,4000,1000,"N2",,2
2,8,817,1,2476,80167,1,1,15000,,"N3",,2
2,8,817,1,2476,80167,2,1,30000,,"N3",,2
2,8,823,2,548,80171,3,1,2000,,"N1",,2
2,8,823,2,548,80178,2,1,2000,500,"N1",,2
2,8,823,2,548,80179,3,1,3000,,"N2",,2
2,8,809,2,1748,80181,3,1,1000,,"N1",,2
2,8,809,2,1748,80182,2,1,1000,500,"N2",,2
2,8,809,2,1748,80182,6,1,200,,"N1",,2
2,8,809,2,1748,80184,3,1,1000,,"N1",,2
2,8,809,2,1748,80190,2,1,,15000,,,
2,8,826,2,926,80193,4,1,5000,2000,"N2",,2
2,8,826,2,926,80194,2,1,1000,2000,"N1",,2
2,8,826,2,926,80196,2,1,12000,,"N1",,2
2,8,826,2,926,80198,2,1,1000,,"N3",,2
2,8,826,2,926,80199,2,1,1500,,"N3",,2
2,8,826,2,926,80199,3,1,600,,"N3",,2
2,8,826,2,926,80200,2,1,2500,,"N4",,2
2,8,826,2,926,80200,3,1,600,,"N4",,2
2,8,815,2,362,80201,2,1,2100,,"N3",,2
2,8,815,2,362,80203,1,1,500,,"N1",,2
2,8,815,2,362,80203,2,1,1500,,"N3",,2
2,8,815,2,362,80203,3,1,2000,,"N4",,2
2,8,815,2,362,80203,6,1,1000,,"N1",,
2,8,815,2,362,80203,7,1,600,,"N4",,
5,9,908,1,278,90010,2,1,2000,,"N2",,2
5,9,908,1,278,90010,3,1,300,,"N1",,2
5,9,908,1,278,90010,6,1,200,,"N3",,2
5,9,903,2,48,90014,2,1,2200,,"N2",,2
5,9,903,2,48,90018,1,1,,10000,"N1",,2
5,10,1010,2,20,100075,2,1,6000,,"N1",,1
5,10,1018,1,634,100115,2,1,120000,,"N3",,2
5,10,1018,1,634,100115,6,1,8000,,"N4",,2
4,11,1108,2,492,110059,1,1,220000,,"N3",,
4,11,1108,2,492,110059,2,1,950000,,"N1",,
4,11,1108,2,492,110059,3,1,170000,,"N2",,
4,11,1108,2,492,110059,4,1,180000,,"N4","N5",
4,11,1108,2,492,110059,6,1,16500,,,,
5,12,1208,2,526,120045,2,1,500,,"N1",,2
