"zone","state","lga","sector","ea","hhid","network_cd","sa10q2a","sa10q2b","sa10q3","trackingobs"
2,2,216,2,200,20039,"N4",,,,0
2,2,216,2,200,20039,"N5",,,,0
2,2,216,2,200,20039,"N6",,,,0
2,2,216,2,200,20039,"N7",,,,0
2,2,216,2,200,20039,"N8",,,,0
2,2,216,2,200,20039,"N9",,,,0
2,2,216,2,200,20040,"N1",2,,1,0
2,2,216,2,200,20040,"N10",,,,0
2,2,216,2,200,20040,"N11",,,,0
2,2,216,2,200,20040,"N12",,,,0
2,2,216,2,200,20040,"N13",,,,0
2,2,216,2,200,20040,"N14",,,,0
2,2,216,2,200,20040,"N15",,,,0
2,2,216,2,200,20040,"N16",,,,0
2,2,216,2,200,20040,"N17",,,,0
2,2,216,2,200,20040,"N18",,,,0
2,2,216,2,200,20040,"N19",,,,0
2,2,216,2,200,20040,"N2",7,,1,0
2,2,216,2,200,20040,"N20",,,,0
2,2,216,2,200,20040,"N21",,,,0
2,2,216,2,200,20040,"N22",,,,0
2,2,216,2,200,20040,"N23",,,,0
2,2,216,2,200,20040,"N24",,,,0
2,2,216,2,200,20040,"N25",,,,0
2,2,216,2,200,20040,"N26",,,,0
2,2,216,2,200,20040,"N27",,,,0
2,2,216,2,200,20040,"N28",,,,0
2,2,216,2,200,20040,"N29",,,,0
2,2,216,2,200,20040,"N3",,,,0
2,2,216,2,200,20040,"N30",,,,0
2,2,216,2,200,20040,"N4",,,,0
2,2,216,2,200,20040,"N5",,,,0
2,2,216,2,200,20040,"N6",,,,0
2,2,216,2,200,20040,"N7",,,,0
2,2,216,2,200,20040,"N8",,,,0
2,2,216,2,200,20040,"N9",,,,0
2,2,203,2,1224,20041,"N1",2,,1,0
2,2,203,2,1224,20041,"N2",28,,2,0
2,2,203,2,1224,20042,"N1",9,,2,0
2,2,203,2,1224,20043,"N1",1,,1,0
2,2,203,2,1224,20043,"N2",1,,2,0
2,2,203,2,1224,20044,"N1",2,,2,0
2,2,203,2,1224,20044,"N2",2,,2,0
2,2,203,2,1224,20044,"N3",9,,2,0
2,2,203,2,1224,20044,"N4",10,,3,0
2,2,203,2,1224,20044,"N5",5,,2,0
2,2,203,2,1224,20044,"N6",1,,1,0
2,2,203,2,1224,20045,"N1",1,,1,0
2,2,203,2,1224,20045,"N2",1,,2,0
2,2,203,2,1224,20045,"N3",12,,5,0
2,2,203,2,1224,20046,"N1",1,,1,0
2,2,203,2,1224,20046,"N2",9,,2,0
