"zone","state","lga","sector","ea","hhid","plotid","sa2q1a1","sa2q1a2","sa2q1a3","sa2q1a4","sa2q1b1","sa2q1b2","sa2q1b3","sa2q1b4","sa2q1c1","sa2q1c2","sa2q1c3","sa2q1c4","sa2q1d1","sa2q1d2","sa2q1d3","sa2q1d4","sa2q2","sa2q3","sa2q4","sa2q5","sa2q6","sa2q7","sa2q8","sa2q9","sa2q10","sa2q11a","sa2q11b","sa2q11c","sa2q12a","sa2q12b","sa2q12c","sa2q13a","sa2q13b","sa2q13c"
4,1,117,2,560,10071,3,1,38,4,8,2,38,4,8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10071,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,1,1,38,4,5,2,38,4,5,4,19,2,4,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10072,2,1,38,4,5,2,38,4,5,4,19,2,4,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10073,1,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10073,2,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10074,1,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10074,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10074,3,1,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10075,1,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10075,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10076,1,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10076,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10076,3,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
