"zone","state","lga","sector","ea","hhid","byprod_cd","sa8q1a","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6"
6,30,3023,2,622,300178,2,1,2,2,2,2,,,
6,30,3033,2,554,300187,1,1,4,1000,1,1,800,1,40000
6,30,3033,2,554,300188,1,1,5,1500,1,1,1200,1,60000
6,30,3033,2,554,300190,1,1,3,30,1,1,20,1,1000
1,31,3112,2,350,310089,2,1,4,70,4,1,70,4,700
1,31,3103,2,874,310104,1,1,3,30,1,1,20,1,2000
5,32,3209,1,1208,320047,2,1,2,24,4,2,,,
5,32,3201,2,2034,320119,2,1,4,35,4,2,,,
5,32,3203,2,2644,320128,2,1,,2000,3,2,,,
5,32,3203,2,2644,320129,2,1,,89,2,2,,,
5,32,3202,2,84,320139,2,1,,178,2,2,,,
5,32,3216,2,1184,320147,2,1,2,14,4,2,,,
3,33,3321,1,1182,330005,2,1,2,3,5,2,,,
3,33,3307,2,688,330072,1,1,4,8,1,1,4,1,2000
2,34,3401,2,526,340001,1,1,6,400,1,1,350,1,126000
2,34,3401,2,526,340003,1,1,5,120,1,2,,,
2,34,3401,2,526,340007,1,1,6,140,1,1,100,1,36000
2,34,3405,2,1706,340028,1,1,6,120,1,2,,,
2,34,3413,2,262,340065,8,1,,80,1,1,80,1,48000
2,35,3507,2,746,350013,2,1,2,30,4,2,,,
2,35,3507,2,746,350016,2,1,2,18,4,2,,,
2,35,3515,2,316,350027,1,1,5,2,1,2,,,
2,35,3516,2,1632,350031,1,1,,,,,,,
2,35,3516,2,1632,350033,1,1,4,15,1,1,10,1,4500
2,35,3516,2,1632,350037,1,1,6,25,1,2,,,
2,35,3506,2,1040,350042,1,1,5,100,1,2,,,
2,35,3506,2,1040,350046,1,1,,90,1,1,700,1,10000
2,35,3506,2,1040,350049,1,1,,1,,2,,,
2,35,3506,2,1040,350050,1,1,5,30,1,1,70,1,8000
2,35,3513,2,576,350062,2,1,,,,,,,
2,35,3509,2,2276,350111,1,1,3,50,3,1,40,1,5000
2,35,3509,2,2276,350113,1,1,6,,,2,,,
2,35,3509,2,2276,350114,1,1,3,5,1,1,3,3,1200
2,35,3509,2,2276,350118,2,1,2,60,1,2,,,
3,36,3605,2,240,360011,1,1,4,30,1,2,,,
3,36,3613,2,1066,360042,1,1,,,,,,,
3,36,3613,2,1066,360044,1,1,5,250,1,2,,,
3,36,3613,2,1066,360045,1,1,6,50,1,1,50,1,20000
3,36,3613,2,1066,360047,1,1,6,27,1,1,17,1,2550
3,36,3613,2,1066,360048,1,1,6,60,1,1,25,1,3750
3,36,3613,2,1066,360048,2,1,1,100,4,1,60,4,600
3,36,3613,2,1066,360049,1,1,6,30,1,1,17,1,2000
