"zone","state","lga","sector","ea","hhid","animal_cd","sa6q1a","sa6q1b","sa6q2","sa6q3","sa6q4a","sa6q4b","sa6q5a","sa6q5b","sa6q6","sa6q7","sa6q8a","sa6q8b","sa6q9","sa6q10","sa6q11","sa6q12","sa6q13","sa6q14a","sa6q14b","sa6q15","sa6q16","sa6q17","sa6q18","sa6q19","sa6q20a","sa6q20b","sa6q21","sa6q22","sa6q23","sa6q24a1","sa6q24a2","sa6q24a3","sa6q25a1","sa6q25a2","sa6q25a3","sa6q26","sa6q27a","sa6q27b","sa6q28a","sa6q28b","sa6q28c","sa6q28d","trackingobs"
4,1,110,2,76,10087,110,1,,1,8000,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,110,2,76,10088,110,1,,4,7000,2,,2,,2,,,,0,0,0,0,,,,0,0,0,1,7000,"N1",,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10091,110,1,,6,5000,1,2,1,2,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10091,114,1,,8,600,1,2,1,2,2,,,,7,0,0,0,,,,0,0,9,0,,,,0,3,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10093,114,1,,6,1000,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10096,110,1,,3,5000,2,,2,,2,,,,0,0,0,3,9000,"N1",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10096,114,1,,9,500,3,,3,,2,,,,7,0,0,2,800,"N1",,0,0,0,2,950,"N1",,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10097,114,1,,3,500,7,8,1,,2,,,,2,0,0,0,,,,0,0,8,2,800,"N1",,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10100,110,1,,5,4000,2,1,2,3,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,105,2,638,10100,114,1,,4,400,2,,2,3,2,,,,5,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10102,114,1,,5,1000,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10103,114,1,,10,800,1,2,2,,2,,,,7,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10105,110,1,,4,4000,1,,1,,1,5,3,,0,0,0,0,,,,4,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10105,114,1,,4,800,1,,1,,1,5,3,,0,0,0,0,,,,4,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10106,110,1,,10,4000,1,,1,2,2,,,,0,0,0,0,,,,0,0,0,5,4000,"N1",,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10106,114,1,,12,800,1,,1,2,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10107,110,1,,8,8000,1,,1,2,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,108,2,904,10107,111,1,,2,9000,1,,1,2,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,209,2,1040,20001,110,1,,1,4000,5,,5,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,209,2,1040,20001,111,1,,1,8000,5,,5,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,209,2,1040,20002,110,1,,6,6000,1,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
