"zone","state","lga","sector","ea","resource_cd","resource_specify","c4q1","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4d","c4q5a","c4q5b","c4q5c"
4,4,410,2,4036,402,,1,1,1,,,,,,,
4,4,410,2,4036,403,,2,,,,,,,,,
4,4,410,2,4036,404,,2,,,,,,,,,
4,4,410,2,4036,405,,2,,,,,,,,,
4,4,411,1,1486,401,,2,,,,,,,,,
4,4,411,1,1486,402,,2,,,,,,,,,
4,4,411,1,1486,403,,2,,,,,,,,,
4,4,411,1,1486,404,,2,,,,,,,,,
4,4,411,1,1486,405,,2,,,,,,,,,
4,4,412,2,1606,401,,1,1,1,2,1,3,,1,2,5
4,4,412,2,1606,402,,1,1,1,2,1,3,,1,2,5
4,4,412,2,1606,403,,2,,,,,,,,,
4,4,412,2,1606,404,,2,,,,,,,,,
4,4,412,2,1606,405,,2,,,,,,,,,
4,4,412,2,2592,401,,1,1,1,2,3,1,,1,2,3
4,4,412,2,2592,402,,1,1,1,2,3,1,,1,2,3
4,4,412,2,2592,403,,2,,,,,,,,,
4,4,412,2,2592,404,,2,,,,,,,,,
4,4,412,2,2592,405,,2,,,,,,,,,
4,4,413,2,1540,401,,2,,,,,,,,,
4,4,413,2,1540,402,,2,,,,,,,,,
4,4,413,2,1540,403,,2,,,,,,,,,
4,4,413,2,1540,404,,2,,,,,,,,,
4,4,413,2,1540,405,,2,,,,,,,,,
4,4,414,1,2176,401,,2,,,,,,,,,
4,4,414,1,2176,402,,2,,,,,,,,,
4,4,414,1,2176,403,,2,,,,,,,,,
4,4,414,1,2176,404,,2,,,,,,,,,
4,4,414,1,2176,405,,2,,,,,,,,,
4,4,415,1,2108,401,,2,,,,,,,,,
4,4,415,1,2108,402,,2,,,,,,,,,
4,4,415,1,2108,403,,2,,,,,,,,,
4,4,415,1,2108,404,,2,,,,,,,,,
4,4,415,1,2108,405,,2,,,,,,,,,
4,4,416,1,616,401,,2,,,,,,,,,
4,4,416,1,616,402,,2,,,,,,,,,
4,4,416,1,616,403,,2,,,,,,,,,
4,4,416,1,616,404,,2,,,,,,,,,
4,4,416,1,616,405,,2,,,,,,,,,
4,4,417,1,678,401,,1,1,1,2,1,3,,1,2,5
4,4,417,1,678,402,,1,1,1,2,1,3,,1,2,5
4,4,417,1,678,403,,2,,,,,,,,,
4,4,417,1,678,404,,2,,,,,,,,,
4,4,417,1,678,405,,2,,,,,,,,,
4,4,418,1,44,401,,2,,,,,,,,,
4,4,418,1,44,402,,2,,,,,,,,,
4,4,418,1,44,403,,2,,,,,,,,,
4,4,418,1,44,404,,2,,,,,,,,,
4,4,418,1,44,405,,2,,,,,,,,,
4,4,419,2,296,401,,1,1,1,3,2,1,,4,2,1
4,4,419,2,296,402,,2,,,,,,,,,
4,4,419,2,296,403,,2,,,,,,,,,
4,4,419,2,296,404,,2,,,,,,,,,
4,4,419,2,296,405,,2,,,,,,,,,
4,4,421,1,800,401,,1,1,1,2,1,3,,3,2,1
4,4,421,1,800,402,,2,,,,,,,,,
4,4,421,1,800,403,,2,,,,,,,,,
4,4,421,1,800,404,,2,,,,,,,,,
4,4,421,1,800,405,,2,,,,,,,,,
2,5,501,2,60,401,,2,,,,,,,,,
2,5,501,2,60,402,,2,,,,,,,,,
2,5,501,2,60,403,,2,,,,,,,,,
2,5,501,2,60,404,,2,,,,,,,,,
2,5,501,2,60,405,,2,,,,,,,,,
2,5,502,1,2194,401,,2,,,,,,,,,
2,5,502,1,2194,402,,2,,,,,,,,,
2,5,502,1,2194,403,,2,,,,,,,,,
2,5,502,1,2194,404,,2,,,,,,,,,
2,5,502,1,2194,405,,2,,,,,,,,,
2,5,502,2,3878,401,,2,,,,,,,,,
2,5,502,2,3878,402,,2,,,,,,,,,
2,5,502,2,3878,403,,2,,,,,,,,,
2,5,502,2,3878,404,,2,,,,,,,,,
2,5,502,2,3878,405,,2,,,,,,,,,
2,5,504,2,708,401,,1,1,1,1,2,3,,1,2,3
2,5,504,2,708,402,,1,1,1,3,1,2,,2,1,3
2,5,504,2,708,403,,1,1,1,2,3,1,,3,1,2
2,5,504,2,708,404,,2,,,,,,,,,
2,5,504,2,708,405,,2,,,,,,,,,
2,5,506,2,830,401,,2,,,,,,,,,
2,5,506,2,830,402,,1,1,1,2,1,,,1,3,2
2,5,506,2,830,403,,2,,,,,,,,,
2,5,506,2,830,404,,2,,,,,,,,,
2,5,506,2,830,405,,2,,,,,,,,,
2,5,508,2,718,401,,2,,,,,,,,,
2,5,508,2,718,402,,2,,,,,,,,,
2,5,508,2,718,403,,2,,,,,,,,,
2,5,508,2,718,404,,2,,,,,,,,,
2,5,508,2,718,405,,2,,,,,,,,,
2,5,508,2,984,401,,2,,,,,,,,,
2,5,508,2,984,402,,2,,,,,,,,,
2,5,508,2,984,403,,2,,,,,,,,,
2,5,508,2,984,404,,2,,,,,,,,,
2,5,508,2,984,405,,2,,,,,,,,,
2,5,510,1,872,401,,1,1,1,2,1,3,,2,1,3
2,5,510,1,872,402,,1,1,1,3,2,1,,3,2,1
2,5,510,1,872,403,,1,1,1,3,1,2,,1,3,2
2,5,510,1,872,404,,2,,,,,,,,,
2,5,510,1,872,405,,2,,,,,,,,,
2,5,510,2,1516,401,,1,1,1,1,2,,,2,3,
2,5,510,2,1516,402,,1,1,1,2,1,,,3,2,
2,5,510,2,1516,403,,1,1,1,1,2,,,4,2,
2,5,510,2,1516,404,,2,,,,,,,,,
2,5,510,2,1516,405,,2,,,,,,,,,
2,5,513,2,348,401,,2,,,,,,,,,
2,5,513,2,348,402,,2,,,,,,,,,
2,5,513,2,348,403,,2,,,,,,,,,
2,5,513,2,348,404,,2,,,,,,,,,
2,5,513,2,348,405,,2,,,,,,,,,
2,5,514,2,710,401,,1,1,1,1,3,,,,,
2,5,514,2,710,402,,1,1,1,3,2,,,,,
2,5,514,2,710,403,,1,1,1,2,3,,,,,
2,5,514,2,710,404,,1,1,1,1,2,,,,,
2,5,514,2,710,405,,2,,,,,,,,,
2,5,514,1,2036,401,,2,,,,,,,,,
2,5,514,1,2036,402,,2,,,,,,,,,
2,5,514,1,2036,403,,2,,,,,,,,,
2,5,514,1,2036,404,,2,,,,,,,,,
2,5,514,1,2036,405,,2,,,,,,,,,
2,5,515,2,18,401,,1,1,1,1,3,2,,3,5,1
2,5,515,2,18,402,,1,1,1,1,2,3,,3,5,1
2,5,515,2,18,403,,1,1,1,2,1,3,,3,5,1
2,5,515,2,18,404,,1,1,1,3,2,1,,3,5,1
2,5,515,2,18,405,,2,,,,,,,,,
2,5,516,2,942,401,,1,1,1,,,,,,,
