"zone","state","sector","lga","ea","serial_no","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
2,2,2,216,200,3,1,39,11,,"YOUTH LEADER",39,26
2,2,2,216,200,4,1,44,11,,"MEMBER",44,26
2,2,2,216,200,5,1,28,11,,"YOUTH",28,23
2,2,2,216,200,6,1,35,11,,"CHAIRMAN PTA",35,26
2,2,2,218,1592,1,1,67,1,,,40,0
2,2,2,218,1592,2,1,75,11,,"COMMUNITY ELDER",52,0
2,2,2,218,1592,3,1,38,9,,,38,0
2,2,2,218,1592,4,1,36,11,,"YOUTH LEADER",36,0
2,2,2,218,1592,5,1,38,11,,"DEPUTY YOUTH LEADER",38,0
2,2,2,218,1592,6,1,42,3,,,35,0
2,2,2,221,18,1,1,47,3,,,47,16
2,2,2,221,18,2,1,39,3,,,39,31
2,2,2,221,18,3,1,40,6,,,40,0
2,2,2,221,18,4,1,70,11,,,70,0
2,2,2,221,18,5,1,35,11,,,35,0
2,2,2,221,18,6,1,40,11,,,20,0
2,2,2,221,18,7,1,28,6,,,11,13
5,3,1,301,1198,1,1,53,,,,40,16
5,3,1,301,1198,2,1,59,11,,"SECRETARY",38,26
5,3,1,301,1198,3,1,43,11,,"FAMILY HEAD",30,16
5,3,1,301,1198,4,1,71,11,,"FAMILY HEAD",30,16
5,3,1,301,1198,5,1,67,11,,"WOMEN LEADER",40,16
5,3,1,301,1198,6,1,39,11,,"YOUTH LEADER",20,16
5,3,2,305,4,1,1,75,1,,,50,26
5,3,2,305,1542,1,1,46,1,,,20,42
5,3,2,305,1542,2,1,71,3,,,15,16
5,3,2,305,1542,3,1,41,,,"YOUTH LEADER",10,14
5,3,2,305,1542,4,2,43,,,"WOMEN LEADER",10,31
5,3,2,305,1542,5,1,41,,,"FAMILY HEAD",20,26
5,3,1,307,634,1,1,68,1,,,30,43
5,3,1,307,634,2,1,53,6,,,32,16
5,3,1,307,634,3,1,56,11,,"FAMILY HEAD",40,43
5,3,1,307,634,4,2,63,2,,,48,42
5,3,1,307,634,5,1,53,11,,"FAMILY HEAD",34,42
5,3,2,309,478,1,1,64,1,,,20,16
5,3,2,309,478,2,1,66,11,,"FAMILY HEAD",28,16
5,3,2,309,478,3,1,47,11,,"CHIARMAN",20,16
5,3,2,309,478,4,1,49,11,,"SECRETARY",25,42
5,3,2,309,478,5,2,56,11,,"WOMEN LEADER",30,16
5,3,2,309,478,6,1,66,11,,"FAMILY HEAD",35,34
5,3,2,312,20,1,1,69,1,,,35,13
5,3,2,312,20,2,1,30,11,,"YOUTH LEADER",15,26
5,3,2,312,20,3,1,41,11,,"SECRETARY",20,16
5,3,2,312,20,4,1,49,11,,"MEMBER",20,14
5,3,2,312,20,5,2,46,11,,"WOMEN LEADER",15,16
5,3,2,312,20,6,1,46,11,,"MEMBER",15,16
5,3,2,313,70,1,1,67,1,,,40,16
5,3,2,313,70,2,1,71,11,,"CHAIRMAN",45,16
5,3,2,313,70,3,1,43,11,,"YOUTH LEADER",30,26
5,3,2,313,70,4,2,69,11,,"WOMEN LEADER",45,12
5,3,2,313,70,5,1,72,11,,"SECRETARY",40,23
5,3,2,316,874,1,1,39,11,,"CHIARMAN",20,26
5,3,2,316,874,2,1,65,11,,"FAMILY HEAD",39,26
5,3,2,316,874,3,1,51,11,,"FAMILY HEAD",30,16
5,3,2,316,874,4,1,42,11,,"YOUTH LEADER",25,26
5,3,2,316,874,6,2,56,11,,"WOMEN LEADER",40,16
5,3,2,318,1136,1,1,73,1,,,30,16
5,3,2,318,1136,2,1,75,11,,"FAMILY HEAD",38,31
5,3,2,318,1136,3,1,42,11,,"YOUTH LEADER",35,26
5,3,2,318,1136,4,1,48,11,,"FAMILY HEAD",30,26
5,3,2,318,1136,5,2,63,11,,"WOMEN LEADER",45,31
5,3,2,318,1136,6,1,52,,,"FAMILY HEAD",25,41
5,3,2,321,364,1,1,68,1,,,30,43
5,3,2,321,364,2,1,86,11,,"DEPUTY HEAD",50,16
5,3,2,321,364,3,1,29,11,,"YOUTH LEADER",10,26
5,3,2,321,364,4,2,76,11,,"WOMEN LEADER",50,16
5,3,2,321,364,5,1,66,11,,"FAMILY HEAD",44,16
5,3,2,321,364,6,1,72,11,,"FAMILY HEAD",50,16
5,3,2,321,364,7,1,54,11,,"MEMBER",35,16
5,3,2,321,364,8,1,49,11,,"MEMBER",28,16
5,3,2,321,364,9,1,,11,,"FAMILY HEAD",100,16
5,3,2,323,580,1,1,77,1,,,38,31
5,3,2,323,580,2,1,71,11,,"DEPUTY",40,32
5,3,2,323,580,3,1,60,11,,,30,15
5,3,2,323,580,4,1,50,11,,"SECRETARY",20,41
5,3,2,323,580,5,2,55,11,,"WOMEN LEADER",30,31
5,3,2,323,580,6,1,29,11,,"YOUTH LEADER",25,42
5,3,2,323,580,7,1,65,11,,"FAMILY HEAD",30,16
5,3,2,326,74,1,1,40,1,,,30,32
5,3,2,326,74,2,1,37,11,,"SECRETARY",25,41
5,3,2,326,74,3,1,68,11,,"FAMILY HEAD",50,0
5,3,2,326,74,4,1,63,11,,"FAMILY HEAD",50,13
5,3,2,326,74,5,2,51,11,,"WOWEN LEADER",35,12
5,3,2,326,74,6,1,56,11,,"FAMILY HEAD",38,26
5,3,2,326,74,7,1,67,11,,"FAMILY HEAD",40,16
5,3,2,329,696,1,1,53,1,,,40,16
5,3,2,329,696,2,1,59,,,"SECRATARY",38,26
5,3,2,329,696,3,1,43,11,,"FAMILY HEAD",30,16
5,3,2,329,696,4,1,71,11,,"FAMILY HEAD",50,16
5,3,2,329,696,5,2,67,11,,"WOMEN LEADER",40,16
5,3,2,329,696,6,1,39,11,,"YOUTH LEADER",20,16
5,3,1,331,516,1,1,63,1,,,38,26
5,3,1,331,516,2,1,51,11,,"FAMILY HEAD",40,26
5,3,1,331,516,3,1,31,11,,"SECRETARY",20,42
5,3,1,331,516,4,1,81,11,,"FAMILY HEAD",60,14
5,3,1,331,516,5,1,46,11,,"FAMILY HEAD",20,16
5,3,1,331,516,6,2,69,11,,"WOMEN LEADER",50,16
5,3,1,331,516,7,1,45,11,,"FAMILY HEAD",20,16
5,3,1,331,2322,1,1,89,1,,,50,16
5,3,1,331,2322,2,1,41,11,,"CHAIRMAN",20,26
5,3,1,331,2322,3,2,41,11,,"WOMEN LEADER",20,16
5,3,1,331,2322,4,1,88,11,,"FAMILY HEAD",53,16
5,3,1,331,2322,5,1,75,11,,"FAMILY HEAD",50,0
5,3,1,331,2322,6,1,70,11,,"FAMILY HEAD",55,0
5,3,1,331,2322,7,1,72,11,,"FAMILY HEAD",48,16
5,3,1,331,2322,8,1,63,11,,"FAMILY HEAD",44,15
5,3,1,331,2322,9,1,36,11,,"YOUTH LEADER",20,26
4,4,1,401,738,1,1,45,1,,,11,41
4,4,1,401,738,2,2,62,8,,,62,16
4,4,1,401,738,3,1,49,8,,,21,28
4,4,1,401,738,4,2,63,8,,,16,23
4,4,1,401,738,5,1,59,7,,,58,23
4,4,1,401,738,6,1,61,8,,,31,42
4,4,1,401,1460,1,1,44,1,,,22,16
4,4,1,401,1460,2,2,34,2,,,22,28
4,4,1,401,1460,3,1,64,8,,,10,42
4,4,1,401,1460,4,1,46,8,,,16,28
4,4,1,401,1460,5,1,54,8,,,15,28
4,4,2,401,2106,1,1,64,1,,,21,43
4,4,2,401,2106,2,1,74,8,,,21,16
4,4,2,401,2106,3,2,55,8,,,16,23
4,4,2,401,2106,4,1,53,8,,,21,16
4,4,2,401,2106,5,1,20,11,,"STUDENT",19,23
4,4,2,402,1080,1,1,61,1,,,30,16
4,4,2,402,1080,2,1,64,8,,,33,16
4,4,2,402,1080,3,1,73,8,,,41,24
4,4,2,402,1080,4,1,43,5,,,29,26
4,4,2,402,1080,5,1,52,9,,,30,26
4,4,2,403,836,1,1,48,3,,,48,31
4,4,2,403,836,2,1,65,3,,,27,16
4,4,2,403,836,3,1,40,1,,,19,23
4,4,2,403,836,4,2,24,8,,,13,23
4,4,2,403,836,5,2,72,2,,,33,0
4,4,2,403,836,6,1,48,1,,,17,16
4,4,2,405,484,1,1,82,1,,,20,0
4,4,2,405,484,2,1,68,11,,,68,16
4,4,2,405,484,3,1,60,8,,,10,16
4,4,2,405,484,4,2,50,8,,,50,16
4,4,2,405,484,5,1,58,8,,,58,13
4,4,2,405,484,6,1,57,8,,,30,16
4,4,2,405,722,1,1,95,1,,,77,11
4,4,2,405,722,2,1,92,9,,,73,12
4,4,2,405,722,3,1,73,8,,,44,15
4,4,2,405,722,4,2,72,8,,,40,0
4,4,2,405,722,5,1,55,8,,,19,16
4,4,2,407,796,1,1,51,1,,,15,28
4,4,2,407,796,2,2,54,5,,,16,31
4,4,2,407,796,3,1,60,4,,,26,31
4,4,2,407,796,4,1,49,5,,,19,31
4,4,2,407,796,5,2,51,5,,,20,31
4,4,1,410,3192,1,1,66,1,,,21,23
4,4,1,410,3192,2,1,54,9,,,13,23
4,4,1,410,3192,3,2,50,8,,,13,16
4,4,1,410,3192,4,2,40,8,,,11,16
4,4,1,410,3192,5,1,36,8,,,7,23
4,4,1,410,3414,1,1,78,1,,,40,0
4,4,1,410,3414,2,1,64,8,,,11,28
4,4,1,410,3414,3,1,60,8,,,11,16
4,4,1,410,3414,4,1,52,8,,,21,28
4,4,1,410,3414,5,2,35,8,,,11,28
4,4,1,410,3414,6,1,22,11,,"STUDENT",8,23
4,4,2,410,4036,1,1,52,1,,,42,16
4,4,2,410,4036,2,1,47,8,,,42,43
4,4,2,410,4036,3,1,63,8,,,46,26
4,4,2,410,4036,4,1,66,8,,,26,26
4,4,2,410,4036,5,1,72,8,,,21,43
4,4,1,411,1486,1,1,64,1,,,52,16
4,4,1,411,1486,2,1,61,3,,,31,16
4,4,1,411,1486,3,2,53,8,,,46,34
4,4,1,411,1486,4,1,42,8,,,38,41
4,4,1,411,1486,5,1,68,8,,,51,41
4,4,2,412,1606,1,1,60,3,,,46,43
4,4,2,412,1606,2,1,69,8,,,51,43
4,4,2,412,1606,3,1,76,8,,,71,43
4,4,2,412,1606,4,1,51,8,,,41,16
4,4,2,412,1606,5,2,49,8,,,21,16
4,4,2,412,1606,6,1,55,7,,,50,26
4,4,2,412,1606,7,1,45,8,,,40,26
4,4,2,412,2592,1,1,56,4,,,56,42
4,4,2,412,2592,2,1,33,8,,,33,34
4,4,2,412,2592,3,1,45,9,,,40,42
4,4,2,412,2592,4,1,60,8,,,60,31
4,4,2,412,2592,5,1,50,8,,,30,42
4,4,2,412,2592,6,2,62,8,,,25,16
4,4,2,412,2592,7,1,49,8,,,28,16
4,4,2,413,1540,1,1,73,1,,,12,41
4,4,2,413,1540,2,1,52,8,,,27,16
4,4,2,413,1540,3,2,68,9,,,32,28
4,4,2,413,1540,4,2,31,8,,,31,28
4,4,2,413,1540,5,1,69,11,,"DRIVER",6,26
4,4,2,413,1540,6,1,80,,,,,
4,4,1,414,2176,1,1,47,3,,,41,43
4,4,1,414,2176,2,1,43,1,,,43,43
4,4,1,414,2176,3,2,41,8,,,41,23
4,4,1,414,2176,4,1,40,8,,,39,16
4,4,1,414,2176,5,1,36,8,,,35,22
4,4,1,415,2108,1,1,71,1,,,41,42
4,4,1,415,2108,2,1,39,8,,,31,42
4,4,1,415,2108,3,1,58,8,,,46,16
4,4,1,415,2108,4,2,36,8,,,26,16
4,4,1,415,2108,5,1,67,8,,,43,16
4,4,1,416,616,1,1,67,3,,,25,16
4,4,1,416,616,2,1,40,3,,,20,23
4,4,1,416,616,3,1,46,3,,,20,26
4,4,1,416,616,4,1,62,8,,,16,26
4,4,1,416,616,5,2,32,8,,,19,23
4,4,1,417,678,1,1,63,1,,,30,26
4,4,1,417,678,2,1,46,11,,"CIVIL SERVANT",15,26
4,4,1,417,678,3,1,69,3,,,15,42
4,4,1,417,678,4,2,30,8,,,16,34
4,4,1,417,678,5,1,16,8,,,16,16
4,4,1,417,678,6,1,71,5,,,26,31
4,4,1,418,44,1,1,74,1,,,39,34
4,4,1,418,44,2,1,56,3,,,28,42
4,4,1,418,44,3,1,28,8,,,25,23
4,4,1,418,44,4,1,26,8,,,10,16
4,4,1,418,44,5,2,29,8,,,10,33
4,4,1,418,44,6,2,69,8,,,20,0
4,4,2,419,296,1,1,47,1,,,16,41
4,4,2,419,296,2,1,86,8,,,86,16
4,4,2,419,296,3,2,76,9,,,40,14
4,4,2,419,296,4,1,81,8,,,50,16
4,4,2,419,296,5,1,52,8,,,10,16
4,4,2,419,296,6,1,47,8,,,15,16
4,4,1,421,800,1,1,48,1,,,3,26
4,4,1,421,800,2,1,42,8,,,20,16
4,4,1,421,800,3,1,37,8,,,2,16
4,4,1,421,800,4,1,17,11,,"STUDENT",4,21
4,4,1,421,800,5,2,42,8,,,12,23
4,4,1,421,800,6,1,28,8,,,7,16
4,4,1,421,800,7,1,43,8,,,17,28
2,5,2,501,60,1,1,64,1,,,64,51
2,5,2,501,60,2,1,67,9,,,67,51
2,5,2,501,60,3,1,48,11,,"WOMEN LEADER",17,26
2,5,2,501,60,4,1,29,6,,,29,51
2,5,2,501,60,5,1,37,8,,,37,26
2,5,1,502,2194,1,1,59,1,,,59,0
2,5,1,502,2194,2,1,52,3,,,52,0
2,5,1,502,2194,3,1,46,8,,,46,41
2,5,1,502,2194,4,2,41,2,,,21,16
2,5,1,502,2194,5,1,32,3,,,32,41
2,5,1,502,2194,6,1,44,8,,,9,16
2,5,2,502,3878,1,1,75,1,,,40,0
2,5,2,502,3878,2,1,30,9,,,30,41
2,5,2,502,3878,3,1,35,8,,,35,26
2,5,2,502,3878,4,1,60,3,,,40,0
2,5,2,502,3878,5,1,27,11,,"YOUTH LEADER",27,26
2,5,2,504,708,1,1,66,1,,,66,52
2,5,2,504,708,2,2,51,2,,,51,16
2,5,2,504,708,3,1,85,9,,,85,51
2,5,2,504,708,4,1,31,,11,"YOUTH LEADER",31,26
2,5,2,504,708,5,2,80,,11,"WOMEN LEADER",80,0
2,5,2,506,830,1,1,40,1,,,40,16
2,5,2,506,830,2,1,65,9,,,65,52
2,5,2,506,830,3,1,45,3,,,45,26
2,5,2,506,830,4,1,55,8,,,55,16
2,5,2,506,830,5,1,55,3,,,55,16
2,5,2,506,830,6,1,50,3,,,45,0
2,5,2,506,830,7,1,30,6,,,30,26
2,5,2,508,718,1,1,43,1,,,43,26
2,5,2,508,718,2,1,65,9,,,24,51
2,5,2,508,718,3,1,37,8,,,37,26
2,5,2,508,718,4,1,36,8,,,36,26
2,5,2,508,718,5,1,42,3,,,42,26
2,5,2,508,984,1,1,68,3,,,43,51
2,5,2,508,984,2,1,29,8,,,29,51
2,5,2,508,984,3,1,53,3,,,52,52
2,5,2,508,984,4,1,28,8,,,28,16
2,5,2,508,984,5,1,55,9,,,51,51
2,5,1,510,872,1,1,51,1,,,12,41
2,5,1,510,872,2,2,40,2,,,10,26
2,5,1,510,872,3,1,56,9,,,11,42
2,5,1,510,872,4,1,42,,11,"YOUTH LEADER",42,34
2,5,1,510,872,5,2,47,,11,"WOMEN LEADER",47,26
2,5,2,510,1516,1,1,61,1,,,61,0
2,5,2,510,1516,2,2,51,2,,,51,0
2,5,2,510,1516,3,1,56,9,,,56,51
2,5,2,510,1516,4,1,41,,11,"YOUTH LEADER",41,0
2,5,2,510,1516,5,2,41,,11,"WOMEN LEADER",41,0
2,5,2,513,348,1,1,63,1,,,40,34
2,5,2,513,348,2,1,60,9,,,27,61
2,5,2,513,348,3,1,32,11,,"YOUTH LEADER",32,16
2,5,2,513,348,4,1,52,3,,,52,16
2,5,2,513,348,5,1,22,8,,,22,16
2,5,2,514,710,1,1,43,1,,,43,26
2,5,2,514,710,2,2,29,2,,,29,23
2,5,2,514,710,3,1,51,9,,,51,16
2,5,2,514,710,4,1,26,,11,"YOUTH LEADER",26,26
2,5,2,514,710,5,2,31,,11,"WOMEN LEADER",31,23
2,5,1,514,2036,1,1,42,1,,,42,34
2,5,1,514,2036,2,2,28,2,,,28,26
2,5,1,514,2036,3,1,80,9,,,80,51
2,5,1,514,2036,4,1,28,11,,,28,26
2,5,1,514,2036,5,2,35,11,,,35,34
2,5,2,515,18,1,1,67,1,,,67,0
2,5,2,515,18,2,2,47,2,,,47,0
2,5,2,515,18,3,1,41,9,,,41,51
2,5,2,515,18,4,1,46,8,,,46,16
2,5,2,515,18,5,2,48,,11,"WOMEN LEADER",48,0
2,5,2,515,18,6,1,48,,11,"YOUTH LEADER",48,0
2,5,2,516,942,1,1,55,1,,,55,51
2,5,2,516,942,2,2,41,2,,,41,16
2,5,2,516,942,3,1,65,9,,,65,51
2,5,2,516,942,4,1,50,8,,,50,51
2,5,2,516,942,5,2,35,11,,"WOMEN LEADER",35,51
2,5,2,516,942,6,1,33,11,,"YOUTH LEADER",33,51
2,5,2,518,1304,1,1,30,1,,,10,21
2,5,2,518,1304,2,1,45,6,,,45,41
2,5,2,518,1304,3,1,44,3,,,44,0
2,5,2,518,1304,4,1,54,8,,,54,0
2,5,2,518,1304,5,1,33,11,,"WOMEN LEADER",33,16
2,5,2,518,1304,6,1,43,11,,"WOMAN LEADER",43,16
2,5,2,518,1588,1,1,53,1,,,53,0
2,5,2,518,1588,2,1,40,9,,,40,51
2,5,2,518,1588,3,1,43,4,,,43,26
2,5,2,518,1588,4,1,45,3,,,45,16
2,5,2,518,1588,5,1,53,11,,"POLITICIAN",53,51
2,5,2,520,1756,1,1,46,1,,,46,0
2,5,2,520,1756,2,2,36,2,,,36,0
2,5,2,520,1756,3,1,51,9,,,51,51
2,5,2,520,1756,4,1,38,11,,,38,16
2,5,2,520,1756,5,1,61,8,,,61,0
5,6,2,601,640,1,1,68,1,,,50,43
5,6,2,601,640,2,1,46,11,,"CDC CHAIRMAN",46,34
5,6,2,601,640,3,1,55,11,,"VICE CDC CHAIRMAN",55,26
5,6,2,601,640,4,1,36,11,,"ASST SECRETARY",30,42
5,6,2,601,640,5,1,40,11,,"CDC MEMBER",3,42
5,6,2,601,640,6,2,56,4,,"SCHOOL HEADMASTER",30,42
5,6,2,601,640,7,2,58,11,,"WOMEN LEADER",35,34
5,6,2,602,1356,1,1,59,1,,,18,26
5,6,2,602,1356,2,2,54,2,,,18,16
5,6,2,602,1356,3,1,51,11,,"CDC CHAIRMAN",35,42
5,6,2,602,1356,4,1,35,5,,,30,34
5,6,2,602,1356,5,2,40,11,,"WOMEN LEADER",32,13
5,6,2,605,162,1,1,36,1,,,36,26
5,6,2,605,162,2,2,28,2,,,3,42
5,6,2,605,162,3,1,40,3,,,31,26
5,6,2,605,162,4,1,42,11,,"CDC CHAIRMAN",21,26
5,6,2,605,162,5,2,46,11,,"WOMEN HEAD",16,26
5,6,2,605,162,6,1,39,11,,"YOUTH LEADER",31,34
5,6,2,606,1372,1,1,73,1,,,20,42
5,6,2,606,1372,2,2,32,11,,"WOMEN LEADER",28,16
5,6,2,606,1372,3,1,59,11,,"CDC CHAIRMAN",59,42
5,6,2,606,1372,4,1,39,11,,"CDC SECRETARY",30,42
5,6,2,606,1372,5,1,23,11,,"YOUTH LEADER",20,26
5,6,2,607,1892,1,1,54,1,,,40,42
5,6,2,607,1892,2,2,50,2,,,40,26
5,6,2,607,1892,3,1,56,11,,"CDC CHAIRMAN",56,42
5,6,2,607,1892,4,1,39,11,,"VICE CHAIRMAN",20,26
5,6,2,607,1892,5,1,30,11,,"FINANCIAL SECRETARY",30,26
5,6,2,607,1892,6,2,54,11,,"WOMEN LEADER",54,16
5,6,2,607,1892,7,1,31,11,,"YOUTH LEADER",28,26
5,6,2,607,1892,8,1,56,4,,"SCHOOL HEADMASTER",56,42
5,6,2,608,748,1,1,43,1,,,43,41
5,6,2,608,748,2,2,30,2,,,11,16
5,6,2,608,748,3,1,38,11,,"CDC CHAIRMAN",38,26
5,6,2,608,748,4,1,30,11,,"YOUTH LEADER",18,42
5,6,2,608,748,5,2,56,11,,"WOMEN LEADER",56,12
5,6,1,608,3978,1,1,60,1,,,30,42
