"zone","state","lga","sector","ea","c0q2","c0q3","c0q4","c0q6","c0q7","c0q9","c0q10"
4,4,402,2,1080,402,,,412,,,
4,4,403,2,836,402,,,412,,,
4,4,405,2,484,401,,,413,,,
4,4,405,2,722,401,,,413,,,
4,4,407,2,796,401,,,413,,,
4,4,410,1,3192,401,,,413,,,
4,4,410,1,3414,401,,,413,,,
4,4,410,2,4036,402,,,412,,,
4,4,411,1,1486,402,,,412,,,
4,4,412,2,1606,402,,,412,,,
4,4,412,2,2592,402,,,412,,,
4,4,413,2,1540,401,,,413,,,
4,4,414,1,2176,402,,,412,,,
4,4,415,1,2108,402,,,412,,,
4,4,416,1,616,402,,,412,,,
4,4,417,1,678,402,,,412,,,
4,4,418,1,44,402,,,412,,,
4,4,419,2,296,401,,,413,,,
4,4,421,1,800,401,,,413,,,
2,5,501,2,60,501,3/20/2013,,510,3/25/2013,,
2,5,502,1,2194,501,,,510,3/10/2013,,
2,5,502,2,3878,501,,,510,3/11/2013,,
2,5,504,2,708,502,,,502,,,
2,5,506,2,830,501,2/25/2013,2/25/2013,510,2/28/2013,,
2,5,508,2,718,501,,,510,3/25/2013,,
2,5,508,2,984,501,3/18/2013,,510,3/20/2013,,
2,5,510,1,872,502,,,502,,,
2,5,510,2,1516,502,,,502,,,
2,5,513,2,348,501,3/10/2013,,510,3/13/2013,,
2,5,514,2,710,502,,,502,,,
2,5,514,1,2036,502,,,502,,,
2,5,515,2,18,502,,,502,,,
2,5,516,2,942,502,,,502,,,
2,5,518,2,1304,501,2/27/2013,,510,3/4/2013,,
2,5,518,2,1588,501,3/5/2013,3/5/2013,510,3/6/2013,,
2,5,520,2,1756,502,,,502,,,
5,6,601,2,640,601,3/10/2013,,604,3/28/2013,,
5,6,602,2,1356,601,,,604,,,
5,6,605,2,162,601,3/29/2013,,604,3/30/2013,,
5,6,606,2,1372,601,,,604,,,
5,6,607,2,1892,601,3/16/2013,,604,3/28/2013,,
5,6,608,2,748,601,3/26/2013,,604,3/27/2013,,
5,6,608,1,3978,601,3/21/2013,,604,3/30/2013,,
1,7,701,2,606,702,,,702,,,
1,7,702,2,632,702,,,702,,,
1,7,705,2,4186,701,,,701,,,
1,7,707,2,560,701,,,701,,,
1,7,708,2,754,701,,,701,,,
1,7,709,2,1226,701,,,701,,,
1,7,710,2,2726,701,,,701,,,
1,7,711,2,2532,701,,,701,,,
1,7,713,2,304,702,,,702,,,
1,7,715,1,294,702,,,702,,,
1,7,715,2,780,702,,,702,,2,
1,7,717,2,1248,702,,,702,,,
1,7,718,2,1640,702,,,702,,2,
1,7,719,1,1612,702,,,,,,
1,7,722,2,234,701,,,701,,,
1,7,722,2,892,701,,,701,,,
2,8,802,2,1152,802,,,802,,,
2,8,803,1,944,801,,,809,,,
2,8,805,2,46,802,,,802,,,
2,8,807,2,946,802,,,802,,,
2,8,807,2,1438,802,,,802,,,
2,8,807,2,2396,802,,,802,,,
2,8,809,2,1748,801,,,809,,,
2,8,811,2,390,802,,,802,,,
2,8,811,1,1558,802,,,802,,,
2,8,812,2,866,802,,,802,,,
2,8,813,2,2094,801,,,809,,,
2,8,815,2,362,801,,,809,,,
2,8,816,2,1270,801,,,809,,,
2,8,817,1,2476,801,,,809,,,
2,8,820,2,1030,801,,,809,,,
2,8,821,1,5062,802,,,802,,,
2,8,823,2,548,801,,,809,,,
2,8,824,2,768,801,,,809,,,
2,8,826,2,926,801,,,809,,,
2,8,827,2,804,802,,,802,,,
5,9,901,2,398,901,,,906,,,
5,9,903,2,48,901,,,906,,,
5,9,905,2,978,901,,,906,,,
5,9,907,2,1446,901,,,906,,,
5,9,908,1,278,901,,,906,,,
5,9,910,2,200,901,,,906,,,
5,9,912,2,102,901,,,906,,,
5,9,913,2,2266,901,,,906,,,
5,9,914,2,1746,901,,,906,,,
5,9,915,1,1390,901,,,906,,,
5,9,916,2,1068,901,,,906,,,
5,9,917,1,1254,901,,,906,,,
5,9,918,2,834,901,,,906,,,
5,10,1001,2,172,1001,,,1001,,,
5,10,1005,1,662,1002,,,1009,,,
