"zone","state","lga","sector","ea","group_cd","group_specify","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
4,4,402,2,1080,305,,1,1,2,,160,160,80
4,4,402,2,1080,306,,1,1,2,,50,23,41
4,4,402,2,1080,307,,1,1,4,,70,18,25
4,4,402,2,1080,308,,1,1,2,,35,14,17
4,4,402,2,1080,309,,2,,,,,,
4,4,402,2,1080,310,,2,,,,,,
4,4,402,2,1080,311,,2,,,,,,
4,4,402,2,1080,312,,2,,,,,,
4,4,402,2,1080,313,,1,1,1,,15,0,10
4,4,402,2,1080,314,,2,,,,,,
4,4,402,2,1080,315,,2,,,,,,
4,4,403,2,836,301,,1,1,4,,28,0,0
4,4,403,2,836,302,,2,,,,,,
4,4,403,2,836,303,,2,,,,,,
4,4,403,2,836,304,,2,,,,,,
4,4,403,2,836,305,,1,1,2,,200,200,80
4,4,403,2,836,306,,1,1,2,,27,17,18
4,4,403,2,836,307,,1,1,2,,18,7,3
4,4,403,2,836,308,,1,1,2,,15,6,8
4,4,403,2,836,309,,2,,,,,,
4,4,403,2,836,310,,2,,,,,,
4,4,403,2,836,311,,2,,,,,,
4,4,403,2,836,312,,2,,,,,,
4,4,403,2,836,313,,1,1,1,,21,0,15
4,4,403,2,836,314,,2,,,,,,
4,4,403,2,836,315,,2,,,,,,
4,4,405,2,484,301,,2,,,,,,
4,4,405,2,484,302,,2,,,,,,
4,4,405,2,484,303,,2,,,,,,
4,4,405,2,484,304,,2,,,,,,
4,4,405,2,484,305,,1,1,3,,20,20,5
4,4,405,2,484,306,,1,1,3,,30,18,10
4,4,405,2,484,307,,1,4,2,,,,
4,4,405,2,484,308,,2,,,,,,
4,4,405,2,484,309,,2,,,,,,
4,4,405,2,484,310,,2,,,,,,
4,4,405,2,484,311,,1,1,2,,15,8,5
4,4,405,2,484,312,,2,,,,,,
4,4,405,2,484,313,,1,1,1,,25,0,5
4,4,405,2,484,314,,2,,,,,,
4,4,405,2,484,315,,2,,,,,,
4,4,405,2,722,301,,2,,,,,,
4,4,405,2,722,302,,1,1,2,,15,10,3
4,4,405,2,722,303,,2,,,,,,
4,4,405,2,722,304,,2,,,,,,
4,4,405,2,722,305,,1,1,2,,20,20,5
4,4,405,2,722,306,,1,1,2,,16,8,12
4,4,405,2,722,307,,1,1,1,,18,10,8
4,4,405,2,722,308,,1,1,2,,10,3,4
4,4,405,2,722,309,,2,,,,,,
4,4,405,2,722,310,,2,,,,,,
4,4,405,2,722,311,,1,1,3,,22,12,6
4,4,405,2,722,312,,2,,,,,,
4,4,405,2,722,313,,1,1,1,,15,,5
4,4,405,2,722,314,,2,,,,,,
4,4,405,2,722,315,,2,,,,,,
4,4,407,2,796,301,,2,,,,,,
4,4,407,2,796,302,,2,,,,,,
4,4,407,2,796,303,,2,,,,,,
4,4,407,2,796,304,,2,,,,,,
4,4,407,2,796,305,,1,1,3,,17,15,5
4,4,407,2,796,306,,1,1,2,,20,10,10
4,4,407,2,796,307,,2,,,,,,
4,4,407,2,796,308,,1,1,3,,10,3,5
4,4,407,2,796,309,,2,,,,,,
4,4,407,2,796,310,,2,,,,,,
4,4,407,2,796,311,,1,1,3,,20,8,10
4,4,407,2,796,312,,2,,,,,,
4,4,407,2,796,313,,1,1,1,,15,0,10
4,4,407,2,796,314,,2,,,,,,
4,4,407,2,796,315,,2,,,,,,
4,4,410,1,3192,301,,2,,,,,,
4,4,410,1,3192,302,,2,,,,,,
4,4,410,1,3192,303,,2,,,,,,
4,4,410,1,3192,304,,2,,,,,,
4,4,410,1,3192,305,,1,2,2,,25,25,15
4,4,410,1,3192,306,,1,1,2,,15,7,11
4,4,410,1,3192,307,,1,4,1,,20,8,7
4,4,410,1,3192,308,,1,2,2,,12,4,5
4,4,410,1,3192,309,,2,,,,,,
4,4,410,1,3192,310,,2,,,,,,
4,4,410,1,3192,311,,1,1,3,,14,7,6
4,4,410,1,3192,312,,2,,,,,,
4,4,410,1,3192,313,,1,1,1,,10,0,5
4,4,410,1,3192,314,,2,,,,,,
4,4,410,1,3192,315,,2,,,,,,
4,4,410,1,3414,301,,2,,,,,,
4,4,410,1,3414,302,,1,1,3,,20,12,6
4,4,410,1,3414,303,,2,,,,,,
4,4,410,1,3414,304,,2,,,,,,
4,4,410,1,3414,305,,1,1,2,,24,24,10
4,4,410,1,3414,306,,1,1,2,,15,8,11
4,4,410,1,3414,307,,1,1,1,,30,16,28
4,4,410,1,3414,308,,1,2,2,,10,3,6
4,4,410,1,3414,309,,2,,,,,,
4,4,410,1,3414,310,,2,,,,,,
4,4,410,1,3414,311,,1,1,3,,12,6,4
4,4,410,1,3414,312,,2,,,,,,
4,4,410,1,3414,313,,1,1,1,,10,0,6
4,4,410,1,3414,314,,2,,,,,,
4,4,410,1,3414,315,,2,,,,,,
4,4,410,2,4036,301,,1,1,3,,33,0,0
4,4,410,2,4036,302,,2,,,,,,
4,4,410,2,4036,303,,2,,,,,,
4,4,410,2,4036,304,,2,,,,,,
4,4,410,2,4036,305,,1,1,2,,210,210,98
4,4,410,2,4036,306,,1,1,2,,45,20,37
4,4,410,2,4036,307,,1,1,3,,50,10,20
4,4,410,2,4036,308,,1,1,2,,27,17,19
4,4,410,2,4036,309,,2,,,,,,
4,4,410,2,4036,310,,2,,,,,,
4,4,410,2,4036,311,,2,,,,,,
4,4,410,2,4036,312,,2,,,,,,
4,4,410,2,4036,313,,1,1,1,,25,0,18
4,4,410,2,4036,314,,2,,,,,,
4,4,410,2,4036,315,,2,,,,,,
4,4,411,1,1486,301,,2,,,,,,
4,4,411,1,1486,302,,2,,,,,,
4,4,411,1,1486,303,,2,,,,,,
4,4,411,1,1486,304,,2,,,,,,
4,4,411,1,1486,305,,1,1,2,,220,220,75
4,4,411,1,1486,306,,1,1,2,,130,60,
4,4,411,1,1486,307,,1,1,2,,27,7,9
4,4,411,1,1486,308,,1,1,2,,21,9,15
4,4,411,1,1486,309,,2,,,,,,
4,4,411,1,1486,310,,2,,,,,,
4,4,411,1,1486,311,,1,1,3,,35,20,11
4,4,411,1,1486,312,,2,,,,,,
4,4,411,1,1486,313,,1,1,1,,17,0,12
4,4,411,1,1486,314,,2,,,,,,
4,4,411,1,1486,315,,2,,,,,,
4,4,412,2,1606,301,,1,1,2,,23,0,5
4,4,412,2,1606,302,,2,,,,,,
4,4,412,2,1606,303,,2,,,,,,
