"zone","state","lga","sector","ea","amenities_cd","c5q1"
4,1,117,2,560,523,4
4,1,117,2,560,524,6
4,1,117,2,560,525,2
4,1,117,2,560,526,4
4,1,117,2,560,527,4
4,1,117,2,560,528,4
4,1,117,2,560,529,3
4,1,117,2,560,530,3
4,1,117,2,560,531,3
4,1,117,2,560,532,4
4,1,117,2,560,533,3
4,1,117,2,560,534,4
2,2,201,2,60,501,5
2,2,201,2,60,502,5
2,2,201,2,60,503,5
2,2,201,2,60,504,5
2,2,201,2,60,505,4
2,2,201,2,60,506,3
2,2,201,2,60,507,2
2,2,201,2,60,508,3
2,2,201,2,60,509,6
2,2,201,2,60,510,4
2,2,201,2,60,511,4
2,2,201,2,60,512,5
2,2,201,2,60,513,4
2,2,201,2,60,514,4
2,2,201,2,60,515,4
2,2,201,2,60,516,4
2,2,201,2,60,517,4
2,2,201,2,60,518,4
2,2,201,2,60,519,4
2,2,201,2,60,520,4
2,2,201,2,60,521,3
2,2,201,2,60,522,4
2,2,201,2,60,523,4
2,2,201,2,60,524,2
2,2,201,2,60,525,2
2,2,201,2,60,526,4
2,2,201,2,60,527,4
2,2,201,2,60,528,4
2,2,201,2,60,529,3
2,2,201,2,60,530,3
2,2,201,2,60,531,3
2,2,201,2,60,532,3
2,2,201,2,60,533,2
2,2,201,2,60,534,3
2,2,203,2,1224,501,4
2,2,203,2,1224,502,3
2,2,203,2,1224,503,4
2,2,203,2,1224,504,4
2,2,203,2,1224,505,3
2,2,203,2,1224,506,3
2,2,203,2,1224,507,2
2,2,203,2,1224,508,2
2,2,203,2,1224,509,2
2,2,203,2,1224,510,4
2,2,203,2,1224,511,3
2,2,203,2,1224,512,4
2,2,203,2,1224,513,4
2,2,203,2,1224,514,4
2,2,203,2,1224,515,3
2,2,203,2,1224,516,3
2,2,203,2,1224,517,3
2,2,203,2,1224,518,3
2,2,203,2,1224,519,3
2,2,203,2,1224,520,3
2,2,203,2,1224,521,2
2,2,203,2,1224,522,3
2,2,203,2,1224,523,3
2,2,203,2,1224,524,2
2,2,203,2,1224,525,2
2,2,203,2,1224,526,2
2,2,203,2,1224,527,4
2,2,203,2,1224,528,4
2,2,203,2,1224,529,4
2,2,203,2,1224,530,4
2,2,203,2,1224,531,3
2,2,203,2,1224,532,3
2,2,203,2,1224,533,3
2,2,203,2,1224,534,3
2,2,205,2,712,501,4
2,2,205,2,712,502,4
2,2,205,2,712,503,4
2,2,205,2,712,504,4
2,2,205,2,712,505,4
2,2,205,2,712,506,3
2,2,205,2,712,507,4
2,2,205,2,712,508,3
2,2,205,2,712,509,3
2,2,205,2,712,510,3
2,2,205,2,712,511,4
2,2,205,2,712,512,4
2,2,205,2,712,513,4
2,2,205,2,712,514,3
2,2,205,2,712,515,4
2,2,205,2,712,516,4
2,2,205,2,712,517,4
2,2,205,2,712,518,4
