"zone","state","lga","sector","ea","is_cd","sc2q1","sc2q2","sc2q3","sc2q4a","sc2q4b","sc2q5","sc2q6a","sc2q6b"
4,1,107,2,1044,205,1,8,,,,,,
4,1,107,2,1044,206,2,,6,4,,100,,30
4,1,107,2,1044,207,1,8,,,,,,
4,1,107,2,1044,208,2,,15,5,,200,1,10
4,1,107,2,1044,209,1,8,,,,,,
4,1,107,2,1044,210,2,,15,5,,200,1,10
4,1,107,2,1044,211,2,,15,5,,200,1,10
4,1,107,2,1044,212,2,,6,4,,100,,30
4,1,107,2,1044,213,2,,6,4,,100,,30
4,1,107,2,1044,214,2,,6,4,,100,,30
4,1,107,2,1044,215,2,,15,5,,200,1,10
4,1,107,2,1044,216,2,,15,5,,200,1,10
4,1,107,2,1044,217,2,,6,4,,100,,30
4,1,107,2,1044,218,2,,6,4,,100,,30
4,1,107,2,1044,219,1,8,,,,,,
4,1,107,2,1044,220,1,8,,,,,,
4,1,107,2,1044,221,1,8,,,,,,
4,1,107,2,1044,222,2,,15,5,,200,1,10
4,1,108,2,904,201,1,,,,,,,
4,1,108,2,904,202,1,,,,,,,
4,1,108,2,904,203,1,,,,,,,
4,1,108,2,904,204,1,1,,,,,,
4,1,108,2,904,205,2,,5,4,,70,,20
4,1,108,2,904,206,1,8,,,,,,
4,1,108,2,904,207,2,,5,4,,70,,20
4,1,108,2,904,208,2,,5,4,,70,,20
4,1,108,2,904,209,1,8,,,,,,
4,1,108,2,904,210,2,,20,5,,150,,40
4,1,108,2,904,211,2,,20,5,,150,,40
4,1,108,2,904,212,2,,1.5,4,,100,,20
4,1,108,2,904,213,1,,,,,,,
4,1,108,2,904,214,1,8,,,,,,
4,1,108,2,904,215,2,,1.5,4,,100,,20
4,1,108,2,904,216,2,,1.5,4,,70,,25
4,1,108,2,904,217,2,,1.5,4,,70,,25
4,1,108,2,904,218,1,8,,,,,,
4,1,108,2,904,219,1,8,,,,,,
4,1,108,2,904,220,1,8,,,,,,
4,1,108,2,904,221,1,8,,,,,,
4,1,108,2,904,222,2,,15,5,,150,,40
4,1,110,2,76,201,1,,,,,,,
4,1,110,2,76,202,1,,,,,,,
4,1,110,2,76,203,1,,,,,,,
4,1,110,2,76,204,1,8,,,,,,
4,1,110,2,76,205,2,,8,5,,100,,25
4,1,110,2,76,206,2,,8,5,,100,,25
4,1,110,2,76,207,2,,8,5,,100,,25
4,1,110,2,76,208,2,,8,5,,100,,25
4,1,110,2,76,209,1,8,,,,,,
4,1,110,2,76,210,2,,8,5,,100,,25
4,1,110,2,76,211,2,,8,5,,100,,25
4,1,110,2,76,212,2,,8,5,,100,,25
4,1,110,2,76,213,2,,8,5,,100,,25
4,1,110,2,76,214,1,8,,,,,,
4,1,110,2,76,215,2,,8,5,,100,,25
4,1,110,2,76,216,2,,8,5,,100,,25
4,1,110,2,76,217,1,1,,,,,,
4,1,110,2,76,218,1,8,,,,,,
4,1,110,2,76,219,1,8,,,,,,
4,1,110,2,76,220,1,8,,,,,,
4,1,110,2,76,221,1,8,,,,,,
4,1,110,2,76,222,2,,20,5,,300,1,
4,1,111,1,1146,201,1,,,,,,,
4,1,111,1,1146,202,1,,,,,,,
4,1,111,1,1146,203,1,,,,,,,
4,1,111,1,1146,204,1,8,,,,,,
4,1,111,1,1146,205,1,8,,,,,,
4,1,111,1,1146,206,1,8,,,,,,
4,1,111,1,1146,207,1,8,,,,,,
4,1,111,1,1146,208,1,8,,,,,,
4,1,111,1,1146,209,1,8,,,,,,
4,1,111,1,1146,210,1,8,,,,,,
4,1,111,1,1146,211,1,8,,,,,,
4,1,111,1,1146,212,1,,,,,,,
4,1,111,1,1146,213,1,,,,,,,
4,1,111,1,1146,214,1,8,,,,,,
4,1,111,1,1146,215,1,1,,,,,,
4,1,111,1,1146,216,1,8,,,,,,
4,1,111,1,1146,217,1,1,,,,,,
4,1,111,1,1146,218,1,8,,,,,,
4,1,111,1,1146,219,1,8,,,,,,
4,1,111,1,1146,220,1,8,,,,,,
4,1,111,1,1146,221,1,8,,,,,,
4,1,111,1,1146,222,2,,,,,,,
4,1,115,1,670,201,1,,,,,,,
4,1,115,1,670,202,1,,,,,,,
4,1,115,1,670,203,2,,1.5,8,"KEKE",40,,20
4,1,115,1,670,204,1,8,,,,,,
4,1,115,1,670,205,2,,2,8,"KEKE",50,,20
4,1,115,1,670,206,1,8,,,,,,
4,1,115,1,670,207,1,8,,,,,,
4,1,115,1,670,208,1,8,,,,,,
4,1,115,1,670,209,2,,2,8,"KEKE",50,,20
4,1,115,1,670,210,2,,2,8,"KEKE",50,,20
4,1,115,1,670,211,2,,2,8,"KEKE",50,,20
4,1,115,1,670,212,2,,2,8,"KEKE",50,,25
4,1,115,1,670,213,2,,2,8,"KEKE",50,,25
4,1,115,1,670,214,1,8,,,,,,
4,1,115,1,670,215,2,,2,8,"KEKE",50,,25
4,1,115,1,670,216,2,,2,8,"KEKE",50,,20
4,1,115,1,670,217,2,,2,8,"KEKE",50,,20
4,1,115,1,670,218,1,8,,,,,,
4,1,115,1,670,219,2,,0.5,8,"KEKE",30,,20
4,1,115,1,670,220,1,8,,,,,,
4,1,115,1,670,221,2,,1.5,8,"KEKE",40,,20
4,1,115,1,670,222,2,,1,8,"KEKE",50,,20
4,1,117,2,560,201,1,,,,,,,
4,1,117,2,560,202,1,,,,,,,
4,1,117,2,560,203,2,,3,4,,50,,15
4,1,117,2,560,204,1,8,,,,,,
4,1,117,2,560,205,2,,30,5,,500,1,30
4,1,117,2,560,206,1,8,,,,,,
4,1,117,2,560,207,2,,2,4,,100,,20
4,1,117,2,560,208,2,,2,4,,100,,20
4,1,117,2,560,209,2,,2,4,,100,,20
4,1,117,2,560,210,2,,30,5,,500,1,30
4,1,117,2,560,211,2,,30,5,,500,1,30
4,1,117,2,560,212,1,,,,,,,
4,1,117,2,560,213,2,,5,5,,50,,25
4,1,117,2,560,214,1,8,,,,,,
4,1,117,2,560,215,2,,30,5,,600,1,30
4,1,117,2,560,216,2,,10,5,,100,,30
4,1,117,2,560,217,2,,10,5,,100,,30
4,1,117,2,560,218,2,,3,4,,70,,25
4,1,117,2,560,219,1,8,,,,,,
4,1,117,2,560,220,1,8,,,,,,
4,1,117,2,560,221,1,8,,,,,,
4,1,117,2,560,222,2,,30,5,,600,1,30
2,2,201,2,60,201,1,,0.400000005960464,1,,,,
2,2,201,2,60,202,1,,0.600000023841858,1,,,,
2,2,201,2,60,203,1,,0.400000005960464,1,,,,
2,2,201,2,60,204,1,,0.600000023841858,1,,,,
2,2,201,2,60,205,1,,0.600000023841858,1,,,,
2,2,201,2,60,206,2,,,2,,,,
2,2,201,2,60,207,1,,0.600000023841858,1,,,,
2,2,201,2,60,208,2,,,,,,,
2,2,201,2,60,209,1,,0.600000023841858,1,,,,
2,2,201,2,60,210,2,,,,,,,
2,2,201,2,60,211,2,,,,,,,
2,2,201,2,60,212,2,,,,,,,
2,2,201,2,60,213,2,,,,,,,
2,2,201,2,60,214,2,,,,,,,
2,2,201,2,60,215,2,,,,,,,
2,2,201,2,60,216,2,,,,,,,
2,2,201,2,60,217,2,,,,,,,
2,2,201,2,60,218,1,8,0.600000023841858,1,,,,
2,2,201,2,60,219,1,1,0.600000023841858,1,,,,
2,2,201,2,60,220,1,8,0.600000023841858,1,,,,
2,2,201,2,60,221,2,,,,,,,
2,2,201,2,60,222,2,,,,,,,
2,2,203,2,1224,201,2,,,,,,,
2,2,203,2,1224,202,1,,0.5,1,,,10,
2,2,203,2,1224,203,2,,,,,,,
2,2,203,2,1224,204,1,8,0.5,1,,,30,
2,2,203,2,1224,205,2,,,,,,,
2,2,203,2,1224,206,2,,,,,,,
2,2,203,2,1224,207,2,,,,,,,
2,2,203,2,1224,208,2,,,,,,,
2,2,203,2,1224,209,2,,,,,,,
2,2,203,2,1224,210,2,,,,,,,
2,2,203,2,1224,211,2,,,,,,,
2,2,203,2,1224,212,2,,,,,,,
2,2,203,2,1224,213,2,,,,,,,
2,2,203,2,1224,214,2,,,,,,,
2,2,203,2,1224,215,2,,,,,,,
2,2,203,2,1224,216,2,,,,,,,
2,2,203,2,1224,217,2,,,,,,,
2,2,203,2,1224,218,2,,,,,,,
2,2,203,2,1224,219,2,,,,,,,
2,2,203,2,1224,220,1,8,0.200000002980232,1,,,,5
2,2,203,2,1224,221,2,,,,,,,
2,2,203,2,1224,222,2,,,,,,,
2,2,205,2,712,201,1,,,,,,,
2,2,205,2,712,202,1,,,,,,,
2,2,205,2,712,203,1,,,,,,,
2,2,205,2,712,204,1,8,,,,,,
2,2,205,2,712,205,1,8,,,,,,
2,2,205,2,712,206,2,,5,1,,,,
2,2,205,2,712,207,2,,5,1,,,,
2,2,205,2,712,208,2,,5,1,,,,
2,2,205,2,712,209,2,,5,1,,,,
2,2,205,2,712,210,2,,15,1,,,,
2,2,205,2,712,211,2,,5,1,,,,
2,2,205,2,712,212,2,,10,1,,,,
2,2,205,2,712,213,2,,10,1,,,,
2,2,205,2,712,214,1,8,,,,,,
2,2,205,2,712,215,2,,10,1,,,,
2,2,205,2,712,216,2,,25,1,,,,
2,2,205,2,712,217,2,,25,1,,,,
2,2,205,2,712,218,1,8,,,,,,
2,2,205,2,712,219,1,8,,,,,,
2,2,205,2,712,220,1,8,,,,,,
2,2,205,2,712,221,2,,1,1,,,,
2,2,205,2,712,222,2,,25,1,,,,
2,2,207,2,1302,201,2,,,1,,,,
2,2,207,2,1302,202,1,,,,,,,
2,2,207,2,1302,203,1,,,,,,,
2,2,207,2,1302,204,2,,0.5,1,,,,
2,2,207,2,1302,205,2,,0.5,1,,,,
2,2,207,2,1302,206,2,,0.5,1,,,,
2,2,207,2,1302,207,2,,0.5,1,,,,
2,2,207,2,1302,208,2,,0.5,1,,,,
2,2,207,2,1302,209,2,,0.5,1,,,,
2,2,207,2,1302,210,2,,0.5,1,,,,
2,2,207,2,1302,211,2,,0.5,1,,,,
2,2,207,2,1302,212,2,,0.5,1,,,,
2,2,207,2,1302,213,2,,0.5,1,,,,
2,2,207,2,1302,215,2,,0.5,1,,,,
2,2,207,2,1302,216,2,,0.300000011920929,1,,,,
2,2,207,2,1302,217,2,,0.300000011920929,1,,,,
2,2,207,2,1302,218,2,,0.300000011920929,1,,,,
2,2,207,2,1302,219,2,,0.300000011920929,1,,,,
2,2,207,2,1302,220,1,5,,,,,,
2,2,207,2,1302,221,2,,0.300000011920929,1,,,,
2,2,207,2,1302,222,2,,0.300000011920929,1,,,,
2,2,209,2,1040,201,1,,2,1,,30,0,
2,2,209,2,1040,202,1,,1,1,,30,,
2,2,209,2,1040,203,1,,,,,,,
2,2,209,2,1040,204,1,8,1,1,,30,0,0
2,2,209,2,1040,205,1,8,3,1,,30,,
2,2,209,2,1040,206,1,8,3,4,,30,0,0
2,2,209,2,1040,207,2,,4,4,,40,0,0
2,2,209,2,1040,208,2,,4,4,,40,,
2,2,209,2,1040,209,1,8,3,4,,30,,
2,2,209,2,1040,210,2,,20,4,,150,0,40
2,2,209,2,1040,211,1,8,2,4,,40,0,10
2,2,209,2,1040,212,1,,2,4,,40,0,10
2,2,209,2,1040,213,1,,2,1,,30,0,10
2,2,209,2,1040,214,1,8,2,1,,30,0,
2,2,209,2,1040,215,2,,20,4,,150,0,40
2,2,209,2,1040,216,2,,15,5,,100,0,30
2,2,209,2,1040,217,2,,15,3,,100,0,30
2,2,209,2,1040,218,1,8,2,4,,30,0,8
2,2,209,2,1040,219,1,6,2,4,,30,0,5
2,2,209,2,1040,220,1,8,1,1,,,0,5
2,2,209,2,1040,221,2,,15,5,,100,0,30
2,2,209,2,1040,222,2,,15,5,,100,0,30
2,2,210,2,1300,201,2,,7,4,,150,0,30
2,2,210,2,1300,202,1,,1,1,,,,
2,2,210,2,1300,203,2,,2,1,,,,
2,2,210,2,1300,204,1,,1,1,,,0,
2,2,210,2,1300,205,2,,7,4,,150,0,30
2,2,210,2,1300,206,2,,7,4,,150,0,30
2,2,210,2,1300,207,2,,7,4,,150,0,30
2,2,210,2,1300,208,2,,7,4,,150,0,30
2,2,210,2,1300,209,2,,7,4,,150,0,30
2,2,210,2,1300,210,2,,15,5,,300,1,20
2,2,210,2,1300,211,2,,2,1,,,,
2,2,210,2,1300,212,2,,15,5,,300,1,12
2,2,210,2,1300,213,2,,15,5,,300,1,20
2,2,210,2,1300,214,2,,7,4,,150,0,30
2,2,210,2,1300,215,2,,20,5,,350,1,20
2,2,210,2,1300,216,2,,7,4,,150,0,30
2,2,210,2,1300,217,2,,7,4,,150,0,30
2,2,210,2,1300,218,2,,7,4,,150,0,30
2,2,210,2,1300,219,2,,7,4,,150,0,30
2,2,210,2,1300,220,1,8,0.100000001490116,1,,,,
2,2,210,2,1300,221,2,,7,4,,150,0,30
2,2,210,2,1300,222,2,,15,5,,300,1,20
2,2,212,2,956,201,2,,15,1,,,,
2,2,212,2,956,202,2,,15,1,,,,
2,2,212,2,956,203,2,,15,1,,,,
2,2,212,2,956,204,2,,15,1,,,,
2,2,212,2,956,205,2,,15,1,,,,
2,2,212,2,956,206,2,,15,1,,,,
2,2,212,2,956,207,2,,15,1,,,,
2,2,212,2,956,208,2,,15,1,,,,
2,2,212,2,956,209,2,,15,1,,,,
2,2,212,2,956,210,2,,45,1,,,,
2,2,212,2,956,211,2,,15,1,,,,
2,2,212,2,956,212,2,,15,1,,,,
2,2,212,2,956,213,2,,15,1,,,,
2,2,212,2,956,214,2,,15,1,,,,
2,2,212,2,956,215,2,,15,1,,,,
2,2,212,2,956,216,2,,15,1,,,,
2,2,212,2,956,217,2,,15,1,,,,
2,2,212,2,956,218,2,,15,1,,,,
2,2,212,2,956,219,2,,15,1,,,,
2,2,212,2,956,220,1,8,,,,,,
2,2,212,2,956,221,2,,15,1,,,,
2,2,212,2,956,222,2,,45,1,,,,
2,2,214,2,898,201,1,,,,,,,
2,2,214,2,898,202,1,,,,,,,
2,2,214,2,898,203,1,,,,,,,
2,2,214,2,898,204,1,8,,,,,,
2,2,214,2,898,205,1,8,,,,,,
2,2,214,2,898,206,2,,0.200000002980232,4,,30,0,40
2,2,214,2,898,207,2,,0.200000002980232,4,,30,0,40
2,2,214,2,898,208,2,,0.5,4,,30,0,40
2,2,214,2,898,209,1,8,,,,,,
2,2,214,2,898,210,2,,0.5,4,,30,0,40
2,2,214,2,898,211,1,8,,,,,,
2,2,214,2,898,212,2,,0.5,4,,30,0,40
2,2,214,2,898,213,2,,0.5,4,,30,0,40
2,2,214,2,898,214,1,8,,,,,,
2,2,214,2,898,215,1,8,,,,,,
2,2,214,2,898,216,1,8,,,,,,
2,2,214,2,898,217,2,,0.200000002980232,4,,30,0,40
2,2,214,2,898,218,1,8,,,,,,
2,2,214,2,898,219,1,8,,,,,,
2,2,214,2,898,220,1,8,,,,,,
2,2,214,2,898,221,1,8,,,,,,
2,2,214,2,898,222,2,,0.200000002980232,4,,30,0,40
2,2,215,1,8,201,2,,2,4,,30,0,10
2,2,215,1,8,202,1,,,1,,,0,2
2,2,215,1,8,203,1,,,1,,,0,2
2,2,215,1,8,204,1,8,,1,,,0,10
2,2,215,1,8,205,2,,3,4,,40,0,15
2,2,215,1,8,206,2,,2,4,,30,0,10
2,2,215,1,8,207,2,,2,4,,30,0,10
2,2,215,1,8,208,2,,2,4,,30,0,10
2,2,215,1,8,209,2,,2,4,,30,0,10
2,2,215,1,8,210,2,,3,4,,40,0,15
2,2,215,1,8,211,1,8,,1,,,0,10
2,2,215,1,8,212,1,,,1,,,0,10
2,2,215,1,8,213,2,,3,4,,40,0,15
2,2,215,1,8,214,1,8,3,1,,,0,5
2,2,215,1,8,215,2,,2,4,,30,0,10
2,2,215,1,8,216,2,,1,4,,30,0,7
2,2,215,1,8,217,2,,1,4,,30,0,7
2,2,215,1,8,218,1,8,,1,,,0,5
2,2,215,1,8,219,1,3,,1,,,0,5
2,2,215,1,8,220,1,8,,1,,,0,2
2,2,215,1,8,221,1,8,,1,,,0,6
2,2,215,1,8,222,2,,2,4,,30,0,10
2,2,216,2,200,201,2,,200,1,,,,
2,2,216,2,200,202,1,,,,,,,
2,2,216,2,200,203,2,,,,,,,
2,2,216,2,200,204,2,,,,,,,
2,2,216,2,200,205,2,,,,,,,
2,2,216,2,200,206,2,,,,,,,
2,2,216,2,200,207,2,,,,,,,
2,2,216,2,200,208,2,,,,,,,
2,2,216,2,200,209,2,,,,,,,
2,2,216,2,200,210,2,,,,,,,
2,2,216,2,200,211,2,,,,,,,
2,2,216,2,200,212,2,,,,,,,
2,2,216,2,200,213,2,,0.200000002980232,1,,,,
2,2,216,2,200,214,2,,0.200000002980232,1,,,,
2,2,216,2,200,215,2,,0.200000002980232,1,,,,
2,2,216,2,200,216,2,,0.200000002980232,1,,,,
2,2,216,2,200,217,2,,0.200000002980232,1,,,,
2,2,216,2,200,218,2,,0.200000002980232,1,,,,
2,2,216,2,200,219,2,,0.200000002980232,1,,,,
2,2,216,2,200,220,1,7,,,,,,
2,2,216,2,200,221,2,,0.100000001490116,1,,,,
2,2,216,2,200,222,2,,0.100000001490116,1,,,,
2,2,218,2,1592,201,2,,15,4,,250,1,30
2,2,218,2,1592,202,2,,15,4,,250,1,30
2,2,218,2,1592,203,2,,15,4,,250,1,30
2,2,218,2,1592,204,2,,10,4,,200,1,0
2,2,218,2,1592,205,2,,10,4,,200,1,0
2,2,218,2,1592,206,2,,15,4,,250,1,30
2,2,218,2,1592,207,2,,15,4,,250,1,30
2,2,218,2,1592,208,2,,15,4,,250,1,30
2,2,218,2,1592,209,2,,15,4,,250,1,30
2,2,218,2,1592,210,2,,40,5,,300,1,0
2,2,218,2,1592,211,2,,10,4,,200,1,0
2,2,218,2,1592,212,2,,15,4,,250,1,30
2,2,218,2,1592,213,2,,15,4,,250,1,30
2,2,218,2,1592,214,2,,10,4,,200,1,0
2,2,218,2,1592,215,2,,40,5,,300,1,0
2,2,218,2,1592,216,2,,15,4,,250,1,30
2,2,218,2,1592,217,2,,15,4,,250,1,30
2,2,218,2,1592,218,2,,10,4,,200,1,0
2,2,218,2,1592,219,2,,10,4,,200,1,0
2,2,218,2,1592,220,1,,0.100000001490116,1,,,,
2,2,218,2,1592,221,2,,15,4,,250,1,30
2,2,218,2,1592,222,2,,40,5,,300,1,0
2,2,221,2,18,201,2,,0.5,1,,,,
2,2,221,2,18,202,1,,,,,,,
2,2,221,2,18,203,2,,0.5,1,,,,
2,2,221,2,18,204,1,8,,,,,,
2,2,221,2,18,205,2,,0.5,1,,,,
2,2,221,2,18,206,2,,0.5,1,,,,
2,2,221,2,18,207,2,,0.5,1,,,,
2,2,221,2,18,208,2,,0.5,1,,,,
2,2,221,2,18,209,2,,0.5,1,,,,
2,2,221,2,18,210,2,,0.5,1,,,,
2,2,221,2,18,211,2,,0.5,1,,,,
2,2,221,2,18,212,2,,0.5,1,,,,
2,2,221,2,18,213,2,,15,1,,,,
2,2,221,2,18,214,2,,0.5,1,,,,
2,2,221,2,18,215,2,,15,1,,,,
2,2,221,2,18,216,2,,15,1,,,,
2,2,221,2,18,217,2,,15,1,,,,
2,2,221,2,18,218,2,,5,1,,,,
2,2,221,2,18,219,2,,5,1,,,,
2,2,221,2,18,220,1,7,,,,,,
2,2,221,2,18,221,2,,0.5,1,,,,
2,2,221,2,18,222,2,,23,1,,,,
5,3,301,1,1198,201,1,,,,,,,
5,3,301,1,1198,202,1,,,,,,,
5,3,301,1,1198,203,1,,,,,,,
5,3,301,1,1198,204,2,,1,4,,50,,6
5,3,301,1,1198,205,2,,1,4,,50,,6
5,3,301,1,1198,206,1,,,,,,,
5,3,301,1,1198,207,2,,1,4,,50,,6
5,3,301,1,1198,208,2,,1,4,,50,,6
5,3,301,1,1198,209,2,,1,4,,50,,6
5,3,301,1,1198,210,2,,1,4,,50,,6
5,3,301,1,1198,211,2,,1,4,,50,,6
5,3,301,1,1198,212,2,,1,4,,50,,6
5,3,301,1,1198,213,2,,1,4,,50,,6
5,3,301,1,1198,214,1,,,,,,,
5,3,301,1,1198,215,2,,1,4,,50,5,
5,3,301,1,1198,216,2,,,,,,,
5,3,301,1,1198,217,2,,,,,,,
5,3,301,1,1198,218,2,,,,,,,
5,3,301,1,1198,219,1,8,,,,,,
5,3,301,1,1198,220,1,8,,,,,,
5,3,301,1,1198,221,2,,,,,,,
5,3,301,1,1198,222,2,,,,,,,
5,3,305,2,4,201,1,3,,,,,,
5,3,305,2,4,202,1,,,,,,,
5,3,305,2,4,203,2,,15,4,,500,1,0
5,3,305,2,4,204,2,,3,1,,,,
5,3,305,2,4,205,2,,15,4,,500,1,0
5,3,305,2,4,206,2,,15,4,,500,1,0
5,3,305,2,4,207,2,,15,4,,500,1,0
5,3,305,2,4,208,2,,15,4,,500,1,0
5,3,305,2,4,209,1,8,,,,,,
5,3,305,2,4,210,2,,15,4,,500,1,0
5,3,305,2,4,211,2,,15,4,,500,1,0
5,3,305,2,4,212,2,,15,4,,500,1,0
5,3,305,2,4,213,2,,15,4,,500,1,0
5,3,305,2,4,214,2,,15,4,,500,1,0
5,3,305,2,4,215,2,,15,4,,500,1,0
5,3,305,2,4,216,2,,15,4,,500,1,0
5,3,305,2,4,217,2,,15,4,,500,1,0
5,3,305,2,4,218,2,,15,4,,500,1,0
5,3,305,2,4,219,2,,15,4,,500,1,0
5,3,305,2,4,220,1,,,,,,,
5,3,305,2,4,221,2,,2,1,,,,
5,3,305,2,4,222,2,,15,4,,,1,
5,3,305,2,1542,201,1,,,,,,,
5,3,305,2,1542,202,1,,,,,,,
5,3,305,2,1542,203,2,,3,4,,50,,10
5,3,305,2,1542,204,2,,2,4,,50,5,
5,3,305,2,1542,205,2,,13,4,,150,,20
5,3,305,2,1542,206,2,,1.29999995231628,4,,150,,20
5,3,305,2,1542,207,2,,13,4,,150,,20
5,3,305,2,1542,208,2,,13,4,,150,,20
5,3,305,2,1542,209,1,8,,,,,,
5,3,305,2,1542,210,2,,13,4,,150,,20
5,3,305,2,1542,211,2,,13,4,,150,,20
5,3,305,2,1542,212,2,,13,4,,150,,20
5,3,305,2,1542,213,2,,13,4,,150,,20
5,3,305,2,1542,214,2,,13,4,,150,,20
