"zone","state","lga","sector","ea","item_cd","sc8q1","sc8q2"
4,1,105,2,638,140,2,0
4,1,105,2,638,141,1,350
4,1,105,2,638,142,1,400
4,1,105,2,638,143,1,550
4,1,105,2,638,144,2,0
4,1,105,2,638,145,1,450
4,1,105,2,638,146,2,0
4,1,105,2,638,147,1,120
4,1,105,2,638,150,2,0
4,1,105,2,638,152,1,1200
4,1,105,2,638,154,2,0
4,1,105,2,638,170,1,150
4,1,105,2,638,171,1,150
4,1,105,2,638,172,2,0
4,1,105,2,638,173,2,0
4,1,105,2,638,174,1,150
4,1,105,2,638,175,2,0
4,1,105,2,638,181,2,0
4,1,105,2,638,182,2,0
4,1,105,2,638,183,2,0
4,1,105,2,638,184,2,0
4,1,105,2,638,201,1,10
4,1,105,2,638,202,1,100
4,1,105,2,638,204,1,2
4,1,105,2,638,903,1,100
4,1,105,2,638,904,2,0
4,1,105,2,638,905,2,0
4,1,105,2,638,906,1,600
4,1,105,2,638,951,1,150
4,1,105,2,638,952,2,0
4,1,105,2,638,1511,2,0
4,1,105,2,638,1512,1,600
4,1,105,2,638,1513,2,0
4,1,105,2,638,1531,1,60
4,1,105,2,638,1532,2,0
4,1,105,2,638,1533,1,120
4,1,105,2,638,1551,2,0
4,1,105,2,638,1552,2,0
4,1,105,2,638,1553,2,0
4,1,105,2,638,1601,1,20
4,1,105,2,638,1602,1,280
4,1,105,2,638,1611,2,0
4,1,105,2,638,1612,1,600
4,1,105,2,638,1613,2,0
4,1,105,2,638,1621,1,10
4,1,105,2,638,1622,1,170
4,1,105,2,638,1801,1,10
4,1,105,2,638,1802,1,200
4,1,105,2,638,1901,1,10
4,1,105,2,638,1902,2,0
4,1,105,2,638,2001,1,60
4,1,105,2,638,2002,1,100
4,1,105,2,638,2003,1,150
4,1,105,2,638,2031,1,50
4,1,105,2,638,2032,2,0
4,1,105,2,638,2033,1,120
4,1,105,2,638,9001,2,0
4,1,105,2,638,9002,2,0
4,1,105,2,638,9003,1,180
4,1,105,2,638,9004,2,0
4,1,105,2,638,9011,1,180
4,1,105,2,638,9012,1,230
4,1,105,2,638,9013,1,280
4,1,105,2,638,9014,1,180
4,1,106,2,880,1,2,0
4,1,106,2,880,2,2,0
4,1,106,2,880,3,1,100
4,1,106,2,880,4,2,0
4,1,106,2,880,5,1,120
4,1,106,2,880,7,1,160
4,1,106,2,880,8,1,70
4,1,106,2,880,9,1,10
4,1,106,2,880,10,1,10
4,1,106,2,880,11,2,0
4,1,106,2,880,20,2,0
4,1,106,2,880,21,2,0
4,1,106,2,880,22,2,0
4,1,106,2,880,23,2,0
4,1,106,2,880,24,2,0
4,1,106,2,880,30,2,0
4,1,106,2,880,31,1,180
4,1,106,2,880,32,1,90
4,1,106,2,880,33,1,90
4,1,106,2,880,34,1,5
4,1,106,2,880,35,1,30
4,1,106,2,880,36,2,0
4,1,106,2,880,37,2,0
4,1,106,2,880,38,1,100
4,1,106,2,880,50,1,150
4,1,106,2,880,51,2,0
4,1,106,2,880,52,1,20
4,1,106,2,880,53,1,10
4,1,106,2,880,54,2,0
4,1,106,2,880,55,2,0
4,1,106,2,880,60,2,0
4,1,106,2,880,61,1,200
4,1,106,2,880,62,1,300
4,1,106,2,880,63,2,0
4,1,106,2,880,64,2,0
4,1,106,2,880,65,1,30
4,1,106,2,880,70,1,150
4,1,106,2,880,71,2,0
4,1,106,2,880,72,2,0
4,1,106,2,880,73,1,280
4,1,106,2,880,74,2,0
4,1,106,2,880,75,2,0
4,1,106,2,880,76,1,250
4,1,106,2,880,78,1,250
4,1,106,2,880,80,1,700
4,1,106,2,880,81,1,50
4,1,106,2,880,82,1,5
4,1,106,2,880,83,2,0
4,1,106,2,880,84,1,30
4,1,106,2,880,85,1,100
4,1,106,2,880,86,1,100
4,1,106,2,880,87,1,300
