"zone","state","lga","sector","ea","resource_cd","resourcespec","sc4q1","sc4q2","sc4q3","sc4q4a","sc4q4b","sc4q4c","sc4q4d","sc4q5a","sc4q5b","sc4q5c","sc4q5d"
4,4,410,1,3192,402,,2,,,,,,,,,,
4,4,410,1,3192,403,,2,,,,,,,,,,
4,4,410,1,3192,404,,2,,,,,,,,,,
4,4,410,1,3192,405,,2,,,,,,,,,,
4,4,410,1,3414,401,,2,,,,,,,,,,
4,4,410,1,3414,402,,2,,,,,,,,,,
4,4,410,1,3414,403,,2,,,,,,,,,,
4,4,410,1,3414,404,,2,,,,,,,,,,
4,4,410,1,3414,405,,2,,,,,,,,,,
4,4,410,2,4036,401,,2,,,,,,,,,,
4,4,410,2,4036,402,,2,,,,,,,,,,
4,4,410,2,4036,403,,2,,,,,,,,,,
4,4,410,2,4036,404,,2,,,,,,,,,,
4,4,410,2,4036,405,,2,,,,,,,,,,
4,4,411,1,1486,401,,2,,,,,,,,,,
4,4,411,1,1486,402,,2,,,,,,,,,,
4,4,411,1,1486,403,,2,,,,,,,,,,
4,4,411,1,1486,404,,2,,,,,,,,,,
4,4,411,1,1486,405,,2,,,,,,,,,,
4,4,412,2,1606,401,,2,,,,,,,,,,
4,4,412,2,1606,402,,2,,,,,,,,,,
4,4,412,2,1606,403,,2,,,,,,,,,,
4,4,412,2,1606,404,,2,,,,,,,,,,
4,4,412,2,1606,405,,2,,,,,,,,,,
4,4,412,2,2592,401,,2,,,,,,,,,,
4,4,412,2,2592,402,,2,,,,,,,,,,
4,4,412,2,2592,403,,2,,,,,,,,,,
4,4,412,2,2592,404,,2,,,,,,,,,,
4,4,412,2,2592,405,,2,,,,,,,,,,
4,4,413,2,1540,401,,2,,,,,,,,,,
4,4,413,2,1540,402,,2,,,,,,,,,,
4,4,413,2,1540,403,,2,,,,,,,,,,
4,4,413,2,1540,404,,2,,,,,,,,,,
4,4,413,2,1540,405,,2,,,,,,,,,,
4,4,414,1,2176,401,,1,1,1,1,2,4,,1,3,2,
4,4,414,1,2176,402,,2,,,,,,,,,,
4,4,414,1,2176,403,,2,,,,,,,,,,
4,4,414,1,2176,404,,2,,,,,,,,,,
4,4,414,1,2176,405,,2,,,,,,,,,,
4,4,415,1,2108,401,,2,,,,,,,,,,
4,4,415,1,2108,402,,2,,,,,,,,,,
4,4,415,1,2108,404,"04",2,,,,,,,,,,
4,4,415,1,2108,405,,2,,,,,,,,,,
4,4,416,1,616,401,,2,,,,,,,,,,
4,4,416,1,616,402,,2,,,,,,,,,,
4,4,416,1,616,403,,2,,,,,,,,,,
4,4,416,1,616,404,,2,,,,,,,,,,
4,4,416,1,616,405,,2,,,,,,,,,,
4,4,417,1,678,401,,2,,,,,,,,,,
4,4,417,1,678,402,,2,,,,,,,,,,
4,4,417,1,678,403,,2,,,,,,,,,,
4,4,417,1,678,404,,2,,,,,,,,,,
4,4,417,1,678,405,,2,,,,,,,,,,
4,4,418,1,44,401,,2,,,,,,,,,,
4,4,418,1,44,402,,2,,,,,,,,,,
4,4,418,1,44,403,,2,,,,,,,,,,
4,4,418,1,44,404,,2,,,,,,,,,,
4,4,418,1,44,405,,2,,,,,,,,,,
4,4,419,2,296,401,,1,1,1,3,2,1,,4,2,1,
4,4,419,2,296,402,,2,,,,,,,,,,
4,4,419,2,296,403,,2,,,,,,,,,,
4,4,419,2,296,404,,2,,,,,,,,,,
4,4,419,2,296,405,,2,,,,,,,,,,
4,4,421,1,800,401,,1,1,1,2,1,3,,3,2,1,
4,4,421,1,800,402,,2,,,,,,,,,,
4,4,421,1,800,403,,2,,,,,,,,,,
4,4,421,1,800,404,,2,,,,,,,,,,
4,4,421,1,800,405,,2,,,,,,,,,,
2,5,501,2,60,401,,2,,,,,,,,,,
2,5,501,2,60,402,,2,,,,,,,,,,
2,5,501,2,60,403,,2,,,,,,,,,,
2,5,501,2,60,404,,2,,,,,,,,,,
2,5,501,2,60,405,,2,,,,,,,,,,
2,5,502,1,2194,401,,2,,,,,,,,,,
2,5,502,1,2194,402,,2,,,,,,,,,,
2,5,502,1,2194,403,,2,,,,,,,,,,
2,5,502,1,2194,404,,2,,,,,,,,,,
2,5,502,1,2194,405,,2,,,,,,,,,,
2,5,502,2,3878,401,,2,,,,,,,,,,
2,5,502,2,3878,402,,2,,,,,,,,,,
2,5,502,2,3878,403,,2,,,,,,,,,,
2,5,502,2,3878,404,,2,,,,,,,,,,
2,5,502,2,3878,405,,2,,,,,,,,,,
2,5,504,2,708,401,,1,1,1,2,1,3,,1,2,3,
2,5,504,2,708,402,,1,1,1,3,2,4,,3,4,2,
2,5,504,2,708,403,,1,1,1,1,3,2,,4,1,2,
2,5,504,2,708,404,,2,,,,,,,,,,
2,5,504,2,708,405,,2,,,,,,,,,,
2,5,506,2,830,401,,2,,,,,,,,,,
2,5,506,2,830,402,,1,1,1,4,3,2,,1,3,2,
2,5,506,2,830,403,,1,1,1,4,3,2,,1,3,2,
2,5,506,2,830,404,,1,1,1,2,4,3,,1,2,3,
2,5,506,2,830,405,,2,,,,,,,,,,
2,5,508,2,718,401,,2,,,,,,,,,,
2,5,508,2,718,402,,2,,,,,,,,,,
2,5,508,2,718,403,,2,,,,,,,,,,
2,5,508,2,718,404,,2,,,,,,,,,,
2,5,508,2,718,405,,2,,,,,,,,,,
2,5,508,2,984,401,,2,,,,,,,,,,
2,5,508,2,984,402,,2,,,,,,,,,,
2,5,508,2,984,403,,2,,,,,,,,,,
2,5,508,2,984,404,,2,,,,,,,,,,
2,5,508,2,984,405,,2,,,,,,,,,,
2,5,510,1,872,401,,1,1,1,2,1,3,,1,2,3,
2,5,510,1,872,402,,2,,,,,,,,,,
2,5,510,1,872,403,,2,,,,,,,,,,
2,5,510,1,872,404,,2,,,,,,,,,,
2,5,510,1,872,405,,2,,,,,,,,,,
2,5,510,2,1516,401,,2,,,,,,,,,,
2,5,510,2,1516,402,,2,,,,,,,,,,
2,5,510,2,1516,403,,1,1,1,2,1,3,,1,2,3,
2,5,510,2,1516,404,,2,,,,,,,,,,
2,5,510,2,1516,405,,2,,,,,,,,,,
2,5,513,2,348,401,,2,,,,,,,,,,
2,5,513,2,348,402,,2,,,,,,,,,,
2,5,513,2,348,403,,2,,,,,,,,,,
2,5,513,2,348,404,,2,,,,,,,,,,
2,5,513,2,348,405,,2,,,,,,,,,,
2,5,514,2,710,401,,1,1,1,2,1,3,,2,3,4,
2,5,514,2,710,402,,2,,,,,,,,,,
2,5,514,2,710,403,,1,1,1,2,3,1,,4,2,3,
2,5,514,2,710,404,,1,1,1,1,2,3,,2,3,4,
2,5,514,2,710,405,,2,,,,,,,,,,
2,5,514,1,2036,401,,1,1,1,1,2,3,,1,4,2,
2,5,514,1,2036,402,,1,1,1,3,1,2,,1,2,3,
2,5,514,1,2036,403,,1,1,1,2,3,1,,1,3,4,
2,5,514,1,2036,404,,1,1,1,1,3,1,,1,4,2,
2,5,514,1,2036,405,,2,,,,,,,,,,
2,5,515,2,18,401,,1,1,1,1,3,1,,1,3,4,
2,5,515,2,18,402,,1,1,1,2,1,3,,1,2,4,
2,5,515,2,18,403,,1,1,1,4,2,1,,1,3,2,
2,5,515,2,18,404,,1,1,1,1,2,3,,1,2,3,
2,5,515,2,18,405,,2,,,,,,,,,,
2,5,516,2,942,401,,2,,,,,,,,,,
2,5,516,2,942,402,,2,,,,,,,,,,
2,5,516,2,942,403,,2,,,,,,,,,,
2,5,516,2,942,404,,2,,,,,,,,,,
2,5,516,2,942,405,,2,,,,,,,,,,
2,5,518,2,1304,401,,2,,,,,,,,,,
2,5,518,2,1304,402,,2,,,,,,,,,,
2,5,518,2,1304,403,,2,,,,,,,,,,
2,5,518,2,1304,404,,2,,,,,,,,,,
2,5,518,2,1304,405,,2,,,,,,,,,,
2,5,518,2,1588,401,,1,2,1,1,2,2,,1,3,7,
2,5,518,2,1588,402,,2,,,,,,,,,,
2,5,518,2,1588,403,,2,,,,,,,,,,
2,5,518,2,1588,404,,2,,,,,,,,,,
2,5,518,2,1588,405,,2,,,,,,,,,,
2,5,520,2,1756,401,,1,1,1,1,3,2,,2,1,3,
2,5,520,2,1756,402,,2,,,,,,,,,,
2,5,520,2,1756,403,,2,,,,,,,,,,
2,5,520,2,1756,404,,2,,,,,,,,,,
2,5,520,2,1756,405,,2,,,,,,,,,,
5,6,601,2,640,401,,2,,,,,,,,,,
5,6,601,2,640,402,,1,2,1,4,,,,8,,,
5,6,601,2,640,403,,2,,,,,,,,,,
5,6,601,2,640,404,,1,1,1,4,,,,8,,,
5,6,601,2,640,405,,2,,,,,,,,,,
5,6,602,2,1356,401,,1,1,1,2,3,4,,1,2,8,
5,6,602,2,1356,402,,1,1,1,2,3,4,,1,2,8,
5,6,602,2,1356,403,,2,,,,,,,,,,
5,6,602,2,1356,404,,2,,,,,,,,,,
5,6,602,2,1356,405,,2,,,,,,,,,,
5,6,605,2,162,401,,1,1,1,2,4,,,1,2,3,
5,6,605,2,162,402,,1,1,1,2,4,,,1,2,3,
5,6,605,2,162,403,,2,,,,,,,,,,
5,6,605,2,162,404,,1,1,1,1,,,,1,2,3,
5,6,605,2,162,405,,2,,,,,,,,,,
5,6,606,2,1372,401,,1,1,1,4,,,,,,,
5,6,606,2,1372,402,,1,1,1,4,,,,,,,
5,6,606,2,1372,403,,2,,,,,,,,,,
5,6,606,2,1372,404,,1,1,1,1,,,,1,2,3,
5,6,606,2,1372,405,,2,,,,,,,,,,
5,6,607,2,1892,401,,1,2,2,4,3,5,"SWAMP LAND FARMING",2,8,9,"SEVERE WARNING"
5,6,607,2,1892,402,,1,2,2,4,3,5,"SWAMP LAND FARMING",2,8,9,"SEVERE WARNING"
5,6,607,2,1892,403,,2,,,,,,,,,,
5,6,607,2,1892,404,,2,,,,,,,,,,
5,6,607,2,1892,405,,2,,,,,,,,,,
5,6,608,2,748,401,,1,1,1,4,4,4,,8,,,
5,6,608,2,748,402,,1,1,1,4,4,4,,8,,,
5,6,608,2,748,403,,1,1,1,4,4,4,,8,,,
5,6,608,2,748,404,,2,,,,,,,,,,
5,6,608,2,748,405,,2,,,,,,,,,,
1,7,701,2,606,401,"ARABLE",1,1,1,4,,,,1,2,3,
1,7,701,2,606,402,"FOREST",2,,,,,,,,,,
1,7,701,2,606,403,"PASTURE",2,,,,,,,,,,
1,7,701,2,606,404,"WATER BODY",1,1,1,4,,,,1,2,3,
1,7,702,2,632,401,"ARABLE LAND",1,1,1,4,,,,1,2,5,
1,7,702,2,632,404,"WATER BODY",1,1,1,4,,,,1,2,5,
1,7,705,2,4186,401,,2,,,,,,,,,,
1,7,705,2,4186,402,,2,,,,,,,,,,
1,7,705,2,4186,403,,2,,,,,,,,,,
1,7,705,2,4186,404,,2,,,,,,,,,,
1,7,705,2,4186,405,,2,,,,,,,,,,
1,7,707,2,560,401,,2,,,,,,,,,,
1,7,707,2,560,402,,2,,,,,,,,,,
1,7,707,2,560,403,,2,,,,,,,,,,
1,7,707,2,560,404,,2,,,,,,,,,,
1,7,707,2,560,405,,2,,,,,,,,,,
1,7,708,2,754,401,,2,,,,,,,,,,
1,7,708,2,754,402,,2,,,,,,,,,,
1,7,708,2,754,403,,2,,,,,,,,,,
1,7,708,2,754,404,,2,,,,,,,,,,
1,7,708,2,754,405,,2,,,,,,,,,,
1,7,709,2,1226,401,,2,,,,,,,,,,
