"zone","state","lga","sector","ea","group_cd","groupspecify","sc3q1","sc3q2","sc3q3a","sc3q3b","sc3q4","sc3q5","sc3q6"
2,2,209,2,1040,306,,1,1,2,,50,20,30
2,2,209,2,1040,307,,1,1,1,,70,30,40
2,2,209,2,1040,308,,1,1,2,,30,0,0
2,2,209,2,1040,309,,2,,,,,,
2,2,209,2,1040,310,,2,,,,,,
2,2,209,2,1040,311,,1,2,3,,80,30,10
2,2,209,2,1040,312,,2,,,,,,
2,2,209,2,1040,313,,1,1,3,,15,0,10
2,2,209,2,1040,314,,2,,,,,,
2,2,209,2,1040,315,,1,1,2,,100,100,30
2,2,210,2,1300,301,,2,,,,,,
2,2,210,2,1300,302,,2,,,,,,
2,2,210,2,1300,303,,2,,,,,,
2,2,210,2,1300,304,,2,,,,,,
2,2,210,2,1300,305,,2,,,,,,
2,2,210,2,1300,306,,2,,,,,,
2,2,210,2,1300,307,,2,,,,,,
2,2,210,2,1300,308,,2,,,,,,
2,2,210,2,1300,309,,2,,,,,,
2,2,210,2,1300,310,,2,,,,,,
2,2,210,2,1300,311,,1,1,3,,26,3,0
2,2,210,2,1300,312,,2,,,,,,
2,2,210,2,1300,313,,2,,,,,,
2,2,210,2,1300,314,,2,,,,,,
2,2,210,2,1300,315,,2,,,,,,
2,2,212,2,956,301,,2,,,,,,
2,2,212,2,956,302,,2,,,,,,
2,2,212,2,956,303,,2,,,,,,
2,2,212,2,956,304,,2,,,,,,
2,2,212,2,956,305,,2,,,,,,
2,2,212,2,956,306,,2,,,,,,
2,2,212,2,956,307,,2,,,,,,
2,2,212,2,956,308,,2,,,,,,
2,2,212,2,956,309,,2,,,,,,
2,2,212,2,956,310,,2,,,,,,
2,2,212,2,956,311,,2,,,,,,
2,2,212,2,956,312,,2,,,,,,
2,2,212,2,956,313,,2,,,,,,
2,2,212,2,956,314,,2,,,,,,
2,2,212,2,956,315,,2,,,,,,
2,2,214,2,898,301,,2,,,,,,
2,2,214,2,898,302,,1,2,2,,12,5,10
2,2,214,2,898,303,,2,,,,,,
2,2,214,2,898,304,,1,1,2,,25,10,15
2,2,214,2,898,305,,1,2,,,18,18,16
2,2,214,2,898,306,,1,1,2,,52,15,52
2,2,214,2,898,307,,1,3,2,,20,8,12
2,2,214,2,898,308,,1,1,2,,14,4,14
2,2,214,2,898,309,,1,1,2,,8,5,5
2,2,214,2,898,310,,1,1,2,,12,4,10
2,2,214,2,898,311,,1,1,2,,40,15,21
2,2,214,2,898,312,,2,,,,,,
2,2,214,2,898,313,,1,1,2,,15,0,15
2,2,214,2,898,314,,2,,,,,,
2,2,214,2,898,315,,2,,,,,,
2,2,215,1,8,301,,1,1,3,,7,1,0
2,2,215,1,8,302,,2,,,,,,
2,2,215,1,8,303,,2,,,,,,
2,2,215,1,8,304,,2,,,,,,
2,2,215,1,8,305,,1,2,2,,78,78,10
2,2,215,1,8,306,,1,1,2,,47,18,30
