"zone","state","lga","sector","ea","pid","sc1q2","sc1q3","sc1q5","sc1q6"
1,7,707,2,560,4,1,50,50,16
1,7,707,2,560,5,1,62,20,16
1,7,708,2,754,1,1,40,40,0
1,7,708,2,754,2,1,65,65,0
1,7,708,2,754,3,2,34,25,15
1,7,708,2,754,4,1,45,45,16
1,7,708,2,754,5,1,50,30,34
1,7,709,2,1226,1,1,65,65,16
1,7,709,2,1226,2,2,52,34,0
1,7,709,2,1226,3,1,50,10,34
1,7,709,2,1226,4,1,50,50,41
1,7,709,2,1226,5,1,46,2,41
1,7,710,2,2726,1,1,50,50,13
1,7,710,2,2726,2,1,40,10,23
1,7,710,2,2726,3,1,40,40,26
1,7,710,2,2726,4,2,35,11,15
1,7,710,2,2726,5,1,30,4,41
1,7,711,2,2532,1,1,50,50,32
1,7,711,2,2532,2,2,55,40,0
1,7,711,2,2532,3,1,54,54,42
1,7,711,2,2532,4,1,35,35,26
1,7,711,2,2532,5,1,35,35,23
1,7,713,2,304,1,1,60,60,
1,7,713,2,304,2,1,40,40,16
1,7,713,2,304,3,1,30,30,34
1,7,713,2,304,4,2,40,40,0
1,7,713,2,304,5,2,48,48,0
1,7,715,1,294,1,1,58,41,13
1,7,715,1,294,2,1,61,51,16
1,7,715,1,294,3,1,52,50,16
1,7,715,1,294,4,2,55,50,16
1,7,715,1,294,5,1,39,31,26
1,7,715,2,780,1,1,74,71,0
1,7,715,2,780,2,1,45,40,0
1,7,715,2,780,3,1,48,40,16
1,7,715,2,780,4,2,51,51,0
1,7,715,2,780,5,1,39,40,0
1,7,717,2,1248,1,1,91,91,0
1,7,717,2,1248,2,1,50,50,16
1,7,717,2,1248,3,1,28,28,34
1,7,717,2,1248,4,2,60,60,0
1,7,717,2,1248,5,1,46,46,43
1,7,718,2,1640,1,1,43,43,26
1,7,718,2,1640,2,1,33,33,26
1,7,718,2,1640,3,1,35,35,26
1,7,718,2,1640,4,2,32,32,16
1,7,718,2,1640,5,1,49,49,26
1,7,719,1,1612,1,1,35,35,41
1,7,719,1,1612,2,1,36,36,26
1,7,719,1,1612,3,1,59,59,26
1,7,719,1,1612,4,1,33,33,16
1,7,719,1,1612,5,2,27,27,26
1,7,722,2,234,1,1,65,65,13
1,7,722,2,234,2,2,25,9,21
1,7,722,2,234,3,1,49,49,34
1,7,722,2,234,4,1,65,65,14
1,7,722,2,234,5,1,54,54,16
1,7,722,2,892,1,1,65,65,13
1,7,722,2,892,2,2,60,40,0
1,7,722,2,892,3,1,38,3,41
1,7,722,2,892,4,1,30,30,25
1,7,722,2,892,5,1,50,50,13
2,8,802,2,1152,1,1,59,59,0
2,8,802,2,1152,2,2,42,42,0
2,8,802,2,1152,3,1,45,45,51
