"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d"
4,1,105,2,638,10100,2,2,0,1,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
4,1,108,2,904,10101,3,3,3,4,0,4,2,0,0,2,,1,,,,2,,,,,,,,,,
4,1,108,2,904,10102,2,2,2,1,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,108,2,904,10103,1,2,0,1,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,108,2,904,10104,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,108,2,904,10105,1,0,0,1,2,2,1,1,0,3,,1,,,,2,,,,,,,,,,
4,1,108,2,904,10106,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,108,2,904,10107,0,2,1,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
4,1,108,2,904,10108,0,2,1,2,0,0,0,0,0,3,,1,,,,1,6,,,,,,10,,,"LACK OF MONEY"
4,1,108,2,904,10109,0,0,0,0,0,0,0,0,0,3,,2,2,1,,2,,,,,,,,,,
4,1,108,2,904,10110,1,2,1,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20001,7,0,,,,,,,,2,3,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20002,2,0,0,0,0,1,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20003,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,1,2,6,
2,2,209,2,1040,20004,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,3,7,8,6,7,8,1,2,3,
2,2,209,2,1040,20005,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20006,,,,,,,,,,3,3,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20007,0,1,3,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20008,7,,,,,,,,,2,3,1,,,,1,9,,,,,,2,3,4,
2,2,209,2,1040,20009,2,,,,,,,,,3,,1,,,,2,,,,,,,,,,
2,2,209,2,1040,20010,4,,,,,,,,,3,,1,,,,1,4,,1,4,2,,,,,
2,2,221,2,18,20011,5,0,2,1,1,0,0,0,0,2,2,1,,,,1,8,,,,,,4,5,10,
2,2,221,2,18,20012,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,221,2,18,20013,0,0,0,0,0,0,0,0,0,3,6,2,3,2,1,2,,,,,,,,,,
2,2,221,2,18,20014,7,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,1,2,3,
2,2,221,2,18,20015,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,221,2,18,20016,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,221,2,18,20017,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,3,1,2,
2,2,221,2,18,20018,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,
2,2,221,2,18,20019,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,8,,,
