"zone","state","lga","sector","ea","hhid","item_cd","s10cq9","s10cq10"
2,5,518,2,1588,50134,3,7,7
2,5,518,2,1588,50135,1,7,3
2,5,518,2,1588,50135,2,7,3
2,5,518,2,1588,50135,3,7,3
2,5,518,2,1588,50135,4,7,3
2,5,518,2,1588,50140,1,7,2
2,5,518,2,1588,50140,2,7,2
2,5,518,2,1588,50140,3,7,2
2,5,510,2,1516,50145,3,3,9
2,5,518,2,1304,50155,3,7,7
2,5,518,2,1304,50159,1,7,2
2,5,518,2,1304,50159,2,7,2
2,5,518,2,1304,50159,3,7,2
5,6,602,2,1356,60001,1,2,3
5,6,602,2,1356,60002,3,2,2
5,6,602,2,1356,60004,4,1,1
5,6,602,2,1356,60006,3,1,1
5,6,602,2,1356,60010,2,1,2
5,6,602,2,1356,60010,4,3,3
5,6,606,2,1372,60014,3,2,4
5,6,606,2,1372,60017,3,7,21
5,6,606,2,1372,60019,3,2,6
5,6,608,1,3978,60021,1,4,6
5,6,608,1,3978,60021,2,4,6
5,6,608,1,3978,60021,3,4,6
5,6,608,1,3978,60021,4,4,6
5,6,608,1,3978,60022,1,1,1
5,6,608,1,3978,60022,2,1,2
5,6,608,1,3978,60022,3,2,3
5,6,608,1,3978,60023,3,2,4
5,6,608,1,3978,60025,1,2,2
5,6,608,1,3978,60025,3,1,1
5,6,608,1,3978,60025,4,1,2
5,6,608,1,3978,60026,3,6,18
5,6,608,1,3978,60028,2,1,1
5,6,608,1,3978,60029,1,1,1
5,6,607,2,1892,60031,3,1,2
5,6,607,2,1892,60031,4,2,3
5,6,607,2,1892,60033,3,1,1
5,6,607,2,1892,60034,3,1,1
5,6,607,2,1892,60036,3,7,14
5,6,607,2,1892,60037,1,2,2
5,6,607,2,1892,60037,4,1,2
5,6,607,2,1892,60038,3,2,3
5,6,607,2,1892,60039,2,1,2
5,6,607,2,1892,60040,3,3,3
5,6,601,2,640,60041,3,2,3
5,6,601,2,640,60044,1,1,1
5,6,601,2,640,60044,2,2,3
5,6,601,2,640,60047,1,1,1
5,6,601,2,640,60047,3,3,5
5,6,601,2,640,60048,3,2,1
5,6,601,2,640,60049,2,2,2
5,6,601,2,640,60049,4,1,1
5,6,605,2,162,60056,2,2,2
5,6,605,2,162,60056,3,1,2
5,6,608,2,748,60061,1,2,2
5,6,608,2,748,60063,3,1,1
1,7,707,2,560,70001,1,7,3
1,7,707,2,560,70001,2,7,3
1,7,707,2,560,70001,3,7,3
1,7,707,2,560,70001,4,7,3
1,7,707,2,560,70002,2,2,4
1,7,707,2,560,70002,3,1,3
1,7,707,2,560,70006,2,1,3
1,7,707,2,560,70006,3,1,2
1,7,707,2,560,70006,4,1,1
1,7,707,2,560,70007,1,7,3
1,7,707,2,560,70007,2,7,3
1,7,707,2,560,70007,3,1,3
1,7,707,2,560,70008,3,2,2
1,7,707,2,560,70009,1,7,3
1,7,707,2,560,70009,2,7,3
1,7,707,2,560,70009,3,7,3
1,7,707,2,560,70009,4,2,1
1,7,707,2,560,70010,2,1,2
1,7,707,2,560,70010,3,3,6
1,7,708,2,754,70014,1,7,1
1,7,708,2,754,70014,2,2,2
1,7,708,2,754,70015,1,7,3
1,7,708,2,754,70015,2,2,1
1,7,708,2,754,70015,3,1,3
1,7,708,2,754,70016,3,7,2
1,7,708,2,754,70018,2,1,2
1,7,708,2,754,70018,3,3,3
1,7,708,2,754,70018,4,1,1
1,7,708,2,754,70019,2,2,4
1,7,708,2,754,70019,3,3,4
1,7,708,2,754,70019,4,1,1
1,7,708,2,754,70020,2,2,4
1,7,708,2,754,70020,3,3,6
1,7,708,2,754,70020,4,1,2
1,7,705,2,4186,70021,1,7,3
1,7,705,2,4186,70021,2,7,3
1,7,705,2,4186,70021,3,7,3
1,7,705,2,4186,70021,4,7,3
1,7,705,2,4186,70022,2,2,4
1,7,705,2,4186,70022,3,3,3
1,7,705,2,4186,70024,3,1,1
1,7,705,2,4186,70025,1,7,3
1,7,705,2,4186,70025,2,7,3
1,7,705,2,4186,70025,3,7,3
1,7,705,2,4186,70026,2,3,5
1,7,705,2,4186,70026,3,4,4
1,7,705,2,4186,70026,4,1,1
1,7,705,2,4186,70027,1,1,1
1,7,705,2,4186,70027,2,2,3
1,7,705,2,4186,70027,3,1,1
1,7,705,2,4186,70029,2,3,4
1,7,705,2,4186,70029,3,2,3
1,7,705,2,4186,70029,4,1,1
1,7,705,2,4186,70030,2,2,3
1,7,705,2,4186,70030,3,6,8
1,7,705,2,4186,70030,4,2,2
1,7,722,2,234,70033,2,4,6
1,7,722,2,234,70033,3,3,5
1,7,722,2,234,70033,4,1,1
1,7,722,2,234,70035,2,4,6
