"zone","state","lga","sector","ea","hhid","item_cd","s10cq7"
4,1,115,1,670,10010,1,2
4,1,115,1,670,10010,2,3
4,1,115,1,670,10010,3,2
4,1,115,1,670,10010,4,3
4,1,115,1,670,10010,5,3
4,1,115,1,670,10010,6,0
4,1,115,1,670,10010,7,1
4,1,115,1,670,10010,8,2
4,1,115,1,670,10010,9,7
4,1,115,1,670,10010,10,3
4,1,115,1,670,10010,11,7
4,1,104,2,1364,10011,1,3
4,1,104,2,1364,10011,2,7
4,1,104,2,1364,10011,3,3
4,1,104,2,1364,10011,4,4
4,1,104,2,1364,10011,5,4
4,1,104,2,1364,10011,6,0
4,1,104,2,1364,10011,7,1
4,1,104,2,1364,10011,8,3
4,1,104,2,1364,10011,9,3
4,1,104,2,1364,10011,10,2
4,1,104,2,1364,10011,11,2
4,1,104,2,1364,10012,1,4
4,1,104,2,1364,10012,2,7
4,1,104,2,1364,10012,3,3
4,1,104,2,1364,10012,4,4
4,1,104,2,1364,10012,5,4
4,1,104,2,1364,10012,6,0
4,1,104,2,1364,10012,7,0
4,1,104,2,1364,10012,8,4
4,1,104,2,1364,10012,9,3
4,1,104,2,1364,10012,10,4
4,1,104,2,1364,10012,11,4
4,1,104,2,1364,10013,1,1
4,1,104,2,1364,10013,2,3
4,1,104,2,1364,10013,3,1
4,1,104,2,1364,10013,4,2
4,1,104,2,1364,10013,5,3
4,1,104,2,1364,10013,6,0
4,1,104,2,1364,10013,7,0
4,1,104,2,1364,10013,8,1
4,1,104,2,1364,10013,9,3
4,1,104,2,1364,10013,10,1
4,1,104,2,1364,10013,11,1
4,1,104,2,1364,10014,1,1
4,1,104,2,1364,10014,2,4
4,1,104,2,1364,10014,3,1
4,1,104,2,1364,10014,4,3
4,1,104,2,1364,10014,5,3
4,1,104,2,1364,10014,6,0
4,1,104,2,1364,10014,7,1
4,1,104,2,1364,10014,8,1
4,1,104,2,1364,10014,9,3
4,1,104,2,1364,10014,10,1
4,1,104,2,1364,10014,11,3
4,1,104,2,1364,10015,1,3
4,1,104,2,1364,10015,2,7
4,1,104,2,1364,10015,3,2
4,1,104,2,1364,10015,4,2
4,1,104,2,1364,10015,5,3
4,1,104,2,1364,10015,6,0
4,1,104,2,1364,10015,7,0
4,1,104,2,1364,10015,8,0
4,1,104,2,1364,10015,9,3
4,1,104,2,1364,10015,10,0
4,1,104,2,1364,10015,11,0
4,1,104,2,1364,10016,1,3
4,1,104,2,1364,10016,2,2
4,1,104,2,1364,10016,3,2
4,1,104,2,1364,10016,4,7
4,1,104,2,1364,10016,5,3
4,1,104,2,1364,10016,6,0
4,1,104,2,1364,10016,7,2
4,1,104,2,1364,10016,8,0
4,1,104,2,1364,10016,9,7
4,1,104,2,1364,10016,10,2
4,1,104,2,1364,10016,11,2
4,1,104,2,1364,10017,1,4
4,1,104,2,1364,10017,2,7
4,1,104,2,1364,10017,3,3
4,1,104,2,1364,10017,4,3
4,1,104,2,1364,10017,5,2
4,1,104,2,1364,10017,6,0
4,1,104,2,1364,10017,7,2
4,1,104,2,1364,10017,8,3
4,1,104,2,1364,10017,9,3
4,1,104,2,1364,10017,10,3
4,1,104,2,1364,10017,11,7
4,1,104,2,1364,10018,1,3
4,1,104,2,1364,10018,2,3
4,1,104,2,1364,10018,3,3
4,1,104,2,1364,10018,4,3
4,1,104,2,1364,10018,5,3
4,1,104,2,1364,10018,6,3
4,1,104,2,1364,10018,7,2
4,1,104,2,1364,10018,8,1
4,1,104,2,1364,10018,9,1
4,1,104,2,1364,10018,10,1
4,1,104,2,1364,10018,11,1
4,1,104,2,1364,10019,1,3
4,1,104,2,1364,10019,2,3
4,1,104,2,1364,10019,3,3
4,1,104,2,1364,10019,4,3
4,1,104,2,1364,10019,5,3
4,1,104,2,1364,10019,6,3
4,1,104,2,1364,10019,7,2
4,1,104,2,1364,10019,9,3
4,1,104,2,1364,10019,10,2
4,1,104,2,1364,10019,11,1
4,1,104,2,1364,10020,1,1
4,1,104,2,1364,10020,2,3
4,1,104,2,1364,10020,3,1
4,1,104,2,1364,10020,4,3
4,1,104,2,1364,10020,5,3
4,1,104,2,1364,10020,6,0
4,1,104,2,1364,10020,7,0
4,1,104,2,1364,10020,8,1
4,1,104,2,1364,10020,9,3
4,1,104,2,1364,10020,10,1
