"zone","state","lga","sector","ea","hhid","indiv","s4bq1","s4bq2","s4bq3","s4bq4","s4bq4b","s4bq5","s4bq6","s4bq7","s4bq8","s4bq9","s4bq10","s4bq11","s4bq12","s4bq13","s4bq14","s4bq15","s4bq16","s4bq17","s4bq18","s4bq19","s4bq20","s4bq21","s4bq22","s4bq23","s4bq23b","s4bq24","s4bq25","s4bq25b","s4bq26a","s4bq26b","s4bq26c","s4bq26d","s4bq26e","s4bq27","s4bq28"
4,1,108,2,904,10102,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20003,4,1,2,1,2,,2,1.79999995231628,1,2,2,1,1,2,2,2,2,2,2,2,2,1,,1,,,,5,,1,2,,,,,2
2,2,209,2,1040,20004,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20007,7,1,2,1,2,,2,,2,2,1,1,1,2,1,1,2,2,2,2,1,1,,1,,,3,1,,2,7,,,,6,2
2,2,209,2,1040,20008,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20008,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20008,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20008,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20008,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20008,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20011,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,13,1,8,1,1,,2,,2,2,2,2,2,2,1,1,1,1,2,2,1,1,,1,,,0,5,,2,,,,,0,1
2,2,221,2,18,20013,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20013,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20013,3,1,2,1,2,,2,3.5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,,1,,,6,,,2,3,5,6,7,7,2
2,2,221,2,18,20013,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20013,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20013,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20013,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20013,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,10,1,2,1,1,,2,3.90000009536743,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,0,5,,1,2,,,,6,2
2,2,221,2,18,20014,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20014,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20015,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20016,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20016,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20016,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20016,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20017,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
