"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,111,1,1146,10033,2,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,0
4,1,111,1,1146,10033,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10034,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10034,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10034,3,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,0
4,1,111,1,1146,10034,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10034,7,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10034,9,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10034,10,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10034,11,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10034,12,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10035,1,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,0
4,1,111,1,1146,10035,2,14,8,,,14,8,,,14,8,,,14,8,,,14,8,,,14,8,,,0
4,1,111,1,1146,10035,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10035,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10035,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
