"zone","state","lga","sector","ea","hhid","item_cd","s11aq1","s11aq2"
2,2,205,2,712,20103,102,1,60
2,2,205,2,712,20104,102,1,5
2,2,205,2,712,20106,102,1,20
2,2,205,2,712,20107,102,1,10
2,2,205,2,712,20108,101,1,120
2,2,205,2,712,20108,102,1,10
2,2,205,2,712,20109,102,1,10
2,2,205,2,712,20110,101,1,200
2,2,205,2,712,20110,102,1,10
2,2,218,2,1592,20112,101,1,300
2,2,218,2,1592,20113,102,1,5
2,2,218,2,1592,20113,104,1,1500
2,2,218,2,1592,20114,102,1,10
2,2,218,2,1592,20115,102,1,20
2,2,218,2,1592,20116,102,1,20
2,2,218,2,1592,20117,102,1,10
2,2,218,2,1592,20118,102,1,10
2,2,218,2,1592,20119,102,1,10
2,2,218,2,1592,20119,104,1,240
2,2,218,2,1592,20120,102,1,10
5,3,331,1,2322,30001,102,1,40
5,3,331,1,2322,30002,102,1,10
5,3,331,1,2322,30002,104,1,1400
5,3,331,1,2322,30003,103,1,360
5,3,331,1,2322,30003,104,1,1000
5,3,331,1,2322,30004,102,1,50
5,3,331,1,2322,30005,102,1,20
5,3,331,1,2322,30005,103,1,540
5,3,331,1,2322,30005,104,1,1400
5,3,331,1,2322,30007,102,1,5
5,3,331,1,2322,30007,104,1,200
5,3,331,1,2322,30008,102,1,20
5,3,331,1,2322,30008,104,1,800
5,3,331,1,2322,30009,102,1,30
5,3,331,1,2322,30010,102,1,30
5,3,331,1,516,30012,102,1,30
5,3,331,1,516,30012,103,1,180
5,3,331,1,516,30013,101,1,200
5,3,331,1,516,30013,102,1,10
5,3,331,1,516,30016,102,1,10
5,3,331,1,516,30016,104,1,1000
5,3,331,1,516,30017,102,1,10
5,3,331,1,516,30017,104,1,400
5,3,331,1,516,30018,102,1,50
5,3,331,1,516,30019,102,1,10
5,3,331,1,516,30019,104,1,1000
5,3,331,1,516,30020,102,1,10
5,3,316,2,874,30021,102,1,40
5,3,316,2,874,30022,102,1,10
5,3,316,2,874,30022,103,1,100
5,3,316,2,874,30022,104,1,5000
5,3,316,2,874,30023,102,1,20
5,3,316,2,874,30023,104,1,1500
5,3,316,2,874,30024,102,1,10
5,3,316,2,874,30025,102,1,40
5,3,316,2,874,30026,102,1,10
5,3,316,2,874,30027,102,1,10
5,3,316,2,874,30027,103,1,720
5,3,316,2,874,30027,104,1,600
5,3,316,2,874,30030,102,1,10
5,3,309,2,478,30031,102,1,40
5,3,309,2,478,30032,104,1,400
5,3,309,2,478,30033,102,1,10
5,3,309,2,478,30033,104,1,600
5,3,309,2,478,30035,102,1,10
