"zone","state","lga","sector","ea","hhid","item_cd","s11dq7","s11dq8"
4,11,1108,2,492,110058,503,1,600
4,11,1105,2,100,110063,517,1,3000
4,11,1105,2,100,110065,517,1,2500
4,11,1106,2,446,110072,517,1,500
4,11,1106,2,446,110075,517,1,500
4,11,1106,2,446,110079,503,1,250
4,11,1107,2,1034,110092,503,1,250
4,11,1107,2,1034,110093,517,1,30000
4,11,1107,2,1034,110098,517,1,1500
4,11,1113,2,954,110115,517,1,100000
4,11,1113,2,954,110118,517,1,2000
4,11,1102,2,936,110128,503,1,400
4,11,1101,2,154,110139,503,1,200
4,11,1101,2,154,110140,503,1,400
5,12,1211,1,2856,120001,511,1,2000
5,12,1211,1,2856,120004,503,1,350
5,12,1211,1,2856,120006,511,1,5000
5,12,1202,1,2146,120013,503,1,350
5,12,1202,1,2146,120015,503,1,350
5,12,1202,1,2146,120016,505,1,7000
5,12,1202,1,2146,120018,508,1,5000
5,12,1202,1,2710,120021,514,1,500
5,12,1202,1,2710,120024,511,1,3000
5,12,1202,1,2710,120025,508,1,5000
5,12,1202,1,2710,120030,517,1,5000
5,12,1212,1,1392,120033,511,1,4000
5,12,1212,1,1392,120034,501,1,11000
5,12,1212,1,1392,120036,503,1,400
5,12,1212,1,1392,120036,510,1,3000
5,12,1216,2,618,120060,503,1,1400
5,12,1210,2,462,120062,508,1,10000
5,12,1210,2,462,120068,503,1,400
5,12,1211,1,2220,120083,503,1,350
5,12,1214,2,452,120098,503,1,300
6,13,1314,1,6,130012,501,1,1400
6,13,1314,1,6,130012,502,1,900
6,13,1314,1,6,130017,509,1,1000
6,13,1303,1,626,130037,501,1,1500
6,13,1305,1,1232,130050,509,1,1500
6,13,1309,2,674,130054,511,1,5000
6,13,1309,2,674,130060,503,1,800
6,13,1305,2,10,130070,501,1,1000
6,13,1301,1,1206,130074,501,1,1200
4,14,1401,2,1116,140002,503,1,300
4,14,1401,2,1116,140006,517,1,100000
4,14,1401,2,1116,140007,505,1,11000
4,14,1401,2,1116,140010,517,1,200
4,14,1407,2,68,140013,502,1,260
4,14,1407,2,68,140017,517,1,50000
4,14,1408,2,1996,140029,502,1,200
4,14,1413,1,2578,140034,502,1,250
4,14,1413,1,2578,140035,502,1,350
4,14,1413,1,2578,140039,517,1,120000
4,14,1415,2,952,140049,502,1,200
4,14,1415,2,952,140050,502,1,260
4,14,1403,1,34,140055,502,1,1500
4,14,1403,1,34,140058,506,1,3000
4,14,1403,1,34,140058,507,1,3000
4,14,1403,1,34,140058,515,1,3000
4,14,1403,1,34,140060,511,1,20000
4,14,1406,2,694,140061,516,1,2000
4,14,1406,2,694,140061,517,1,2000
4,14,1406,2,694,140062,512,1,2500
