"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,111,1,1146,10036,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10036,4,2,,,,,,,,,,,,,,
4,1,111,1,1146,10036,5,2,,,,,,,,,,,,,,
4,1,111,1,1146,10036,6,2,,,,,,,,,,,,,,
4,1,111,1,1146,10037,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10037,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10037,3,2,,,,,,,,,,,,,,
4,1,111,1,1146,10037,4,2,,,,,,,,,,,,,,
4,1,111,1,1146,10037,5,2,,,,,,,,,,,,,,
4,1,111,1,1146,10038,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10038,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10039,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10039,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10039,3,2,,,,,,,,,,,,,,
4,1,111,1,1146,10039,4,2,,,,,,,,,,,,,,
4,1,111,1,1146,10039,5,2,,,,,,,,,,,,,,
4,1,111,1,1146,10039,6,2,,,,,,,,,,,,,,
4,1,111,1,1146,10040,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,3,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,4,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,5,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,6,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,7,2,,,,,,,,,,,,,,
4,1,102,1,536,10041,8,2,,,,,,,,,,,,,,
4,1,102,1,536,10042,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10043,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10043,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10043,3,2,,,,,,,,,,,,,,
4,1,102,1,536,10043,4,2,,,,,,,,,,,,,,
4,1,102,1,536,10043,5,2,,,,,,,,,,,,,,
4,1,102,1,536,10043,6,2,,,,,,,,,,,,,,
4,1,102,1,536,10044,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10044,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10045,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10045,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10045,3,2,,,,,,,,,,,,,,
4,1,102,1,536,10045,4,2,,,,,,,,,,,,,,
4,1,102,1,536,10045,5,2,,,,,,,,,,,,,,
4,1,102,1,536,10046,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10046,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10046,3,2,,,,,,,,,,,,,,
4,1,102,1,536,10046,4,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,1,2,,,,,,,,,,,,,,
