"cropname","cropcode","nscode","conversion","kg"
"MELON",1090,5,0.6,1
"MELON",1090,7,0.675,1
"MELON",1090,8,1.7,1
"MELON",1090,13,0.17,1
"MELON",1090,14,0.6,1
"melon",1090,21,20,1
"melon",1090,22,50,1
"melon",1090,23,100,1
"melon",1090,24,120,1
"melon",1090,25,15,1
"melon",1090,26,30,1
"melon",1090,27,50,1
"melon",1090,28,75,1
"melon",1090,31,10,1
"melon",1090,32,25,1
"melon",1090,33,40,1
"melon",1090,34,75,1
"melon",1090,61,15,1
"melon",1090,62,25,1
"melon",1090,63,40,1
"melon",1090,71,60,1
"melon",1090,72,85,1
"melon",1090,73,110,1
"melon",1090,74,150,1
"melon",1090,81,1500,1
"melon",1090,82,2000,1
"melon",1090,83,2500,1
"unshelled melon",1091,21,20,1
"unshelled melon",1091,22,50,1
"unshelled melon",1091,23,100,1
"unshelled melon",1091,24,120,1
"unshelled melon",1091,25,15,1
"unshelled melon",1091,26,30,1
"unshelled melon",1091,27,50,1
"unshelled melon",1091,28,75,1
"unshelled melon",1091,31,10,1
"unshelled melon",1091,32,25,1
"unshelled melon",1091,33,40,1
"unshelled melon",1091,34,75,1
"unshelled melon",1091,61,15,1
"unshelled melon",1091,62,25,1
"unshelled melon",1091,63,40,1
"unshelled melon",1091,81,1500,1
"unshelled melon",1091,82,2000,1
"unshelled melon",1091,83,2500,1
"shelled melon",1092,12,0.1,1
"shelled melon",1092,21,20,1
"shelled melon",1092,22,50,1
"shelled melon",1092,23,100,1
"shelled melon",1092,24,120,1
"shelled melon",1092,25,15,1
"shelled melon",1092,26,30,1
"shelled melon",1092,27,50,1
"shelled melon",1092,28,75,1
"shelled melon",1092,31,10,1
"shelled melon",1092,32,25,1
"shelled melon",1092,33,40,1
"shelled melon",1092,34,75,1
"shelled melon",1092,61,15,1
"shelled melon",1092,62,25,1
"shelled melon",1092,63,40,1
"shelled melon",1092,81,1500,1
"shelled melon",1092,82,2000,1
"shelled melon",1092,83,2500,1
"water melon",1093,21,20,1
"water melon",1093,22,50,1
"water melon",1093,23,100,1
"water melon",1093,24,120,1
"water melon",1093,25,15,1
"water melon",1093,26,30,1
"water melon",1093,27,50,1
"water melon",1093,28,75,1
"water melon",1093,31,10,1
"water melon",1093,32,25,1
"water melon",1093,33,40,1
"water melon",1093,34,75,1
"water melon",1093,61,15,1
"water melon",1093,62,25,1
"water melon",1093,63,40,1
"water melon",1093,71,60,1
"water melon",1093,72,85,1
"water melon",1093,73,110,1
"water melon",1093,74,150,1
"water melon",1093,81,1500,1
"water melon",1093,82,2000,1
"water melon",1093,83,2500,1
"MILLET/MAIWA",1100,5,1.7,1
"MILLET/MAIWA",1100,7,1.9,1
"MILLET/MAIWA",1100,10,0.48,1
"millet/maiwa",1100,12,0.15714,1
"MILLET/MAIWA",1100,14,3.4,1
"millet/maiwa",1100,21,20,1
"millet/maiwa",1100,22,50,1
"millet/maiwa",1100,23,100,1
"millet/maiwa",1100,24,120,1
"millet/maiwa",1100,25,15,1
"millet/maiwa",1100,26,30,1
"millet/maiwa",1100,27,50,1
"millet/maiwa",1100,28,75,1
"millet/maiwa",1100,31,10,1
"millet/maiwa",1100,32,25,1
"millet/maiwa",1100,33,40,1
"millet/maiwa",1100,34,75,1
"MILLET/MAIWA",1100,42,8,1
"MILLET/MAIWA",1100,52,5,1
"millet/maiwa",1100,61,15,1
"millet/maiwa",1100,62,25,1
"millet/maiwa",1100,63,40,1
"RICE",1110,5,1.2,1
"rice",1110,12,0.1687,1
"RICE",1110,14,2.4,1
"rice",1110,21,20,1
"rice",1110,22,50,1
"rice",1110,23,100,1
"rice",1110,24,120,1
"rice",1110,25,15,1
"rice",1110,26,30,1
"rice",1110,27,50,1
"rice",1110,28,75,1
"rice",1110,31,10,1
"rice",1110,32,25,1
"rice",1110,33,40,1
"rice",1110,34,75,1
"rice",1110,61,15,1
"rice",1110,62,25,1
"rice",1110,63,40,1
"RICE",1110,93,25,0
"RICE",1110,95,200,0
"unshelled rice",1111,21,20,1
"unshelled rice",1111,22,50,1
"unshelled rice",1111,23,100,1
