"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
4,1,106,2,880,10025,1,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,10,25,9,,2,,,,,,,,,0
4,1,106,2,880,10025,2,2,1,1,1,"FARMING",6210,"AGRICULTURE",1,10,30,9,,1,"HAIR SALOON",5141,"OTHER PERSONAL SERVICE AC",96,9,12,9,,0
4,1,106,2,880,10025,3,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,4,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,1,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,9,15,9,,2,,,,,,,,,0
4,1,106,2,880,10026,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,2,2,1,1,"PANEL BEATING",7231,"PANEL BEATING",74,8,32,9,,1,"FARMING",6210,"AGRICULTURE",1,3,4,9,,0
4,1,106,2,880,10027,2,2,1,2,1,"FARMING",6210,"FARMING",1,9,4,9,,2,,,,,,,,,0
4,1,106,2,880,10027,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10028,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,2,1,1,1,"CROP FARMING",6210,"AGRICULTURE",1,6,30,9,,1,"CYCLIST",8321,"TRANSPORATION",49,6,24,9,,0
4,1,106,2,880,10029,2,2,1,2,1,"CROP FARMING",6210,"AGRICULTURE",1,6,20,9,,2,,,,,,,,,0
4,1,106,2,880,10029,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,4,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,12,28,9,,2,,,,,,,,,0
4,1,106,2,880,10030,2,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,9,45,9,,2,,,,,,,,,0
4,1,106,2,880,10030,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,9,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,1,2,2,1,1,"BUS DRIVER",8323,"TRANSPORTATION",49,11,45,9,,2,,,,,,,,,0
4,1,111,1,1146,10031,2,2,2,1,1,"TRADING",3416,"BUYING & SELLING",47,12,47,9,,2,,,,,,,,,0
4,1,111,1,1146,10031,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10032,1,2,2,1,1,"MANUFACTURING,ICE CREAM",7413,"MANUFACTURING,ICE CREAM",10,12,40,9,,2,,,,,,,,,0
4,1,111,1,1146,10032,2,2,2,1,1,"MANUFACTURING,ICE CREAM",7413,"MANUFACTURING,ICE CREAM",10,12,40,10,"HOUSEHOLD MEMBER",2,,,,,,,,,0
4,1,111,1,1146,10032,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10032,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10033,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10033,2,1,2,2,1,"NURSING & MIDWIFERY PROFE",2230,"HUMAN HEALTH ACTIVITIES",86,12,40,9,,2,,,,,,,,,0
4,1,111,1,1146,10033,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,2,2,2,1,1,"SHOP SALES PERSON",5220,"BUYING & SELLING",47,12,48,9,,2,,,,,,,,,0
4,1,111,1,1146,10034,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,11,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,12,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10036,1,2,2,1,1,"TRADING (CARS)",3416,"BUYING & SELLING",45,12,60,9,,2,,,,,,,,,0
4,1,111,1,1146,10036,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10036,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10036,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10036,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10036,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10037,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10037,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10037,4,2,2,1,1,"HAIR DRESSING SALLON",5141,"PERSONAL SERVICES",96,12,40,4,,2,,,,,,,,,0
4,1,111,1,1146,10038,1,2,2,1,1,"BUYING & SELLING",3416,"COSMETICS",47,12,60,9,,2,,,,,,,,,0
4,1,111,1,1146,10038,2,2,2,1,1,"BUYING & SELLING",3416,"STATIONARIES",47,12,54,9,,2,,,,,,,,,0
4,1,111,1,1146,10038,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,7,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,8,,,,,,,,,,,,,,,,,,,,,,0
4,4,410,1,0,10039,1,2,2,2,2,,,,,,,,,,,,,,,,,,3
4,4,410,1,0,10039,2,2,2,,,,,,,,,,,,,,,,,,,,3
4,4,410,1,0,10039,7,2,2,2,2,,,,,,,,,,,,,,,,,,3
4,1,111,1,1146,10040,1,1,2,2,1,"MARKETING",3431,"MARKETING",46,12,41,4,,2,,,,,,,,,0
4,1,102,1,536,10041,2,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"WHOLESALE & RETAIL TRADE",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,536,10041,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,5,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"WHOLESALE & RETAIL TRADE",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,536,10041,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,7,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"WHOLESALE & RETAIL TRADE",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,536,10041,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,3,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"WHOLESALE & RETAIL TRADE",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,536,10042,4,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"WHOLESALE &RETAIL TRADE",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,536,10043,1,2,2,1,1,"TRICYCLE DRIVER",8321,"LAND TRANSPORT",49,10,40,9,,2,,,,,,,,,0
4,1,102,1,536,10043,2,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"WHOLESALE & RETAIL TRADE",45,11,40,9,,2,,,,,,,,,0
4,1,102,1,536,10043,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,1,2,2,1,1,"BUYING & SELLING",3416,"RETAILING",47,12,50,9,,2,,,,,,,,,0
4,1,102,1,536,10044,2,2,2,1,1,"BUYING & SELLING",3416,"RETAILING",47,11,40,9,,2,,,,,,,,,0
4,1,102,1,536,10044,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,6,,,,,,,,,,,,,,,,,,,,,,0
