"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d","tracked_obs"
2,2,210,2,1300,20067,2,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20068,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20069,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20070,0,0,0,1,0,1,1,2,1,2,2,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20071,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,12,,,,,,,,,,0
2,2,214,1,898,20072,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20073,4,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20074,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20075,0,0,1,0,0,1,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20076,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20077,1,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20078,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20080,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20081,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20082,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20083,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20084,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20085,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20086,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,9,,,,,,1,2,,,0
2,2,215,1,8,20087,1,2,0,0,0,0,0,0,0,3,4,2,2,1,3,2,,,,,,,,,,,0
2,2,215,1,8,20088,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20089,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20090,3,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20091,3,2,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20092,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20093,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
