"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11","tracked_obs"
5,3,331,1,516,30019,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,331,1,516,30019,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,331,1,516,30019,3,"ADULTS 16-65 YEARS",1,1,0
5,3,331,1,516,30019,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,309,2,478,30032,1,"CHILDREN 0-5 YEARS",3,3,0
5,3,309,2,478,30032,2,"CHILDREN 6-15 YEARS",1,1,0
5,3,309,2,478,30032,3,"ADULTS 16-65 YEARS",2,2,0
5,3,309,2,478,30032,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,309,2,478,30033,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,309,2,478,30033,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,309,2,478,30033,3,"ADULTS 16-65 YEARS",2,2,0
5,3,309,2,478,30033,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,309,2,478,30036,1,"CHILDREN 0-5 YEARS",2,0,0
5,3,309,2,478,30036,2,"CHILDREN 6-15 YEARS",3,3,0
5,3,309,2,478,30036,3,"ADULTS 16-65 YEARS",3,3,0
5,3,309,2,478,30036,4,"PEOPLE OVER 65 YEARS OLD",2,0,0
5,3,321,2,364,30051,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,321,2,364,30051,2,"CHILDREN 6-15 YEARS",3,3,0
5,3,321,2,364,30051,3,"ADULTS 16-65 YEARS",3,3,0
5,3,321,2,364,30051,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,321,2,364,30053,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,321,2,364,30053,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,321,2,364,30053,3,"ADULTS 16-65 YEARS",3,9,0
5,3,321,2,364,30053,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,308,1,0,30064,1,"CHILDREN 0-5 YEARS",0,0,1
5,3,308,1,0,30064,2,"CHILDREN 6-15 YEARS",0,0,1
5,3,308,1,0,30064,3,"ADULTS 16-65 YEARS",3,6,1
5,3,308,1,0,30064,4,"PEOPLE OVER 65 YEARS OLD",0,0,1
5,3,329,2,696,30070,1,"CHILDREN 0-5 YEARS",3,3,0
5,3,329,2,696,30070,2,"CHILDREN 6-15 YEARS",3,3,0
5,3,329,2,696,30070,3,"ADULTS 16-65 YEARS",0,0,0
5,3,329,2,696,30070,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,323,2,580,30075,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,323,2,580,30075,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,323,2,580,30075,3,"ADULTS 16-65 YEARS",3,3,0
5,3,323,2,580,30075,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,323,2,580,30076,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,323,2,580,30076,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,323,2,580,30076,3,"ADULTS 16-65 YEARS",3,3,0
5,3,323,2,580,30076,4,"PEOPLE OVER 65 YEARS OLD",3,3,0
5,3,318,2,1136,30085,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,318,2,1136,30085,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,318,2,1136,30085,3,"ADULTS 16-65 YEARS",3,3,0
5,3,318,2,1136,30085,4,"PEOPLE OVER 65 YEARS OLD",3,3,0
5,3,318,2,1136,30088,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,318,2,1136,30088,2,"CHILDREN 6-15 YEARS",2,2,0
5,3,318,2,1136,30088,3,"ADULTS 16-65 YEARS",2,2,0
5,3,318,2,1136,30088,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,313,2,70,30091,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,313,2,70,30091,2,"CHILDREN 6-15 YEARS",4,4,0
5,3,313,2,70,30091,3,"ADULTS 16-65 YEARS",4,4,0
5,3,313,2,70,30091,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,301,1,1198,30102,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,301,1,1198,30102,2,"CHILDREN 6-15 YEARS",4,4,0
5,3,301,1,1198,30102,3,"ADULTS 16-65 YEARS",2,4,0
5,3,301,1,1198,30102,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,301,1,1198,30105,1,"CHILDREN 0-5 YEARS",4,4,0
5,3,301,1,1198,30105,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,301,1,1198,30105,3,"ADULTS 16-65 YEARS",2,2,0
5,3,301,1,1198,30105,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,301,1,1198,30108,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,301,1,1198,30108,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,301,1,1198,30108,3,"ADULTS 16-65 YEARS",1,21,0
5,3,301,1,1198,30108,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,326,2,74,30111,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,326,2,74,30111,2,"CHILDREN 6-15 YEARS",3,3,0
5,3,326,2,74,30111,3,"ADULTS 16-65 YEARS",3,3,0
5,3,326,2,74,30111,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,305,2,1542,30130,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,305,2,1542,30130,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,305,2,1542,30130,3,"ADULTS 16-65 YEARS",3,9,0
5,3,305,2,1542,30130,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,312,2,20,30135,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,312,2,20,30135,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,312,2,20,30135,3,"ADULTS 16-65 YEARS",2,2,0
5,3,312,2,20,30135,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,3,305,2,4,30142,1,"CHILDREN 0-5 YEARS",0,0,0
5,3,305,2,4,30142,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,305,2,4,30142,3,"ADULTS 16-65 YEARS",0,0,0
5,3,305,2,4,30142,4,"PEOPLE OVER 65 YEARS OLD",1,2,0
5,3,305,2,4,30145,1,"CHILDREN 0-5 YEARS",3,3,0
5,3,305,2,4,30145,2,"CHILDREN 6-15 YEARS",0,0,0
5,3,305,2,4,30145,3,"ADULTS 16-65 YEARS",2,2,0
5,3,305,2,4,30145,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,418,1,44,40005,1,"CHILDREN 0-5 YEARS",1,2,0
4,4,418,1,44,40005,2,"CHILDREN 6-15 YEARS",1,2,0
4,4,418,1,44,40005,3,"ADULTS 16-65 YEARS",0,0,0
4,4,418,1,44,40005,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,418,1,44,40007,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,418,1,44,40007,2,"CHILDREN 6-15 YEARS",2,2,0
4,4,418,1,44,40007,3,"ADULTS 16-65 YEARS",1,2,0
4,4,418,1,44,40007,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,418,1,44,40008,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,418,1,44,40008,2,"CHILDREN 6-15 YEARS",1,1,0
4,4,418,1,44,40008,3,"ADULTS 16-65 YEARS",1,2,0
4,4,418,1,44,40008,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,417,1,678,40012,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,417,1,678,40012,2,"CHILDREN 6-15 YEARS",3,4,0
4,4,417,1,678,40012,3,"ADULTS 16-65 YEARS",2,2,0
4,4,417,1,678,40012,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
