"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9"
6,28,2810,2,2394,280097,5,"Outboard engine",,,,,,,
6,28,2810,2,2394,280097,6,"Other (Specify)",,,,,,,
6,28,2810,2,2394,280097,7,"Other (Specify)",,,,,,,
6,28,2810,2,2394,280098,1,"Canoe without engine",,,,,,,
6,28,2810,2,2394,280098,2,"Canoe with engine",,,,,,,
6,28,2810,2,2394,280098,3,"Boat without engine",,,,,,,
6,28,2810,2,2394,280098,4,"Boat with engine",2,6000000,2,,,500000,18000
6,28,2810,2,2394,280098,5,"Outboard engine",,,,,,,
6,28,2810,2,2394,280098,6,"Other (Specify)",,,,,,,
6,28,2810,2,2394,280098,7,"Other (Specify)",,,,,,,
6,28,2810,1,3722,280103,1,"Canoe without engine",0,,2,,,0,0
6,28,2810,1,3722,280103,2,"Canoe with engine",0,,2,,,0,0
6,28,2810,1,3722,280103,3,"Boat without engine",0,,2,,,0,0
6,28,2810,1,3722,280103,4,"Boat with engine",1,1200000,2,,,250000,100000
6,28,2810,1,3722,280103,5,"Outboard engine",0,,2,,,0,0
6,28,2810,1,3722,280103,6,"Other (Specify)",0,,2,,,0,0
6,28,2810,1,3722,280103,7,"Other (Specify)",0,,2,,,0,0
6,28,2810,1,3722,280108,1,"Canoe without engine",1,40000,2,,,0,0
6,28,2810,1,3722,280108,2,"Canoe with engine",0,,2,,,0,0
6,28,2810,1,3722,280108,3,"Boat without engine",1,1300000,2,,,280000,95000
6,28,2810,1,3722,280108,4,"Boat with engine",0,,2,,,0,0
6,28,2810,1,3722,280108,5,"Outboard engine",0,,2,,,0,0
6,28,2810,1,3722,280108,6,"Other (Specify)",0,,2,,,0,0
6,28,2810,1,3722,280108,7,"Other (Specify)",0,,2,,,0,0
6,28,2810,1,3722,280109,1,"Canoe without engine",0,,2,,,0,0
6,28,2810,1,3722,280109,2,"Canoe with engine",0,,2,,,0,0
6,28,2810,1,3722,280109,3,"Boat without engine",0,,2,,,0,0
6,28,2810,1,3722,280109,4,"Boat with engine",2,1200000,2,,,400000,15000
6,28,2810,1,3722,280109,5,"Outboard engine",0,,2,,,0,0
6,28,2810,1,3722,280109,6,"Other (Specify)",0,,2,,,0,0
6,28,2810,1,3722,280109,7,"Other (Specify)",0,,2,,,0,0
6,28,2807,2,1266,280126,1,"Canoe without engine",1,10000,2,,,0,0
6,28,2807,2,1266,280126,2,"Canoe with engine",0,,2,,,0,0
6,28,2807,2,1266,280126,3,"Boat without engine",0,,2,,,0,0
6,28,2807,2,1266,280126,4,"Boat with engine",0,,2,,,0,0
6,28,2807,2,1266,280126,5,"Outboard engine",0,,2,,,0,0
6,28,2807,2,1266,280126,6,"Other (Specify)",0,,2,,,0,0
6,28,2807,2,1266,280126,7,"Other (Specify)",0,,2,,,0,0
6,28,2807,2,1266,280129,1,"Canoe without engine",2,28000,2,,,0,0
6,28,2807,2,1266,280129,2,"Canoe with engine",0,,2,,,0,0
6,28,2807,2,1266,280129,3,"Boat without engine",0,,2,,,0,0
6,28,2807,2,1266,280129,4,"Boat with engine",0,,2,,,0,0
6,28,2807,2,1266,280129,5,"Outboard engine",0,,2,,,0,0
6,28,2807,2,1266,280129,6,"Other (Specify)",0,,2,,,0,0
6,28,2807,2,1266,280129,7,"Other (Specify)",0,,2,,,0,0
5,32,3215,1,1896,320067,1,"Canoe without engine",,,,,,,
5,32,3215,1,1896,320067,2,"Canoe with engine",,,,,,,
5,32,3215,1,1896,320067,3,"Boat without engine",,,,,,,
5,32,3215,1,1896,320067,4,"Boat with engine",,,,,,,
5,32,3215,1,1896,320067,5,"Outboard engine",,,,,,,
5,32,3215,1,1896,320067,6,"Other (Specify)",,,,,,,
5,32,3215,1,1896,320067,7,"Other (Specify)",,,,,,,
5,32,3203,2,2644,320125,1,"Canoe without engine",0,,2,,,0,0
5,32,3203,2,2644,320125,2,"Canoe with engine",0,,2,,,0,0
5,32,3203,2,2644,320125,3,"Boat without engine",2,160000,2,,,0,0
5,32,3203,2,2644,320125,4,"Boat with engine",0,,2,,,0,0
5,32,3203,2,2644,320125,5,"Outboard engine",0,,2,,,0,0
5,32,3203,2,2644,320125,6,"Other (Specify)",0,,2,,,0,0
5,32,3203,2,2644,320125,7,"Other (Specify)",0,,2,,,0,0
5,32,3202,2,84,320139,1,"Canoe without engine",,,,,,,
5,32,3202,2,84,320139,2,"Canoe with engine",,,,,,,
5,32,3202,2,84,320139,3,"Boat without engine",,,,,,,
5,32,3202,2,84,320139,4,"Boat with engine",,,,,,,
5,32,3202,2,84,320139,5,"Outboard engine",,,,,,,
5,32,3202,2,84,320139,6,"Other (Specify)",,,,,,,
5,32,3202,2,84,320139,7,"Other (Specify)",,,,,,,
5,32,3207,2,1464,320202,1,"Canoe without engine",1,35000,2,,,5200,15000
5,32,3207,2,1464,320202,2,"Canoe with engine",0,,2,,,0,0
5,32,3207,2,1464,320202,3,"Boat without engine",0,,2,,,0,0
5,32,3207,2,1464,320202,4,"Boat with engine",0,,2,,,0,0
5,32,3207,2,1464,320202,5,"Outboard engine",0,,2,,,0,0
5,32,3207,2,1464,320202,6,"Other (Specify)",0,,2,,,0,0
5,32,3207,2,1464,320202,7,"Other (Specify)",0,,2,,,0,0
3,36,3606,2,1956,360081,1,"Canoe without engine",,,,,,,
3,36,3606,2,1956,360081,2,"Canoe with engine",,,,,,,
3,36,3606,2,1956,360081,3,"Boat without engine",,,,,,,
3,36,3606,2,1956,360081,4,"Boat with engine",,,,,,,
3,36,3606,2,1956,360081,5,"Outboard engine",,,,,,,
3,36,3606,2,1956,360081,6,"Other (Specify)",,,,,,,
3,36,3606,2,1956,360081,7,"Other (Specify)",,,,,,,
