"crop_name","crop_cd","unit_name","unit_cd","conv_national","conv_NC_1","conv_NE_2","conv_NW_3","conv_SE_4","conv_SS_5","conv_SW_6","note"
"CASSAVA OLD",1020,"SACK/BAG MEDIUM",131,66.2,66.1999969482422,66.1999969482422,66.1999969482422,66.1999969482422,66.1999969482422,66.1999969482422,
"CASSAVA OLD",1020,"SACK/BAG LARGE",132,71.2,71.1999969482422,71.1999969482422,71.1999969482422,71.1999969482422,71.1999969482422,71.1999969482422,
"CASSAVA OLD",1020,"BASKET SMALL",140,15.092,15.0920000076294,15.0920000076294,15.0920000076294,14.1850004196167,15.0920000076294,16,
"CASSAVA OLD",1020,"BASKET MEDIUM",141,27.05,27.0499992370605,27.0499992370605,27.0499992370605,26.1000003814697,27.0499992370605,28,
"CASSAVA OLD",1020,"BASKET LARGE",142,45.3,45.2999992370605,45.2999992370605,45.2999992370605,45.2999992370605,45.2999992370605,45.2999992370605,
"CASSAVA OLD",1020,"BASIN SMALL",150,12.505,12.5050001144409,12.5050001144409,12.5050001144409,12.5050001144409,12.5050001144409,12.5050001144409,
"CASSAVA OLD",1020,"BASIN MEDIUM",151,28.033,25.25,28.0330009460449,28.0330009460449,28.0330009460449,28.0330009460449,33.5999984741211,
"CASSAVA OLD",1020,"BASIN LARGE",152,46,46,46,46,40.2999992370605,46,51.7000007629395,
"CASSAVA OLD",1020,"WHEELBARROW",170,122.283,99.3000030517578,122.282997131348,122.282997131348,104.400001525879,122.282997131348,186.130004882813,
"COCOYAM",1040,"KILOGRAM (KG)",1,1,1,1,1,1,1,1,
"COCOYAM",1040,"BOWL SMALL",70,1.625,1.625,1.625,1.625,1.625,1.625,1.625,
"COCOYAM",1040,"BOWL MEDIUM",71,3.59,3.58999991416931,3.58999991416931,3.58999991416931,3.58999991416931,3.58999991416931,3.58999991416931,
"COCOYAM",1040,"BOWL LARGE",72,4.555,4.55499982833862,4.55499982833862,4.55499982833862,4.55499982833862,4.55499982833862,4.55499982833862,
"COCOYAM",1040,"PIECE SMALL",80,0.175,0.174999997019768,0.174999997019768,0.174999997019768,0.174999997019768,0.174999997019768,0.174999997019768,
"COCOYAM",1040,"PIECE MEDIUM",81,0.195,0.194999992847443,0.194999992847443,0.194999992847443,0.194999992847443,0.194999992847443,0.194999992847443,
"COCOYAM",1040,"PIECE LARGE",82,0.365,0.365000009536743,0.365000009536743,0.365000009536743,0.365000009536743,0.365000009536743,0.365000009536743,
"COCOYAM",1040,"HEAP SMALL",90,0.46,0.46000000834465,0.46000000834465,0.46000000834465,0.46000000834465,0.46000000834465,0.46000000834465,
"COCOYAM",1040,"HEAP MEDIUM",91,1.205,1.20500004291534,1.20500004291534,1.20500004291534,1.20500004291534,1.20500004291534,1.20500004291534,
"COCOYAM",1040,"HEAP LARGE",92,1.86,1.86000001430511,1.86000001430511,1.86000001430511,1.86000001430511,1.86000001430511,1.86000001430511,
