"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","sa3iq3","sa3iq4","sa3iq4a1","sa3iq4a2","sa3iq5a","sa3iq5b","sa3iq5c","sa3iq6i","sa3iq6ii","sa3iq6ii_os","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d2_os","sa3iq6e1","sa3iq6e2"
4,1,106,2,880,10023,2,2,"PUMPKIN",2190,1,,8,2015,1,4,100,17,160,,1700,1,9,2015,,,,1,2
4,1,106,2,880,10023,3,1,"OLD CASSAVA",1020,1,,6,2015,0.75,4,75,15,131,,22500,2,,,11,131,,1,2
4,1,106,2,880,10024,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,1,2,"MAIZE",1080,1,,9,2015,70,2,100,3,140,,2000,1,10,2015,,,,2,
4,1,106,2,880,10024,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,2,2,"YAM",1120,1,,1,2016,50,1,100,2,150,,5000,1,1,2016,,,,2,
4,1,106,2,880,10024,2,3,"OIL PALM TREE",3180,1,,3,2015,40,3,100,3,191,,12000,2,,,1,191,,2,
4,1,106,2,880,10025,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,1,2,"PUMPKIN",2190,1,,5,2015,40,1,100,25,160,,6000,1,11,2015,,,,1,2
4,1,106,2,880,10025,1,3,"OIL PALM TREE",3180,1,,3,2015,50,3,100,5,192,,20000,1,12,2015,,,,1,2
4,1,106,2,880,10025,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,2,"THREE LEAVE YAM",1124,1,,2,2016,40,1,100,9,141,,13000,1,1,2016,,,,2,
4,1,106,2,880,10027,1,3,"PUMPKIN SEED",2193,1,,1,2016,60,1,100,95,81,,40000,1,1,2016,,,,2,
4,1,106,2,880,10027,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,1,"GARDEN EGG",2080,1,,8,2015,300,3,100,20,130,,22200,1,10,2015,,,,2,
4,1,106,2,880,10027,3,2,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,3,"PUMPKIN SEED",2193,1,,1,2016,20,1,100,57,81,,21000,1,1,2016,,,,2,
4,1,106,2,880,10027,3,4,"THREE LEAVE YAM",1124,1,,2,2016,30,1,100,7,141,,8000,1,1,2016,,,,2,
4,1,106,2,880,10027,3,5,"MAIZE",1080,1,,9,2015,80,3,100,4,131,,2500,1,10,2015,,,,2,
4,1,106,2,880,10029,1,1,"MAIZE",1080,1,,7,2015,1,4,100,5,151,,6000,1,8,2015,,,,1,2
4,1,106,2,880,10029,1,2,"CASSAVA",1020,1,,12,2015,0.2,4,20,11,131,,16500,2,,,44,131,,1,2
4,1,106,2,880,10029,1,3,"FLUTED PUMPKIN",2190,1,,6,2015,1,4,100,23,161,,6900,1,9,2015,,,,1,2
4,1,106,2,880,10029,2,1,"CASSAVA",1020,1,,1,2016,0.1,4,10,7,131,,10500,2,,,63,131,,1,2
4,1,106,2,880,10029,2,2,"MAIZE",1080,1,,8,2015,1,4,100,4,151,,4800,1,8,2015,,,,1,2
4,1,106,2,880,10030,1,1,"MAIZE",1080,1,,6,2015,1,4,100,4,131,,8000,1,7,2015,,,,1,2
4,1,106,2,880,10030,1,2,"CASSAVA",1020,1,,9,2015,1,4,50,6,131,,15000,2,,,6,131,,1,2
4,1,106,2,880,10030,2,1,"CASSAVA",1020,1,,12,2015,1,4,50,6,131,,15000,2,,,6,131,,1,2
4,1,106,2,880,10030,2,2,"YAM",1120,1,,2,2016,1,4,100,4,130,,20000,1,2,2016,,,,1,2
4,1,106,2,880,10030,2,3,"MELON",1090,1,,10,2015,1,4,100,3,151,,5000,1,11,2015,,,,1,2
4,1,106,2,880,10030,3,1,"CASSAVA",1020,1,,1,2016,1,4,50,6,131,,13000,2,,,6,131,,1,2
4,1,111,1,1146,10033,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10033,1,2,"PLANTAIN",2170,2,9,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,1,"OKOR",2120,1,,9,2015,48,3,20,7,71,,2100,1,10,2015,,,,1,2
4,1,102,1,1690,10057,1,2,"PUMPKIN",2190,1,,9,2015,53,1,30,16,101,,11000,1,10,2015,,,,1,2
4,1,102,1,1690,10057,1,3,"YAM",1120,1,,12,2015,30,3,20,30,81,,600,1,12,2015,,,,1,2
4,1,102,1,1690,10057,1,4,"PLANTAIN",2170,1,,10,2015,18,3,30,11,101,,16500,2,,,7,101,,1,2
4,1,107,2,1044,10061,1,1,"CUCUMBA",2060,1,,10,2015,730,1,30,11,131,,44000,1,11,2015,,,,1,2
4,1,107,2,1044,10061,1,2,"MAIZE",1080,1,,10,2015,300,3,30,14,131,,8400,1,10,2015,,,,1,2
4,1,107,2,1044,10061,1,3,"CASSAVA",1020,1,,12,2015,270,1,20,8,131,,12000,2,,,6,131,,1,2
4,1,107,2,1044,10061,1,4,"MELON",1090,1,,10,2015,94,1,10,2,70,,4000,1,10,2015,,,,1,2
4,1,107,2,1044,10061,1,5,"TOMATOES",2260,1,,10,2015,120,3,10,12,141,,32300,1,10,2015,,,,1,2
4,1,107,2,1044,10061,2,1,"PEPPER",2140,1,,10,2015,140,3,10,8,141,,8000,1,11,2015,,,,1,2
4,1,107,2,1044,10061,2,2,"YAM",1120,1,,11,2015,28,3,10,25,81,,9000,1,11,2015,,,,1,
4,1,107,2,1044,10061,2,3,"OKRO",2120,1,,10,2015,78,3,10,5,141,,5000,1,10,2015,,,,2,
4,1,107,2,1044,10061,2,4,"THREE LEAVE YAM",1124,1,,12,2015,30,1,10,3,141,,6000,1,12,2015,,,,2,
4,1,107,2,1044,10061,2,5,"PUMPKIN",2190,1,,10,2015,43,1,15,10,81,,800,1,11,2015,,,,2,
4,1,107,2,1044,10061,2,6,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,1,,1,2016,240,1,40,11,132,,16500,2,,,6,132,,1,
4,1,107,2,1044,10062,1,2,"CUCUMBA",2060,1,,10,2015,500,1,30,8,131,,32000,1,11,2015,,,,1,
4,1,107,2,1044,10062,1,3,"MAIZE",1080,1,,9,2015,280,3,20,10,132,,15000,1,10,2015,,,,1,
4,1,107,2,1044,10062,1,4,"PUMPKIN SEED",2193,1,,11,2015,25,1,10,13,82,,1300,1,12,2015,,,,1,
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,2,"MAIZE",1080,1,,9,2015,357,3,30,10,132,,17000,1,10,2015,,,,1,
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,2,"MAIZE",1080,1,,8,2015,460,3,100,20,131,,21000,1,10,2015,,,,1,
4,1,107,2,1044,10062,3,3,"PUMPKIN SEED",2193,1,,11,2015,17,1,25,7,82,,7000,1,12,2015,,,,1,
4,1,107,2,1044,10062,3,4,"PLANTAIN",2170,1,,12,2015,6,3,10,6,101,,6000,1,1,2016,,,,1,
4,1,107,2,1044,10062,3,5,"OIL PALM TREE",3180,1,,11,2015,50,3,50,139,102,,22000,2,,,83,102,,1,
4,1,107,2,1044,10063,1,1,"MAIZE",1080,1,,7,2015,35,3,50,7,151,,6500,1,10,2015,,,,5,
4,1,107,2,1044,10063,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,1,"YAM",1120,1,,11,2015,40,1,50,3,131,,14000,1,1,2016,,,,5,
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,3,2,"MAIZE",1080,1,,7,2015,30,3,50,5,151,,4000,1,10,2015,,,,5,
4,1,107,2,1044,10063,4,1,"YAM",1120,1,,12,2015,40,1,50,3,131,,14000,1,1,2016,,,,5,
4,1,107,2,1044,10063,4,2,"MAIZE",1080,1,,7,2015,30,3,50,5,151,,4000,1,10,2015,,,,5,
4,1,107,2,1044,10063,4,3,"PALM TREE",3180,1,,9,2015,25,1,50,4,192,,17000,1,12,2015,,,,5,
4,1,107,2,1044,10063,4,4,"PLANTAIN",2170,1,,9,2015,20,1,50,12,111,,10500,1,1,2016,,,,5,
4,1,107,2,1044,10064,1,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,2,"MAIZE",1080,1,,7,2015,1,4,100,10,151,,10000,1,9,2015,,,,1,2
4,1,107,2,1044,10064,1,3,"MELON",1090,1,,10,2015,1,4,100,80,13,,6400,1,12,2015,,,,1,2
4,1,107,2,1044,10064,1,4,"PALM TREE",3180,1,,9,2015,0.5,4,50,40,100,,8000,2,,,40,100,,1,2
4,1,107,2,1044,10064,1,5,"YAM",1120,1,,12,2015,1,4,100,60,81,,9000,1,1,2016,,,,1,2
4,1,107,2,1044,10064,2,1,"CASSAVA",1020,1,,9,2015,0.7,4,70,32,151,,38400,2,,,15,151,,1,2
4,1,102,1,0,10065,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,1,2,"PUMPKIN",2190,1,,6,2015,60,1,100,30,100,,6000,1,10,2015,,,,2,
4,1,102,1,0,10065,1,3,"MAIZE",1080,1,,9,2015,80,1,100,15,140,,15000,1,9,2015,,,,2,
4,1,102,1,0,10065,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,2,2,"PEPPER",2140,1,,9,2015,100,3,100,2,150,,4000,1,10,2015,,,,2,
4,1,102,1,0,10065,3,1,"PUMPKIN",2190,1,,6,2015,50,1,100,30,100,,6000,1,10,2015,,,,2,
4,1,102,1,0,10065,3,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,2,"MAIZE",1080,1,,8,2015,100,3,100,15,140,,15000,1,9,2015,,,,2,
4,1,107,2,1044,10066,2,1,"PLANTAIN",2170,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,3,2,"MAIZE",1080,1,,8,2015,90,3,100,20,140,,20000,1,9,2015,,,,2,
4,1,107,2,1044,10066,4,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,4,2,"CUCUMBER",2060,1,,9,2015,100,1,100,7,130,,10500,1,10,2015,,,,2,
4,1,107,2,1044,10066,5,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,5,2,"OIL PALM TREE",3180,1,,1,2015,40,3,100,4,191,,16000,1,1,2016,,,,2,
4,1,107,2,1044,10067,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,1,2,"MAIZE",1080,1,,9,2015,100,3,100,15,140,,15000,1,9,2015,,,,2,
4,1,107,2,1044,10067,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,2,2,"PUMPKIN",2190,1,,5,2015,150,1,100,30,100,,3000,1,10,2015,,,,2,
4,1,107,2,1044,10067,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,3,2,"MAIZE",1080,1,,8,2015,80,3,100,10,140,,10000,1,9,2015,,,,2,
4,1,107,2,1044,10067,3,3,"OIL PALM TREE",3180,1,,1,2015,30,3,100,4,191,,16000,1,1,2015,,,,2,
4,1,107,2,1044,10068,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,1,2,"MAIZE",1080,1,,9,2015,100,3,100,15,140,,15000,1,9,2015,,,,2,
4,1,107,2,1044,10068,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,2,2,"MAIZE",1080,1,,9,2015,80,3,100,14,140,,14000,1,9,2015,,,,2,
4,1,107,2,1044,10068,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,3,2,"MAIZE",1080,1,,8,2015,120,3,100,15,140,,15000,1,9,2015,,,,2,
4,1,107,2,1044,10068,3,3,"OIL PALM TREE",3180,1,,1,2015,50,3,100,5,191,,20000,1,1,2016,,,,2,
4,1,107,2,1044,10069,1,1,"CASSAVA",1020,1,,9,2015,7,4,70,13,151,,13000,2,,,7,151,,1,2
4,1,107,2,1044,10069,1,2,"MAIZE",1080,1,,8,2015,1,4,100,8,151,,9600,1,9,2015,,,,1,2
4,1,107,2,1044,10069,1,3,"THREE LEAVE YAM",1124,1,,12,2015,1,4,100,40,81,,2000,1,1,2016,,,,1,2
4,1,107,2,1044,10069,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,2,2,"MELON",1090,1,,11,2015,1,4,100,45,13,,3600,1,11,2015,,,,1,2
4,1,107,2,0,10070,1,1,"CASSAVA",1020,1,,1,2016,215,1,80,22,132,,33000,2,,,7,132,,2,
4,1,107,2,0,10070,2,1,"CUCUMBER",2060,1,,10,2015,400,1,75,8,131,,45000,1,11,2015,,,,2,
4,1,107,2,0,10070,2,2,"OKRO",2120,1,,10,2015,280,3,25,14,141,,42000,1,10,2015,,,,2,
4,1,107,2,0,10070,3,1,"PLANTAIN",2170,1,,12,2015,14,3,20,5,101,,6000,2,,,9,101,,2,
4,1,107,2,0,10070,3,2,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,107,2,0,10070,3,3,"MAIZE",1080,1,,10,2015,700,3,50,19,132,,11400,1,11,2015,,,,2,
4,1,117,2,560,10071,1,1,,1020,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,1,2,,1120,1,,12,2015,50,3,50,4,151,,4000,1,1,2016,,,,1,2
4,1,117,2,560,10071,1,3,,1040,1,,12,2015,25,1,50,3,150,,2000,1,1,2016,,,,1,2
4,1,117,2,560,10071,2,1,,1020,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,2,2,,2193,1,,8,2015,25,1,50,4,161,,1500,1,10,2015,,,,1,2
4,1,117,2,560,10071,2,3,,2170,1,,9,2015,12,1,50,10,111,,10000,1,1,2016,,,,1,2
4,1,117,2,560,10071,2,4,,3180,1,,10,2015,25,1,50,5,192,,15000,1,1,2016,,,,1,2
4,1,117,2,560,10072,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,1,2,"MAIZE",1080,1,,9,2015,80,3,100,5,140,,5000,1,9,2015,,,,2,
4,1,117,2,560,10072,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10073,1,1,"OLD CASSAVA",1020,1,,6,2015,0.8,4,80,28,141,,28000,2,,,10,141,,1,
4,1,117,2,560,10073,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,117,2,560,10073,2,2,"YAM",1120,1,,1,2016,1,4,100,23,81,,3450,1,2,2016,,,,1,
4,1,117,2,560,10073,2,3,"PUMPKIN",2190,1,,9,2015,1,4,100,36,161,,3600,1,11,2015,,,,1,
