"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
4,1,102,1,1690,10056,1501,6,1,1,2,2,2,3,1,"12032016",12,3,2016,13,30,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10057,1501,10,1,2,1,2,1,3,1,"13032016",13,3,2016,11,20,15,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10058,1501,1,1,1,2,2,2,5,1,"12032016",12,3,2016,10,30,14,45,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10059,1501,13,1,1,2,2,2,5,1,"13032016",13,3,2016,10,15,14,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10060,1501,11,1,1,2,2,2,2,1,"13032016",13,3,2016,9,15,12,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10061,1504,10,1,2,1,2,1,3,1,"06032016",6,3,2016,13,44,15,49,9,,"07032016",7,3,2016,14,30,16,0,16,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10062,1504,2,1,2,1,2,1,3,1,"07032016",7,3,2016,10,18,13,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10063,1504,12,1,2,1,2,1,5,1,"06032016",6,3,2016,10,30,13,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10064,1504,2,1,2,1,2,1,4,1,"07032016",7,3,2016,11,30,14,53,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,102,1,0,10065,0,0,1,2,1,2,1,5,1,"17032016",17,3,2016,10,0,12,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10066,1504,8,1,2,1,2,1,2,1,"06032016",6,3,2016,10,12,13,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10067,1504,5,1,2,1,2,1,2,1,"07032016",7,3,2016,11,5,14,8,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10068,1504,4,1,2,1,2,1,2,1,"06032016",6,3,2016,13,30,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,107,2,1044,10069,1504,1,1,2,1,2,1,4,1,"06032016",6,3,2016,10,13,13,42,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,107,2,0,10070,0,0,1,2,1,2,1,3,1,"06032016",6,3,2016,9,28,13,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10071,1010,3,1,2,1,2,1,5,1,"03032016",3,3,2016,12,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10072,1010,16,1,2,1,2,1,2,1,"02032016",2,3,2016,10,15,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10073,1010,6,1,2,1,2,1,4,1,"03032016",3,3,2016,12,6,15,20,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,117,2,560,10074,1010,1,1,2,1,2,1,4,1,"02032016",2,3,2016,12,14,14,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
