"zone","state","sector","lga","ea","hhid","plotid","dist_household","srtmslp_nga","srtm_nga","twi_nga"
2,2,2,209,1040,20010,1,1,0.7,176,17
2,2,2,209,1040,20010,2,0.1,1.5,194,14
2,2,2,209,1040,20010,3,0.9,1.7,176,16
2,2,2,209,1040,20010,4,1.1,0.8,176,17
2,34,2,3416,0,20011,1,0,5.8,575,14
2,34,2,3416,0,20011,2,,,,
2,34,2,3416,0,20011,3,,,,
2,34,2,3416,0,20011,4,,,,
2,34,2,3416,0,20011,5,,,,
2,34,2,3416,0,20011,6,,,,
2,2,2,221,18,20012,1,0.2,1.8,210,14
2,2,2,221,18,20012,2,0.4,1.8,201,14
2,2,2,221,18,20012,3,1.2,1.7,198,16
2,2,2,221,18,20012,4,0.6,3.3,204,14
2,2,2,221,18,20013,1,0.3,4.6,206,13
2,2,2,221,18,20013,2,0.4,4,202,14
2,2,2,221,18,20013,3,0.4,4.5,206,13
2,2,2,221,18,20014,1,3.2,2.8,216,13
2,2,2,221,18,20014,2,2.2,1.5,213,13
2,2,2,221,18,20014,3,2.8,2.4,208,13
2,2,2,221,18,20015,1,2.3,1.6,212,14
2,2,2,221,18,20015,2,2.6,3.4,207,14
2,2,2,221,18,20015,3,2.4,1.1,213,14
2,2,2,221,18,20016,1,0.2,1.4,208,14
2,2,2,221,18,20016,2,0.2,1.9,207,14
2,2,2,221,18,20016,3,0.4,1.1,207,15
2,2,2,221,18,20017,1,0.1,1.6,209,15
2,2,2,221,18,20017,2,2.4,1.8,204,14
2,2,2,221,18,20017,3,2.9,2.5,206,13
2,2,2,221,18,20018,1,0,0.9,212,15
2,2,2,221,18,20018,2,1.1,1.6,197,16
2,2,2,221,18,20018,3,1.2,1.5,195,15
2,2,2,221,18,20019,1,2.4,0.8,210,26
2,2,2,221,18,20019,2,1.8,1.3,199,14
2,2,2,221,18,20019,3,0.5,1.6,212,14
2,2,2,221,18,20020,1,2.7,1.4,203,13
2,2,2,221,18,20020,2,2.6,2.1,200,15
2,2,2,221,18,20020,3,3,2.1,206,13
2,2,2,221,18,20020,4,0.1,1.8,210,13
2,2,2,221,18,20020,5,3.1,2.1,204,14
2,2,2,201,60,20021,1,0.1,2.5,261,13
2,2,2,201,60,20021,2,0.1,2.6,261,13
2,2,2,201,60,20021,3,0.1,2.1,262,13
2,2,2,201,60,20022,1,3.2,6,215,13
2,2,2,201,60,20023,1,1.7,3.3,256,13
2,2,2,201,60,20023,2,1.8,4.2,261,13
2,2,2,201,60,20023,3,0.4,2.9,273,13
2,2,2,201,60,20023,4,2,2.7,261,13
2,2,2,201,60,20024,1,0.4,1.8,271,13
