"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
4,1,117,2,560,10074,2,2,2,4,2,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10075,5,5,3,4,0,0,1,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10076,7,7,4,4,0,2,4,1,2,2,0,1,,,,1,12,,,1,,,11,"LOW INCOME",,,,
4,1,117,2,560,10077,2,7,7,0,0,2,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10078,4,3,3,1,0,0,0,0,0,3,0,1,,,,1,8,9,,,,,1,,5,,6,
4,1,117,2,560,10079,2,3,2,2,1,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10080,3,4,0,0,0,0,0,2,0,3,0,1,,,,1,7,,,,,,5,,,,,
4,1,110,2,76,10081,7,7,7,7,7,3,1,1,3,2,0,1,,,,1,10,,,2,,,3,,5,,,
4,1,110,2,76,10082,7,7,7,4,0,1,3,2,0,3,0,1,,,,1,4,,,,,,5,,,,,
4,1,110,1,0,10083,4,4,2,2,3,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10084,2,2,3,1,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10085,4,3,2,3,2,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10086,2,1,3,3,2,1,1,1,1,2,0,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10087,2,2,1,3,0,3,3,3,2,2,0,1,,,,1,9,,,,,,3,,,,,
4,1,110,2,76,10088,5,3,3,2,3,4,5,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10089,4,5,3,2,0,0,1,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10091,4,2,5,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10092,2,3,2,2,3,0,1,0,0,2,0,1,,,,2,,,,,,,,,,,,
