"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22b"
4,1,102,1,536,10048,1001,55,1,1,5,,"15092015",15,9,2015,10,30,13,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10049,1001,30,1,1,2,1,"14092015",14,9,2015,9,10,11,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10050,1001,18,1,1,2,1,"14092015",14,9,2015,13,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10051,1501,8,1,1,4,1,"10092015",10,9,2015,10,30,13,40,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10052,1501,3,1,1,4,1,"11092015",11,9,2015,12,48,13,53,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10053,1501,10,1,1,2,1,"10092015",10,9,2015,13,5,16,12,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10054,1501,4,1,1,2,1,"11092015",11,9,2015,9,5,12,31,14,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,102,1,1690,10055,1501,15,1,1,3,1,"10092015",10,9,2015,10,38,13,55,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10056,1501,6,1,1,3,1,"10092015",10,9,2015,14,10,16,45,14,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,102,1,1690,10057,1501,10,1,2,3,1,"11092015",11,9,2015,10,30,13,30,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10058,1501,1,1,1,5,1,"11092015",11,9,2015,13,0,15,10,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10059,1501,13,1,1,5,1,"10092015",10,9,2015,15,30,17,0,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,1690,10060,1501,11,1,1,2,1,"10092015",10,9,2015,9,5,11,50,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,107,2,1044,10061,1504,10,1,2,3,1,"28082015",28,8,2015,10,10,13,44,2,,"28082015",28,8,2015,10,30,13,5,1,,,,,,,,,,,,2,1,1
4,1,107,2,1044,10062,1504,2,1,2,3,1,"27082015",27,8,2015,10,32,14,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,107,2,1044,10063,1504,12,1,2,5,1,"27082015",27,8,2015,13,20,15,50,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,107,2,1044,10064,1504,2,1,2,4,1,"27082015",27,8,2015,10,25,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,0,10065,0,0,1,2,2,1,"16102015",16,10,2015,10,30,14,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,107,2,1044,10066,1504,8,1,2,2,1,"27082015",27,8,2015,10,5,13,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
