"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
2,2,221,2,18,20019,1,2,,2,2,,1,1,1,,2,2,1,2,1,2
2,2,221,2,18,20020,1,1,1,,1,1,,1,1,,1,2,2,3,1,1
2,2,201,2,60,20021,4,2,,2,1,1,,1,1,,2,1,2,4,1,2
2,2,201,2,60,20022,1,2,,2,2,,2,1,1,,1,1,2,2,1,2
2,2,201,2,60,20023,1,1,1,,1,1,,1,1,,1,2,1,2,2,2
2,2,201,2,60,20024,4,1,1,,1,1,,1,1,,1,2,2,3,2,2
2,2,201,2,60,20025,1,1,1,,1,1,,1,1,,1,2,1,4,1,2
2,2,201,2,60,20026,1,2,,1,1,1,,1,1,,2,1,2,2,2,1
2,2,201,2,60,20027,1,1,1,,2,,1,1,1,,2,1,2,3,1,1
2,2,201,2,60,20028,1,2,,2,2,,2,1,1,,1,1,2,2,2,1
2,2,201,2,60,20029,1,2,,2,2,,2,1,1,,1,2,2,4,1,1
2,2,201,2,60,20030,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
2,2,216,2,200,20031,1,1,1,,1,1,,2,,2,2,2,2,2,1,1
2,2,216,2,200,20032,1,1,1,,2,,2,1,1,,1,2,2,3,1,2
2,2,216,2,200,20033,1,1,1,,1,1,,1,1,,1,2,1,4,2,1
2,2,216,2,200,20034,1,1,1,,1,1,,1,1,,2,2,3,1,2,2
2,2,216,2,200,20035,1,1,1,,1,1,,1,1,,1,2,1,4,1,2
2,2,216,2,200,20036,1,1,1,,1,1,,1,1,,1,1,3,2,1,2
2,2,216,2,200,20037,2,1,1,,1,1,,1,1,,1,1,1,2,1,2
2,2,216,2,200,20038,2,1,1,,1,1,,1,1,,1,2,2,2,1,1
2,2,216,2,200,20040,1,1,1,,1,1,,1,1,,2,2,1,2,1,1
