"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10aq1","s10aq2"
4,1,104,2,1364,10018,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10018,4,"SIDE DISHES",2,
4,1,104,2,1364,10018,5,"SNACKS",2,
4,1,104,2,1364,10018,6,"DAIRY BASED BEVARAGES",2,
4,1,104,2,1364,10018,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,104,2,1364,10018,8,"NON-ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10018,9,"ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10019,1,"FULL MEALS - BREAKFAST",2,
4,1,104,2,1364,10019,2,"FULL MEALS - LUNCH",2,
4,1,104,2,1364,10019,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10019,4,"SIDE DISHES",2,
4,1,104,2,1364,10019,5,"SNACKS",1,150
4,1,104,2,1364,10019,6,"DAIRY BASED BEVARAGES",1,200
4,1,104,2,1364,10019,7,"VEGETABLES AND ROASTED OR BOIL",1,100
4,1,104,2,1364,10019,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,104,2,1364,10019,9,"ALCOHOLIC DRINKS",1,200
4,1,106,2,880,10021,1,"FULL MEALS - BREAKFAST",2,
4,1,106,2,880,10021,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10021,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10021,4,"SIDE DISHES",2,
4,1,106,2,880,10021,5,"SNACKS",1,200
4,1,106,2,880,10021,6,"DAIRY BASED BEVARAGES",1,120
4,1,106,2,880,10021,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10021,8,"NON-ALCOHOLIC DRINKS",1,180
4,1,106,2,880,10021,9,"ALCOHOLIC DRINKS",2,
4,1,106,2,880,10022,1,"FULL MEALS - BREAKFAST",1,300
4,1,106,2,880,10022,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10022,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10022,4,"SIDE DISHES",1,300
4,1,106,2,880,10022,5,"SNACKS",1,100
4,1,106,2,880,10022,6,"DAIRY BASED BEVARAGES",2,
4,1,106,2,880,10022,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10022,8,"NON-ALCOHOLIC DRINKS",2,
4,1,106,2,880,10022,9,"ALCOHOLIC DRINKS",1,400
4,1,106,2,880,10023,1,"FULL MEALS - BREAKFAST",1,2350
4,1,106,2,880,10023,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10023,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10023,4,"SIDE DISHES",2,
4,1,106,2,880,10023,5,"SNACKS",1,230
4,1,106,2,880,10023,6,"DAIRY BASED BEVARAGES",2,
4,1,106,2,880,10023,7,"VEGETABLES AND ROASTED OR BOIL",1,420
4,1,106,2,880,10023,8,"NON-ALCOHOLIC DRINKS",1,600
4,1,106,2,880,10023,9,"ALCOHOLIC DRINKS",2,
4,1,106,2,880,10024,1,"FULL MEALS - BREAKFAST",2,
4,1,106,2,880,10024,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10024,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10024,4,"SIDE DISHES",2,
4,1,106,2,880,10024,5,"SNACKS",1,100
4,1,106,2,880,10024,6,"DAIRY BASED BEVARAGES",1,50
4,1,106,2,880,10024,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10024,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,106,2,880,10024,9,"ALCOHOLIC DRINKS",2,
4,1,106,2,880,10025,1,"FULL MEALS - BREAKFAST",2,
4,1,106,2,880,10025,2,"FULL MEALS - LUNCH",1,300
4,1,106,2,880,10025,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10025,4,"SIDE DISHES",2,
4,1,106,2,880,10025,5,"SNACKS",1,50
4,1,106,2,880,10025,6,"DAIRY BASED BEVARAGES",1,50
4,1,106,2,880,10025,7,"VEGETABLES AND ROASTED OR BOIL",1,100
4,1,106,2,880,10025,8,"NON-ALCOHOLIC DRINKS",2,
4,1,106,2,880,10025,9,"ALCOHOLIC DRINKS",2,
4,1,106,2,880,10027,1,"FULL MEALS - BREAKFAST",2,
4,1,106,2,880,10027,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10027,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10027,4,"SIDE DISHES",2,
4,1,106,2,880,10027,5,"SNACKS",1,100
4,1,106,2,880,10027,6,"DAIRY BASED BEVARAGES",2,
4,1,106,2,880,10027,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10027,8,"NON-ALCOHOLIC DRINKS",2,
4,1,106,2,880,10027,9,"ALCOHOLIC DRINKS",1,500
4,1,106,2,880,10028,1,"FULL MEALS - BREAKFAST",2,
4,1,106,2,880,10028,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10028,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10028,4,"SIDE DISHES",2,
4,1,106,2,880,10028,5,"SNACKS",2,
4,1,106,2,880,10028,6,"DAIRY BASED BEVARAGES",2,
4,1,106,2,880,10028,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10028,8,"NON-ALCOHOLIC DRINKS",2,
4,1,106,2,880,10028,9,"ALCOHOLIC DRINKS",2,
4,1,106,2,880,10029,1,"FULL MEALS - BREAKFAST",1,600
4,1,106,2,880,10029,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10029,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10029,4,"SIDE DISHES",2,
4,1,106,2,880,10029,5,"SNACKS",1,170
4,1,106,2,880,10029,6,"DAIRY BASED BEVARAGES",1,100
4,1,106,2,880,10029,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10029,8,"NON-ALCOHOLIC DRINKS",1,150
4,1,106,2,880,10029,9,"ALCOHOLIC DRINKS",2,
4,1,106,2,880,10030,1,"FULL MEALS - BREAKFAST",2,
4,1,106,2,880,10030,2,"FULL MEALS - LUNCH",2,
4,1,106,2,880,10030,3,"FULL MEALS - DINNER",2,
4,1,106,2,880,10030,4,"SIDE DISHES",2,
4,1,106,2,880,10030,5,"SNACKS",2,
4,1,106,2,880,10030,6,"DAIRY BASED BEVARAGES",2,
4,1,106,2,880,10030,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,106,2,880,10030,8,"NON-ALCOHOLIC DRINKS",2,
4,1,106,2,880,10030,9,"ALCOHOLIC DRINKS",2,
4,1,111,1,1146,10031,1,"FULL MEALS - BREAKFAST",2,
4,1,111,1,1146,10031,2,"FULL MEALS - LUNCH",2,
4,1,111,1,1146,10031,3,"FULL MEALS - DINNER",1,250
4,1,111,1,1146,10031,4,"SIDE DISHES",2,
4,1,111,1,1146,10031,5,"SNACKS",1,200
4,1,111,1,1146,10031,6,"DAIRY BASED BEVARAGES",1,100
4,1,111,1,1146,10031,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,111,1,1146,10031,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,111,1,1146,10031,9,"ALCOHOLIC DRINKS",2,
4,1,111,1,1146,10032,1,"FULL MEALS - BREAKFAST",2,
4,1,111,1,1146,10032,2,"FULL MEALS - LUNCH",1,300
4,1,111,1,1146,10032,3,"FULL MEALS - DINNER",2,
4,1,111,1,1146,10032,4,"SIDE DISHES",2,
4,1,111,1,1146,10032,5,"SNACKS",1,100
4,1,111,1,1146,10032,6,"DAIRY BASED BEVARAGES",1,200
4,1,111,1,1146,10032,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,111,1,1146,10032,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,111,1,1146,10032,9,"ALCOHOLIC DRINKS",2,
4,1,111,1,1146,10033,1,"FULL MEALS - BREAKFAST",2,
4,1,111,1,1146,10033,2,"FULL MEALS - LUNCH",1,1000
4,1,111,1,1146,10033,3,"FULL MEALS - DINNER",2,
4,1,111,1,1146,10033,4,"SIDE DISHES",1,2500
4,1,111,1,1146,10033,5,"SNACKS",2,
4,1,111,1,1146,10033,6,"DAIRY BASED BEVARAGES",2,
4,1,111,1,1146,10033,7,"VEGETABLES AND ROASTED OR BOIL",1,400
4,1,111,1,1146,10033,8,"NON-ALCOHOLIC DRINKS",2,
4,1,111,1,1146,10033,9,"ALCOHOLIC DRINKS",1,1000
4,1,111,1,1146,10034,1,"FULL MEALS - BREAKFAST",1,500
4,1,111,1,1146,10034,2,"FULL MEALS - LUNCH",1,500
