"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11eq3","s11eq3a","s11eq3b","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15a","s11eq15b","s11eq16","s11eq17","s11eq18a","s11eq18b","s11eq19","s11eq20","s11eq20b","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27a","s11eq27b","s11eq28","s11eq29","s11eq30a","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35","s11eq36","s11eq37"
4,1,107,2,1044,10061,2,5,"PUMKIN",2190,1,2,3,1,2193,2,101,1,,2,,,,,,,,,1,1,,"N1",2193,4,101,300,5,,2800,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,6,"CASSAVA",1020,1,2,3,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,1,2,3,1,1020,14,161,1,,2,,,,,,,,,1,1,,"N1",1020,13,161,200,5,,1300,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,2,"CUCUMBA",2060,1,2,3,1,2060,70,80,1,,2,,,,,,,,,1,1,,"N1",2060,4,100,200,5,,2000,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,3,"MAIZE",1080,1,2,3,1,1080,10,13,1,,2,,,,,,,,,1,1,,"N1",1080,10,13,200,5,,1000,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,4,"PUMPKIN SEED",2193,1,2,3,1,2193,4,10,1,,2,,,,,,,,,1,1,,"N1",2193,18,10,200,5,,12600,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,1,2,3,1,1020,7,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,2,"MAIZE",1080,1,2,3,1,1080,7,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,1,2,3,1,1020,8,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,2,"MAIZE",1080,1,2,3,1,1080,5,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,3,"PUMPKIN SEED",2193,1,2,3,1,2193,4,10,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,4,"PLAINTAIN",2170,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
