"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
2,2,203,2,1224,7,1080,1,3,1,1000,1,1500,1,800,1,1000,50
2,2,203,2,1224,8,1010,1,3,1,1000,1,1000,1,800,1,1000,50
2,2,203,2,1224,9,1070,1,3,1,1000,1,1000,1,800,1,1000,50
2,2,203,2,1224,10,,2,,,,,,,,,,
2,2,203,2,1224,11,,2,,,,,,,,,,
2,2,203,2,1224,12,,2,,,,,,,,,,
2,2,205,2,712,1,,1,1,1,1000,1,1000,1,1000,1,2500,
2,2,205,2,712,2,1070,1,1,1,1500,1,1000,1,1000,1,1000,
2,2,205,2,712,3,1080,1,1,1,2000,1,2000,1,2000,1,2000,
2,2,205,2,712,4,1062,1,1,1,2000,1,2000,1,2000,1,2000,
2,2,205,2,712,5,,1,1,1,2500,2,,1,2500,1,2000,
2,2,205,2,712,6,,1,1,1,1000,1,1500,1,1000,1,1000,
2,2,205,2,712,7,1070,1,1,1,700,1,1000,1,1000,1,1000,
2,2,205,2,712,8,1080,1,1,1,700,1,1500,1,2000,1,1000,
2,2,205,2,712,9,1062,1,1,1,700,1,1500,1,2000,1,1000,
2,2,205,2,712,10,,2,,,,,,,,,,
2,2,205,2,712,11,,2,,,,,,,,,,
2,2,205,2,712,12,,2,,,,,,,,,,
2,2,207,2,1302,1,,1,1,1,500,1,500,1,1000,1,1500,
2,2,207,2,1302,2,1080,1,1,1,500,1,500,1,1000,1,1500,
2,2,207,2,1302,3,1070,1,1,1,500,1,500,1,600,1,1500,
2,2,207,2,1302,4,1062,1,3,1,500,1,500,1,600,1,1500,
2,2,207,2,1302,5,,1,1,1,500,2,,1,500,1,1500,
2,2,207,2,1302,6,,1,3,1,500,1,500,1,1000,2,,
2,2,207,2,1302,7,1080,1,3,1,500,1,500,1,1000,2,,
2,2,207,2,1302,8,1070,1,3,1,500,1,500,1,1000,2,,
2,2,207,2,1302,9,1060,1,3,1,500,1,500,1,1000,2,,
2,2,207,2,1302,10,,2,,,,,,,,,,
2,2,207,2,1302,11,,2,,,,,,,,,,
2,2,207,2,1302,12,,2,,,,,,,,,,
2,2,209,2,1040,1,,1,1,1,500,1,500,1,300,1,3000,50
2,2,209,2,1040,2,1010,1,1,1,500,1,500,1,300,1,3000,50
2,2,209,2,1040,3,1080,1,1,1,500,1,500,1,300,1,3000,50
2,2,209,2,1040,4,1070,1,1,1,500,1,500,1,300,1,3000,50
2,2,209,2,1040,5,,1,1,1,500,1,500,1,500,1,3000,50
2,2,209,2,1040,6,,1,1,1,500,1,1000,1,800,1,2000,50
2,2,209,2,1040,7,1010,1,1,1,500,1,500,1,800,1,2000,50
2,2,209,2,1040,8,1080,1,1,1,500,1,500,1,800,1,3000,50
2,2,209,2,1040,9,1070,1,1,1,500,1,500,1,300,1,2000,50
2,2,209,2,1040,10,,2,,,,,,,,,,
2,2,209,2,1040,11,,2,,,,,,,,,,
2,2,209,2,1040,12,,2,,,,,,,,,,
2,2,210,2,1300,1,,1,3,1,600,1,600,1,600,1,4000,20
2,2,210,2,1300,2,1080,1,3,1,700,1,600,1,600,1,6000,20
2,2,210,2,1300,3,1070,1,3,1,700,1,700,1,600,1,6000,20
2,2,210,2,1300,4,1062,1,3,1,700,1,700,1,1000,1,6000,20
2,2,210,2,1300,5,,1,3,1,600,1,600,1,600,1,5000,30
2,2,210,2,1300,6,,1,3,1,600,1,1000,1,600,1,6000,30
2,2,210,2,1300,7,1080,1,3,1,1000,1,600,1,600,1,6000,30
2,2,210,2,1300,8,1070,1,3,1,1000,1,600,1,600,1,6000,30
2,2,210,2,1300,9,1062,1,3,1,1000,1,1000,1,600,1,6000,30
2,2,210,2,1300,10,,2,,,,,,,,,,
2,2,210,2,1300,11,,2,,,,,,,,,,
2,2,210,2,1300,12,,2,,,,,,,,,,
2,2,212,2,956,1,,1,2,1,100,1,1000,1,1000,1,1000,100
2,2,212,2,956,2,1080,1,2,1,1000,1,1000,1,1000,1,1000,100
2,2,212,2,956,3,1070,1,2,1,1000,1,1000,1,1000,1,1000,100
2,2,212,2,956,4,,2,,,,,,,,,,
2,2,212,2,956,5,,2,,,,,,,,,,
2,2,212,2,956,6,,1,2,1,1000,1,1000,1,1000,1,1000,100
2,2,212,2,956,7,1080,1,2,1,1000,1,1000,1,1000,1,1000,100
2,2,212,2,956,8,1070,1,2,1,1000,1,1000,1,1000,1,1000,100
2,2,212,2,956,9,,2,,,,,,,,,,
2,2,212,2,956,10,,2,,,,,,,,,,
2,2,212,2,956,11,,2,,,,,,,,,,
2,2,212,2,956,12,,2,,,,,,,,,,
2,2,214,2,898,1,,1,3,1,800,1,700,1,500,1,1000,300
2,2,214,2,898,2,1080,1,3,1,800,1,700,1,500,1,700,30
2,2,214,2,898,3,1070,1,3,1,800,1,700,1,500,1,700,30
2,2,214,2,898,4,1062,1,3,1,800,1,700,1,500,1,100,30
2,2,214,2,898,5,,1,3,1,800,1,700,1,500,1,1000,50
2,2,214,2,898,6,,1,3,1,800,1,700,1,500,1,2000,50
2,2,214,2,898,7,1080,1,3,1,800,1,700,1,500,1,2000,50
2,2,214,2,898,8,1070,1,3,1,800,1,700,1,500,1,2000,50
2,2,214,2,898,9,1062,1,3,1,800,1,700,1,500,1,2000,50
2,2,214,2,898,10,,2,,,,,,,,,,
2,2,214,2,898,11,,2,,,,,,,,,,
2,2,214,2,898,12,,2,,,,,,,,,,
2,2,215,1,8,1,,1,1,1,500,1,500,1,600,1,600,20
2,2,215,1,8,2,1070,1,1,1,600,1,600,1,600,1,600,20
2,2,215,1,8,3,1080,1,1,1,600,1,600,1,600,1,600,20
2,2,215,1,8,4,1062,1,1,1,600,1,600,1,600,1,600,20
2,2,215,1,8,5,,1,1,1,400,1,500,1,500,1,500,10
2,2,215,1,8,6,,1,1,1,500,1,500,1,500,1,500,20
2,2,215,1,8,7,1070,1,1,1,500,1,500,1,600,1,500,20
2,2,215,1,8,8,1080,1,1,1,500,1,500,1,600,1,500,20
2,2,215,1,8,9,1062,1,1,1,500,1,500,1,600,1,500,20
2,2,215,1,8,10,,2,,,,,,,,,,
2,2,215,1,8,11,,2,,,,,,,,,,
2,2,215,1,8,12,,2,,,,,,,,,,
2,2,216,2,200,1,,1,1,1,700,1,700,1,300,1,4000,50
2,2,216,2,200,2,1080,1,1,1,1000,1,700,1,300,1,4000,50
2,2,216,2,200,3,1070,1,1,1,1000,1,700,1,300,1,4000,50
2,2,216,2,200,4,1110,1,1,1,1500,1,1000,1,300,1,7000,50
2,2,216,2,200,5,,1,1,1,500,1,400,1,300,1,1000,50
2,2,216,2,200,6,,1,1,1,1000,1,700,1,400,2,,
2,2,216,2,200,7,1080,1,1,1,700,1,700,1,400,1,2000,50
2,2,216,2,200,8,1070,1,1,1,700,1,700,1,400,1,2000,50
2,2,216,2,200,9,1110,1,1,1,1000,1,700,1,400,1,3000,50
2,2,216,2,200,10,,2,,,,,,,,,,
2,2,216,2,200,11,,2,,,,,,,,,,
2,2,216,2,200,12,,2,,,,,,,,,,
2,2,218,2,1592,1,,1,1,1,3000,2,,1,1000,1,1500,300
2,2,218,2,1592,2,1070,1,1,1,2000,2,,1,1000,1,1500,200
2,2,218,2,1592,3,1100,1,1,1,2000,2,,1,1000,1,1500,200
2,2,218,2,1592,4,,2,,,,,,,,,,
2,2,218,2,1592,5,,2,,,,,,,,,,
2,2,218,2,1592,6,,1,1,1,1200,2,,1,1200,1,7000,500
2,2,218,2,1592,7,1070,1,1,1,1500,2,,1,1000,2,,
2,2,218,2,1592,8,1080,1,1,1,1500,2,,1,1000,2,,
2,2,218,2,1592,9,,2,,,,,,,,,,
2,2,218,2,1592,10,,2,,,,,,,,,,
2,2,218,2,1592,11,,2,,,,,,,,,,
2,2,218,2,1592,12,,2,,,,,,,,,,
2,2,221,2,18,1,,1,3,1,500,1,300,2,,1,500,300
2,2,221,2,18,2,1070,1,3,1,500,1,300,1,500,1,500,200
2,2,221,2,18,3,1080,1,3,1,500,1,300,1,500,1,500,200
2,2,221,2,18,4,1050,1,3,1,500,1,300,1,500,1,500,200
2,2,221,2,18,5,,1,3,1,500,2,,2,,1,500,200
2,2,221,2,18,6,,1,3,1,300,1,300,1,300,1,500,200
2,2,221,2,18,7,1070,1,3,1,500,1,300,1,500,1,500,200
2,2,221,2,18,8,1080,1,3,1,500,1,300,1,500,1,500,200
2,2,221,2,18,9,1050,1,3,1,500,1,300,1,500,1,500,200
2,2,221,2,18,10,,2,,,,,,,,,,
2,2,221,2,18,11,,2,,,,,,,,,,
2,2,221,2,18,12,,2,,,,,,,,,,
5,3,301,1,1198,1,,1,3,1,2500,1,2500,1,1000,1,25000,25000
5,3,301,1,1198,2,1020,1,3,1,2500,1,2500,1,1000,1,30000,30000
5,3,301,1,1198,3,1080,1,3,1,2500,1,2500,1,1000,1,30000,30000
5,3,301,1,1198,4,1040,1,3,1,2500,1,2500,1,1000,1,30000,30000
5,3,301,1,1198,5,,2,,,,,,,,,,
5,3,301,1,1198,6,,2,,,,,,,,,,
5,3,301,1,1198,7,,2,,,,,,,,,,
5,3,301,1,1198,8,,2,,,,,,,,,,
5,3,301,1,1198,9,,2,,,,,,,,,,
5,3,301,1,1198,10,,2,,,,,,,,,,
5,3,301,1,1198,11,,2,,,,,,,,,,
5,3,301,1,1198,12,,2,,,,,,,,,,
5,3,305,2,4,1,,1,3,1,1000,1,1000,2,,1,30000,2000
5,3,305,2,4,2,1020,1,3,1,1000,1,1000,2,,1,25000,1000
5,3,305,2,4,3,1040,1,3,1,1000,1,1000,2,,1,25000,1000
5,3,305,2,4,4,1080,1,3,1,1000,1,1000,2,,1,25000,1000
5,3,305,2,4,5,,2,,,,,,,,,,
5,3,305,2,4,6,,2,,,,,,,,,,
5,3,305,2,4,7,,2,,,,,,,,,,
5,3,305,2,4,8,,2,,,,,,,,,,
5,3,305,2,4,9,,2,,,,,,,,,,
5,3,305,2,4,10,,2,,,,,,,,,,
5,3,305,2,4,11,,2,,,,,,,,,,
5,3,305,2,4,12,,2,,,,,,,,,,
5,3,305,2,1542,1,,1,3,1,2000,2,,2,,1,25000,20000
5,3,305,2,1542,2,1020,1,3,1,2000,1,1500,2,,1,20000,20000
5,3,305,2,1542,3,1040,1,3,1,2000,1,1500,2,,1,20000,20000
5,3,305,2,1542,4,1080,1,3,1,2000,1,1500,2,,1,20000,20000
5,3,305,2,1542,5,,2,,,,,,,,,,
5,3,305,2,1542,6,,2,,,,,,,,,,
5,3,305,2,1542,7,,2,,,,,,,,,,
5,3,305,2,1542,8,,2,,,,,,,,,,
5,3,305,2,1542,9,,2,,,,,,,,,,
5,3,305,2,1542,10,,2,,,,,,,,,,
5,3,305,2,1542,11,,2,,,,,,,,,,
5,3,305,2,1542,12,,2,,,,,,,,,,
5,3,307,1,634,1,,1,3,1,3000,1,3000,2,,1,30000,30000
5,3,307,1,634,2,1020,1,3,1,3000,1,3000,2,,1,3000,30000
5,3,307,1,634,3,1080,1,3,1,2000,1,2000,2,,1,30000,30000
5,3,307,1,634,4,1040,1,3,1,3000,1,3000,2,,1,30000,30000
5,3,307,1,634,5,,2,,,,,,,,,,
5,3,307,1,634,6,,2,,,,,,,,,,
5,3,307,1,634,7,,2,,,,,,,,,,
5,3,307,1,634,8,,2,,,,,,,,,,
5,3,307,1,634,9,,2,,,,,,,,,,
5,3,307,1,634,10,,2,,,,,,,,,,
5,3,307,1,634,11,,2,,,,,,,,,,
5,3,307,1,634,12,,2,,,,,,,,,,
5,3,309,2,478,1,,1,3,1,5000,2,,2,,1,25000,30000
5,3,309,2,478,2,1020,1,3,1,3000,1,2500,2,,1,25000,30000
5,3,309,2,478,3,1080,1,3,1,3000,1,2500,2,,1,2500,30000
5,3,309,2,478,4,1040,1,3,1,3000,1,2500,2,,1,25000,30000
5,3,309,2,478,5,,2,,,,,,,,,,
5,3,309,2,478,6,,2,,,,,,,,,,
5,3,309,2,478,7,,2,,,,,,,,,,
5,3,309,2,478,8,,2,,,,,,,,,,
5,3,309,2,478,9,,2,,,,,,,,,,
5,3,309,2,478,10,,2,,,,,,,,,,
5,3,309,2,478,11,,2,,,,,,,,,,
5,3,309,2,478,12,,2,,,,,,,,,,
5,3,312,2,20,1,,1,3,1,1500,2,,2,,1,40000,30000
5,3,312,2,20,2,1020,1,3,1,1000,1,1000,2,,1,20000,20000
5,3,312,2,20,3,1040,1,3,1,1000,1,1000,2,,1,20000,20000
5,3,312,2,20,4,1080,1,3,1,1000,1,1000,2,,1,20000,20000
5,3,312,2,20,5,,2,,,,,,,,,,
5,3,312,2,20,6,,2,,,,,,,,,,
5,3,312,2,20,7,,2,,,,,,,,,,
5,3,312,2,20,8,,2,,,,,,,,,,
5,3,312,2,20,9,,2,,,,,,,,,,
5,3,312,2,20,10,,2,,,,,,,,,,
5,3,312,2,20,11,,2,,,,,,,,,,
5,3,312,2,20,12,,2,,,,,,,,,,
5,3,313,2,70,1,,1,3,1,1500,2,,2,,1,1500,1000
5,3,313,2,70,2,1020,1,3,1,1000,1,1000,2,,1,1000,1000
5,3,313,2,70,3,1040,1,3,1,1000,1,1000,2,,1,1000,1000
5,3,313,2,70,4,1080,1,3,1,1000,1,1000,2,,1,1000,1000
5,3,313,2,70,5,,2,,,,,,,,,,
5,3,313,2,70,6,,2,,,,,,,,,,
5,3,313,2,70,7,,2,,,,,,,,,,
5,3,313,2,70,8,,2,,,,,,,,,,
5,3,313,2,70,9,,2,,,,,,,,,,
5,3,313,2,70,10,,2,,,,,,,,,,
5,3,313,2,70,11,,2,,,,,,,,,,
5,3,313,2,70,12,,2,,,,,,,,,,
5,3,316,2,874,1,,1,3,1,3000,1,5000,2,,1,30000,30000
5,3,316,2,874,2,1020,1,3,1,3000,1,5000,2,,1,30000,30000
5,3,316,2,874,3,1080,1,3,1,3000,1,5000,2,,1,20000,20000
5,3,316,2,874,4,1040,1,3,1,3000,1,5000,2,,1,30000,30000
5,3,316,2,874,5,,2,,,,,,,,,,
5,3,316,2,874,6,,2,,,,,,,,,,
5,3,316,2,874,7,,2,,,,,,,,,,
5,3,316,2,874,8,,2,,,,,,,,,,
5,3,316,2,874,9,,2,,,,,,,,,,
5,3,316,2,874,10,,2,,,,,,,,,,
5,3,316,2,874,11,,2,,,,,,,,,,
5,3,316,2,874,12,,2,,,,,,,,,,
5,3,318,2,1136,1,,1,3,1,2500,2,,2,,1,30000,2500
5,3,318,2,1136,2,1020,1,3,1,2500,2,,2,,1,25000,2500
5,3,318,2,1136,3,1040,1,3,1,2500,1,2500,2,,1,25000,2500
5,3,318,2,1136,4,1080,1,3,1,2500,1,2500,2,,1,25000,2500
5,3,318,2,1136,5,,2,,,,,,,,,,
5,3,318,2,1136,6,,2,,,,,,,,,,
5,3,318,2,1136,7,,2,,,,,,,,,,
5,3,318,2,1136,8,,2,,,,,,,,,,
5,3,318,2,1136,9,,2,,,,,,,,,,
5,3,318,2,1136,10,,2,,,,,,,,,,
5,3,318,2,1136,11,,2,,,,,,,,,,
5,3,318,2,1136,12,,2,,,,,,,,,,
5,3,321,2,364,1,,1,3,1,3000,1,3000,2,,1,30000,30000
5,3,321,2,364,2,1020,1,3,1,3000,1,3000,2,,1,30000,30000
5,3,321,2,364,3,1080,1,3,1,2500,1,2000,2,,1,20000,20000
5,3,321,2,364,4,1040,1,3,1,3000,1,3000,2,,1,30000,30000
5,3,321,2,364,5,,2,,,,,,,,,,
5,3,321,2,364,6,,2,,,,,,,,,,
5,3,321,2,364,7,,2,,,,,,,,,,
5,3,321,2,364,8,,2,,,,,,,,,,
5,3,321,2,364,9,,2,,,,,,,,,,
5,3,321,2,364,10,,2,,,,,,,,,,
5,3,321,2,364,11,,2,,,,,,,,,,
5,3,321,2,364,12,,2,,,,,,,,,,
5,3,323,2,580,1,,1,3,1,1000,2,,2,,1,30000,1000
5,3,323,2,580,2,1020,1,3,1,1000,2,,2,,1,15000,1000
5,3,323,2,580,3,1080,1,3,1,1000,2,,2,,1,10000,1000
5,3,323,2,580,4,1040,1,3,1,1000,2,,2,,1,15000,1000
5,3,323,2,580,5,,2,,,,,,,,,,
5,3,323,2,580,6,,2,,,,,,,,,,
5,3,323,2,580,7,,2,,,,,,,,,,
5,3,323,2,580,8,,2,,,,,,,,,,
5,3,323,2,580,9,,2,,,,,,,,,,
5,3,323,2,580,10,,2,,,,,,,,,,
5,3,323,2,580,11,,2,,,,,,,,,,
5,3,323,2,580,12,,2,,,,,,,,,,
5,3,326,2,74,1,,1,3,1,1500,1,1500,2,,1,45000,50000
5,3,326,2,74,2,1020,1,3,1,1500,1,1500,2,,1,50000,50000
5,3,326,2,74,3,1080,1,3,1,1500,1,1500,2,,1,50000,50000
5,3,326,2,74,4,1040,1,3,1,1500,1,1500,2,,1,50000,50000
5,3,326,2,74,5,,2,,,,,,,,,,
5,3,326,2,74,6,,2,,,,,,,,,,
5,3,326,2,74,7,,2,,,,,,,,,,
5,3,326,2,74,8,,2,,,,,,,,,,
5,3,326,2,74,9,,2,,,,,,,,,,
5,3,326,2,74,10,,2,,,,,,,,,,
5,3,326,2,74,11,,2,,,,,,,,,,
5,3,326,2,74,12,,2,,,,,,,,,,
