"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q4b","s3q5","s3q5b","s3q5c","s3q6","s3q6b","s3q6c","s3q7","s3q8","s3q9","s3q9b","s3q10","s3q11","s3q11b","s3q12b1","s3q13a","s3q13b","s3q14","s3q14b","s3q15","s3q15b","s3q15b1","s3q15c","s3q15d","s3q15e","s3q15f","s3q16","s3q17","s3q18","s3q21a","s3q21b","s3q22a","s3q22b","s3q23","s3q24a","s3q24b","s3q25","s3q26a","s3q26b","s3q27","s3q28","s3q28b","s3q28b1","s3q28c","s3q28d","s3q28e","s3q28f","s3q29","s3q30","s3q31","s3q34a","s3q34b","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38","s3q38a","s3q39_new","s3q39a_new","s3q40_new"
4,1,104,2,1364,10013,3,1,2,1,2,,2,,,2,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10013,7,1,2,1,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10013,9,1,2,1,1,45,2,,,2,,,1,,,,,,,1,"(SALE'S GIRL) RESTAURANT",4131,10,,5,,2,1,2,2,2,6,26,40,5000,5,9,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10013,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,11,1,2,1,1,45,2,,,2,,,1,,,,,,,1,"(SALE'S GIRL) RESTAURANT",4131,10,,5,,2,1,2,2,2,6,26,40,5000,5,11,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10013,12,1,2,1,1,45,2,,,2,,,1,,,,,,,1,"(SALE'S GIRL) RESTAURANT",4131,10,,5,,2,1,2,2,2,6,26,40,5000,5,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10014,1,1,1,,2,,2,,,2,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10014,2,1,2,1,1,40,2,,,2,,,1,,,,,,,1,"CLERK MINISTRY OF EDUCATION",4122,11,,3,,2,4,2,1,2,12,52,40,43000,5,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,0,10015,1,1,2,2,2,,2,,,2,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,0,10015,2,1,1,,1,40,1,12,3,2,,,1,,,,,,,1,"NITEL WATCHER AND DOOR KEEPER",9152,13,,1,,2,4,2,1,2,5,20,40,12000,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10016,1,1,2,3,1,40,2,,,2,,,1,,,,,,,1,"REVENUE OFFICER",3442,13,,2,,2,4,1,1,2,12,52,40,75800,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10016,2,1,2,3,1,40,2,,,2,,,1,,,,,,,1,"SECONDARY SCHOOL PRINCIPAL",2359,11,,2,,2,4,1,1,2,12,52,40,82600,5,2,1,2,,,1,"CROP FARMING",6210,1,5,,2,1,2,2,2,3,28,6,2000,5,2,,2,,,2,2,,2,
4,1,104,2,1364,10016,3,1,1,,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
