"item_name","item_cd","unit_name","unit_cd","unit_other","conv_national","conv_NC_1","conv_NE_2","conv_NW_3","conv_SE_4","conv_SS_5","conv_SW_6","note"
"MILLET",11,"CIGARETTE CUP",13,,0.21,0.209999993443489,0.209999993443489,0.209999993443489,0.215000003576279,0.204999998211861,0.209999993443489,
"MILLET",11,"TIN",14,,15.06,15.6850004196167,15.0600004196167,15.0600004196167,14.4350004196167,15.0600004196167,15.0600004196167,
"MILLET",11,"CONGO SMALL",20,,0.924,1.1599999666214,0.924000024795532,0.924000024795532,0.924000024795532,0.924000024795532,0.688000023365021,
"MILLET",11,"CONGO LARGE",21,,1.437,1.43700003623962,1.43700003623962,1.43700003623962,1.43700003623962,1.43700003623962,1.43700003623962,
"MILLET",11,"MUDU SMALL",30,,0.988,0.89300000667572,1.05799996852875,1.13499999046326,0.987999975681305,0.987999975681305,0.987999975681305,
"MILLET",11,"MUDU LARGE",31,,1.26,1.25999999046326,1.21000003814697,1.32299995422363,1.25999999046326,1.16999995708466,1.25999999046326,
"MILLET",11,"DERICA SMALL",40,,0.243,0.243000000715256,0.243000000715256,0.243000000715256,0.243000000715256,0.144999995827675,0.340000003576279,
"MILLET",11,"DERICA MEDIUM",41,,0.621,0.620999991893768,0.610000014305115,0.620999991893768,0.620999991893768,0.620999991893768,0.654999971389771,
"MILLET",11,"DERICA LARGE",42,,1.119,1.11899995803833,0.694999992847443,1.11899995803833,1.51800000667572,1.11899995803833,0.745000004768372,
"MILLET",11,"DERICA VERY LARGE",43,,1.903,1.90299999713898,1.90299999713898,1.90299999713898,1.91999995708466,1.95000004768372,1.87000000476837,
"MILLET",11,"TIYA SMALL",50,,0.501,0.500999987125397,0.500999987125397,0.500999987125397,0.500999987125397,0.500999987125397,0.500999987125397,"Used milk cup ratio, garri"
"MILLET",11,"TIYA MEDIUM",51,,1.31,1.30999994277954,1.30999994277954,1.30999994277954,1.30999994277954,1.30999994277954,1.30999994277954,
"MILLET",11,"TIYA LARGE",52,,2.543,2.54299998283386,2.54299998283386,2.54299998283386,2.54299998283386,2.54299998283386,2.54299998283386,
