"zone","state","lga","sector","ea","item_cd","c8q1","c8q2","c8q2b","c8q3"
4,1,108,2,904,32,1,13,,20
4,1,108,2,904,33,1,13,,20
4,1,108,2,904,41,1,13,,50
4,1,108,2,904,42,1,13,,50
4,1,108,2,904,47,1,80,,20
4,1,108,2,904,48,1,900,"a wrap",50
4,1,108,2,904,50,1,3,,300
4,1,108,2,904,51,1,120,,250
4,1,108,2,904,52,1,3,,300
4,1,108,2,904,60,1,100,,100
4,1,108,2,904,61,1,90,,50
4,1,108,2,904,65,1,900,"one can",100
4,1,108,2,904,66,1,90,,50
4,1,108,2,904,68,1,81,,300
4,1,108,2,904,69,1,80,,70
4,1,108,2,904,70,1,90,,100
4,1,108,2,904,71,1,900,"1 Tin",50
4,1,108,2,904,72,1,90,,50
4,1,108,2,904,73,1,90,,50
4,1,108,2,904,74,1,90,,50
4,1,108,2,904,75,1,90,,50
4,1,108,2,904,76,1,90,,50
4,1,108,2,904,77,1,90,,20
4,1,108,2,904,79,1,100,,100
4,1,108,2,904,80,1,1,,900
4,1,108,2,904,83,1,81,,30
4,1,108,2,904,90,1,1,,1000
4,1,108,2,904,93,1,1,,1000
4,1,108,2,904,101,1,81,,400
4,1,108,2,904,103,1,90,,200
4,1,108,2,904,106,1,900,"a can",120
4,1,108,2,904,111,1,120,,20
4,1,108,2,904,112,1,900,"1 Tin",1500
4,1,108,2,904,113,1,900,"1 Tin",150
4,1,108,2,904,115,1,120,,40
4,1,108,2,904,120,1,120,,50
4,1,108,2,904,121,1,120,,40
4,1,108,2,904,122,1,120,,250
4,1,108,2,904,130,1,120,,250
4,1,108,2,904,133,1,900,"one sweet",10
4,1,108,2,904,140,1,120,,20
4,1,108,2,904,141,1,120,,30
4,1,108,2,904,142,1,900,"a tie",100
4,1,108,2,904,144,1,900,"a wrap",20
4,1,108,2,904,145,1,13,,120
4,1,108,2,904,150,1,3,,100
4,1,108,2,904,151,1,120,,10
4,1,108,2,904,152,1,900,"one bottle",100
4,1,108,2,904,153,1,900,"one coke bottle",60
4,1,108,2,904,154,1,3,,300
4,1,108,2,904,155,1,900,"one bottle",750
4,1,108,2,904,160,1,900,"One beer bottle",200
4,1,108,2,904,163,1,900,"One gin bottle",600
4,1,108,2,904,164,1,900,"One bottle",1200
4,1,110,2,76,70,1,90,,100
4,1,110,2,76,71,1,900,"one can",50
4,1,110,2,76,72,1,90,,50
4,1,110,2,76,73,1,90,,50
4,1,110,2,76,74,1,90,,50
4,1,110,2,76,75,1,90,,20
4,1,110,2,76,76,1,90,,50
4,1,110,2,76,77,1,90,,20
4,1,110,2,76,79,1,100,,50
4,1,110,2,76,160,1,900,"one bottle",150
4,1,111,1,1146,70,1,91,,100
4,1,111,1,1146,71,1,900,"one can",50
4,1,111,1,1146,72,1,90,,50
4,1,111,1,1146,73,1,90,,50
4,1,111,1,1146,74,1,90,,50
4,1,111,1,1146,76,1,90,,50
4,1,111,1,1146,77,1,13,,100
4,1,111,1,1146,79,1,100,,100
4,1,111,1,1146,160,1,900,"one bottle",150
4,1,111,1,1146,161,1,900,"one 75cl bottle",100
4,1,111,1,1146,163,1,900,"one gin bottle",550
4,1,111,1,1146,164,1,900,"one 75cl bottle",1200
4,1,115,1,670,70,1,90,,100
4,1,115,1,670,71,1,900,"one can",40
4,1,115,1,670,72,1,90,,50
4,1,115,1,670,73,1,90,,50
4,1,115,1,670,74,1,90,,50
4,1,115,1,670,76,1,90,,50
4,1,115,1,670,77,1,13,,120
4,1,115,1,670,79,1,100,,50
4,1,115,1,670,160,1,900,"one bottle",150
4,1,115,1,670,163,1,900,"one gin bottle",600
4,1,115,1,670,164,1,900,"one 75cl bottle",1000
4,1,117,2,560,70,1,90,,100
4,1,117,2,560,71,1,900,"one can",50
4,1,117,2,560,72,1,90,,50
4,1,117,2,560,73,1,90,,50
4,1,117,2,560,74,1,90,,50
4,1,117,2,560,75,1,90,,50
4,1,117,2,560,76,1,90,,50
4,1,117,2,560,77,1,90,,20
4,1,117,2,560,79,1,100,,100
4,1,117,2,560,160,1,900,"a bottle",150
2,2,201,2,60,70,1,91,,200
2,2,201,2,60,71,1,2,,150
2,2,201,2,60,72,1,91,,200
2,2,201,2,60,73,1,91,,50
2,2,201,2,60,75,1,30,,200
2,2,201,2,60,76,1,91,,200
2,2,201,2,60,77,1,91,,200
2,2,201,2,60,78,1,2,,50
2,2,201,2,60,160,1,4,,250
2,2,201,2,60,163,1,4,,50
2,2,203,2,1224,70,1,90,,50
2,2,203,2,1224,71,1,2,,80
2,2,203,2,1224,72,1,90,,100
