"zone","state","lga","sector","ea","hhid","crop_number","cropname","cropcode","sa3iiq3","sa3iiq4","sa3iiq5a","sa3iiq5b","sa3iiq5b_os","sa3iiq6","sa3iiq7a","sa3iiq7b","sa3iiq8a","sa3iiq8b","sa3iiq9a","sa3iiq9b","sa3iiq10","sa3iiq11a","sa3iiq11b","sa3iiq11b_os","sa3iiq12a","sa3iiq12b","sa3iiq13a","sa3iiq13b","sa3iiq13b_os","sa3iiq14a","sa3iiq14b","sa3iiq14b_os","sa3iiq15a","sa3iiq15b","sa3iiq16a","sa3iiq16b","sa3iiq16b_os","sa3iiq17a","sa3iiq17b","sa3iiq17b_os","sa3iiq18a","sa3iiq18b","sa3iiq18b_os","sa3iiq18c","sa3iiq19","sa3iiq20a","sa3iiq20b","sa3iiq20b_os","sa3iiq21","sa3iiq22a","sa3iiq22b","sa3iiq23a","sa3iiq23b","sa3iiq24","sa3iiq25","sa3iiq25_os","sa3iiq26","sa3iiq27"
4,1,106,2,880,10024,2,"YAM",1120,2,,,,,,,,,,,,,1,150,,0,,1,150,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,191,,0,,,0,,0,,,0,,,0,,,,1,2,191,,8000,2,,2,,1,2,,2,
4,1,106,2,880,10025,1,"PUMPKIN",2190,1,7,25,160,,5000,"N01",,2,,1,2,1,0,,,0,,5,160,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10025,2,"OIL PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,190,,0,,,0,,0,,,1,190,,0,,,,1,4,192,,16000,2,,1,2,1,2,,2,
4,1,106,2,880,10027,1,"THREE LEAVE YAM",1124,1,5,3,141,,5000,"N04",,2,,2,,1,10,141,,0,,3,141,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,2,"PUMPKIN SEED",2193,1,4,140,81,,44000,"N04",,2,,2,,1,10,81,,0,,2,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,3,"GARDEN EGG",2080,1,4,63,131,,50000,"N04",,2,,2,,1,1,131,,0,,3,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,4,"MAIZE",1080,1,1,1,131,,500,"N04",,2,,2,,1,1,131,,0,,1,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10029,1,"MAIZE",1080,1,7,4,151,,4800,"N03","N04",2,,1,,1,2,151,,0,,2.5,151,,0,,,0,,0,,,0.5,151,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10029,2,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,14,131,,0,,,0,,0,,,4,131,,0,,,,1,2,151,,10000,2,,1,,1,3,,2,
4,1,106,2,880,10029,3,"PUMPKIN",2190,1,6,17,161,,5100,"N03",,2,,1,,1,0,,,0,,5,161,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,1,"MAIZE",1080,1,1,2,131,,4000,"N01",,2,,1,2,1,1,131,,0,,1,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,2,"CASSAVA",1020,1,4,8,131,,9000,"N01",,2,,1,2,1,0,,,0,,7,131,,0,,,0,,0,,,1,131,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,3,"YAM",1120,1,2,2,130,,10000,"N01",,2,,1,2,1,0.5,130,,0,,0.5,130,,0,,,0,,0,,,1,130,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,4,"MELON",1090,1,2,3,131,,7500,"N01",,2,,1,2,1,1,131,,0,,1,131,,0,,,0,,0,,,1,131,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,"OKRO",2120,1,1,5,71,,1500,"N01",,2,,1,2,1,0,,,0,,2,71,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,2,"PUMPKIN",2190,1,1,10,101,,7000,"N01",,2,,1,2,1,2,101,,0,,4,101,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,3,"YAM",1120,2,,,,,,,,,,,,,20,81,,0,,10,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,4,"PLAINTAIN",2170,1,1,8,101,,12000,"N01",,2,,1,2,1,0,,,0,,3,101,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,"CUCUMBA",2060,1,2,8,131,,32000,"N04",,2,,1,2,1,0.5,131,,0,,0.5,131,,0,,,0,,0,,,1,131,,1,131,,9,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,"MAIZE",1080,1,1,10,131,,5000,"N04",,2,,1,2,1,1,131,,0,,3,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,"CASSAVA",1020,1,4,4,131,,6500,"N04",,2,,1,2,1,0,,,0,,4,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,4,"MELLON",1090,2,,,,,,,,,,,,,1,70,,0,,1,70,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,5,"TOMATOES",2260,1,1,15,141,,35000,"N04",,2,,1,2,1,0,,,0,,1.5,141,,0,,,0,,0,,,0,,,0.5,141,,2,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,6,"PEPPER",2140,1,2,6,141,,6000,"N04",,2,,1,2,1,0.2,141,,0,,0.3,141,,0,,,0,,0,,,0.5,141,,1,141,,1,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,7,"YAM",1120,2,,,,,,,,,,,,,10,81,,0,,15,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,8,"OKRO",2120,1,1,4,141,,4000,"N04",,2,,1,2,1,0.2,141,,0,,0.8,141,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,9,"THREE LEAVE YAM",1124,2,,,,,,,,,,,,,2,141,,0,,1,141,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,10,"PUMPKIN",2190,2,,,,,,,,,,,,,7,81,,0,,3,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,"CASSAVA",1020,1,5,6,132,,9000,"N04",,1,,1,,1,0,,,0,,5,132,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,"CUCUMBA",2060,1,2,5,131,,20000,"N05",,1,,1,,1,0.5,131,,0,,0.5,131,,0,,,0,,0,,,1,131,,1,131,,10,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,"MAIZE",1080,1,1,28,132,,42000,"N05",,1,,1,,1,1,132,,0,,4,132,,0,,,0,,0,,,1,132,,2,132,,5,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,4,"PUMPKIN SEED",2193,1,3,7,82,,7000,"N04",,1,,1,,1,8,82,,0,,5,82,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,5,"PLANTAIN",2170,1,4,4,101,,4000,"N05",,1,,1,,1,0,,,0,,2,101,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10062,6,"OIL PALM",3180,2,,,,,,,,,,,,,0,,,0,,0,,,0,,,0,,0,,,0,,,0,,,,1,7,191,,18000,1,,1,,1,2,,2,
4,1,107,2,1044,10063,1,"MAIZE",1080,1,7,8,151,,7000,"N03",,5,,5,,1,2,151,,0,,4,151,,0,,,0,,0,,,2,151,,1,151,,50,2,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,"YAM",1120,1,3,4,131,,10500,"N03",,5,,5,,1,2,131,,0,,1,131,,0,,,0,,0,,,1,131,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10063,3,"PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,192,,0,,,0,,0,,,1,192,,0,,,,1,3,192,,12000,5,,5,,1,2,,2,
4,1,107,2,1044,10063,4,"OLANTAIN",2170,1,7,7,111,,6500,"N03",,5,,5,,1,0,,,0,,3,111,,0,,,0,,0,,,2,111,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,"MAIZE",1080,1,1,6,151,,6000,"N03",,1,2,1,2,1,1,151,,0,,2,151,,0,,,0,,0,,,1,151,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10064,2,"MELON",1090,1,2,30,13,,2400,"N04",,1,2,1,2,1,35,13,,0,,15,13,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,"PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,40,100,,0,,,0,,0,,,0,,,0,,,,1,60,3,,12000,1,2,1,2,1,2,,2,
4,1,107,2,1044,10064,4,"YAM",1120,1,5,28,81,,4200,"N04",,1,2,1,2,1,20,81,,0,,12,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10064,5,"OLD CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,32,151,,0,,,0,,0,,,0,,,0,,,,1,2,131,,5000,1,2,1,2,1,3,,2,
4,1,102,1,0,10065,1,"MAIZE",1080,1,1,14,140,,14000,"N01",,2,,2,,1,0,,,0,,1,140,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,0,10065,2,"PUMPKIN",2190,1,1,55,100,,11000,"N01",,2,,2,,1,0,,,0,,5,100,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,0,10065,3,"PEPPER",2140,1,2,2,150,,4000,"N01",,2,,2,,1,0,,,0,,0,,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,"MAIZE",1080,1,1,30,140,,30000,"N01",,2,,2,,1,0,,,0,,5,140,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10066,2,"CUCUMBER",2060,1,1,6,130,,9000,"N01",,2,,2,,1,0,,,0,,1,130,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10066,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,191,,0,,,0,,0,,,0,,,0,,,,1,3,191,,12000,2,,2,,1,2,,2,
4,1,107,2,1044,10067,1,"MAIZE",1080,1,1,19,140,,19000,"N02",,2,,2,,1,1,140,,0,,2,140,,0,,,0,,0,,,2,140,,1,140,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10067,2,"PUMPKIN",2190,1,7,25,100,,2500,"N02",,2,,2,,1,0,,,0,,5,100,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10067,3,"OILPALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,191,,0,,,0,,0,,,0,,,0,,,,1,3,191,,12000,2,,2,,1,2,,2,
4,1,107,2,1044,10068,1,"MAIZE",1080,1,1,38,140,,38000,"N02",,2,,2,,1,2,140,,0,,2,140,,0,,,0,,0,,,2,140,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10068,2,"OIL PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,191,,0,,,0,,0,,,1,191,,0,,,,1,3,191,,12000,2,,2,,1,2,,2,
4,1,107,2,1044,10069,1,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,13,151,,0,,,0,,0,,,0,,,0,,,,1,50,13,,3500,3,4,1,2,1,3,,2,
4,1,107,2,1044,10069,2,"MAIZE",1080,1,1,5,151,,6000,"N03","N04",3,9,1,2,1,1,151,,0,,2,151,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10069,3,"THREE LEAVE YAM",1124,2,,,,,,,,,,,,,20,81,,0,,20,81,,0,,,0,,0,,,0,,,0,,,,1,11,81,,1650,7,9,1,2,1,4,"COOKING",2,
4,1,107,2,1044,10069,4,"MELON",1090,2,,,,,,,,,,,,,30,13,,0,,15,13,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,0,10070,1,"CASSAVA",1020,1,4,15,132,,22000,"N04",,2,,2,,1,0,,,0,,7,132,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,0,10070,2,"CUCUMBER",2060,1,2,6,131,,30000,"N04",,2,,2,,1,0.5,131,,0,,0.5,131,,0,,,0,,0,,,0.5,131,,0.5,131,,5,2,,,,,,,,,,,,,
4,1,107,2,0,10070,3,"OKRO",2120,1,1,10,141,,30000,"N04",,2,,2,,1,0.5,141,,0,,1,141,,0,,,0,,0,,,0,,,1,141,,10,2,,,,,,,,,,,,,
4,1,107,2,0,10070,4,"PLANTAIN",2170,1,4,4,101,,4000,"N04",,2,,2,,1,0,,,0,,1,101,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,107,2,0,10070,5,"MAIZE",1080,1,2,15,132,,9000,"N04",,2,,2,,1,1,132,,0,,2,132,,0,,,0,,0,,,0,,,1,132,,10,2,,,,,,,,,,,,,
4,1,117,2,560,10071,1,"YAM",1120,1,3,2,151,,6000,"N03",,2,,1,2,1,1,151,,0,,0.5,151,,0,,,0,,0,,,0.5,151,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10071,2,"COCOYAM",1040,1,3,1,150,,1200,"N03",,2,,1,2,1,1,150,,0,,1,150,,0,,,0,,0,,,1,150,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10071,3,,2193,1,3,2,161,,1500,"N03",,2,,1,2,1,0,,,0,,1,161,,0,,,0,,0,,,1,161,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10071,4,"PLANTAIN",2170,1,1,6,111,,6000,"N03",,2,,1,2,1,0,,,0,,3,111,,0,,,0,,0,,,1,111,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10071,5,,3180,1,1,4,192,,18000,"N03",,2,,1,2,1,0,,,0,,1,192,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10072,1,"MAIZE",1080,2,,,,,,,,,,,,,2,140,,0,,3,140,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10073,1,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,28,141,,0,,,0,,0,,,0,,,0,,,,1,10,141,,10000,1,,1,,1,1,,2,
4,1,117,2,560,10073,2,"YAM",1120,2,,,,,,,,,,,,,15,81,,0,,8,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10073,3,"PUMPKIN",2190,1,1,23,161,,2300,"N01",,1,,1,,1,0,,,0,,10,161,,0,,,0,,0,,,3,161,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10074,1,"MAIZE",1080,1,1,3,130,,3000,"N01","N02",2,,1,2,1,1,130,,0,,1.5,130,,0,,,0,,0,,,0.5,130,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10074,2,"YAM",1120,1,4,50,81,,5000,"N02","N03",1,4,2,4,1,30,81,,0,,10,81,,0,,,0,,0,,,2,81,,0,,,,2,,,,,,,,,,,,,
4,1,117,2,560,10074,3,"PUMPKIN",2190,1,1,28,160,,2800,"N04",,4,,1,4,1,0,,,0,,9,160,,0,,,0,,0,,,2,160,,0,,,,2,,,,,,,,,,,,,
