"zone","state","lga","ea","sector","hhid","sa9aq1"
4,4,405,722,2,40063,2
4,4,405,722,2,40064,2
4,4,405,722,2,40065,2
4,4,405,722,2,40066,2
4,4,405,722,2,40067,2
4,4,405,0,2,40068,2
4,4,405,722,2,40069,2
4,4,405,722,2,40070,2
4,4,405,484,2,40071,2
4,4,405,484,2,40072,2
4,4,405,484,2,40073,2
4,4,405,484,2,40074,2
4,4,405,484,2,40075,2
4,4,405,484,2,40076,2
4,4,405,484,2,40077,2
4,4,405,484,2,40078,2
4,4,405,484,2,40080,2
4,4,419,296,2,40081,2
4,4,419,296,2,40082,2
4,4,419,296,2,40084,2
4,4,419,296,2,40085,2
4,4,419,296,2,40086,2
4,4,419,296,2,40088,2
4,4,419,296,2,40089,2
4,4,419,296,2,40090,2
4,4,401,1460,1,40092,2
4,4,401,1460,1,40093,2
4,4,401,1460,1,40094,2
4,4,401,1460,1,40095,2
4,4,401,1460,1,40096,2
4,4,401,1460,1,40097,2
4,4,401,1460,1,40099,2
4,4,401,1460,1,40100,2
4,4,412,2592,2,40101,2
4,4,412,2592,2,40102,2
4,4,412,2592,2,40103,2
4,4,412,2592,2,40104,2
4,4,412,2592,2,40105,2
4,4,412,2592,2,40106,2
4,4,412,2592,2,40107,2
4,4,412,2592,2,40108,2
4,4,412,2592,2,40109,2
4,4,412,2592,2,40110,2
4,4,412,1606,2,40111,2
4,4,412,1606,2,40112,2
4,4,412,1606,2,40113,2
4,4,412,1606,2,40114,2
4,4,412,1606,2,40115,2
4,4,412,1606,2,40116,2
4,4,412,1606,2,40117,2
4,4,412,1606,2,40118,2
4,4,412,1606,2,40119,2
4,4,412,1606,2,40120,2
4,4,410,4036,2,40123,2
4,4,410,4036,2,40124,2
4,4,410,4036,2,40125,2
4,4,410,4036,2,40126,2
4,4,410,4036,2,40128,2
4,4,410,4036,2,40129,2
4,4,410,4036,2,40130,2
4,4,407,796,2,40131,2
4,4,407,796,2,40133,2
4,4,407,796,2,40134,2
4,4,407,796,2,40135,2
4,4,407,796,2,40136,2
4,4,407,796,2,40137,2
4,4,407,796,2,40138,2
4,4,407,796,2,40140,2
4,4,410,3192,1,40141,2
4,4,410,3192,1,40142,2
4,4,410,3192,1,40143,2
4,4,410,3192,1,40144,2
4,4,410,3192,1,40146,2
4,4,410,3192,1,40147,2
4,4,410,3192,1,40148,2
4,4,410,3192,1,40149,2
4,4,410,3414,1,40151,2
4,4,410,3414,1,40152,2
4,4,410,3414,1,40153,2
4,4,410,3414,1,40154,2
4,4,410,0,1,40155,2
4,4,410,3414,1,40157,2
4,4,410,3414,1,40158,2
4,4,410,3414,1,40159,2
4,4,410,3414,1,40160,2
4,4,401,738,1,40161,2
4,4,401,738,1,40162,2
4,4,401,738,1,40163,2
4,4,401,738,1,40164,2
4,4,401,738,1,40166,2
4,4,401,738,1,40167,2
4,4,401,738,1,40169,2
4,4,401,738,1,40170,2
4,4,421,0,1,40173,2
4,4,421,800,1,40174,2
4,4,421,0,1,40176,2
4,4,421,800,1,40177,2
4,4,421,800,1,40178,2
4,4,411,1486,1,40181,2
4,4,411,1486,1,40182,2
4,4,411,1486,1,40184,2
4,4,411,1486,1,40187,2
4,4,411,1486,1,40188,2
4,4,411,1486,1,40189,2
4,4,411,1486,1,40190,2
4,4,401,2106,2,40191,2
4,4,401,2106,2,40192,2
4,4,401,2106,2,40193,2
4,4,401,2106,2,40194,2
4,4,401,2106,2,40195,2
4,4,401,2106,2,40196,2
4,4,401,2106,2,40197,2
4,4,401,2106,2,40198,2
4,4,401,2106,2,40199,2
4,4,401,2106,2,40200,2
4,4,402,1080,2,40201,2
4,4,402,1080,2,40202,2
4,4,402,1080,2,40204,2
4,4,402,1080,2,40206,2
4,4,402,1080,2,40207,2
4,4,402,1080,2,40208,2
4,4,402,1080,2,40209,2
4,4,402,1080,2,40210,2
4,4,403,836,2,40211,2
4,4,403,836,2,40212,2
4,4,403,836,2,40213,2
4,4,403,836,2,40214,2
4,4,403,836,2,40215,2
4,4,403,836,2,40218,2
4,4,403,836,2,40220,2
2,5,506,830,2,50001,2
2,5,506,830,2,50002,2
2,5,506,830,2,50003,2
2,5,506,830,2,50004,2
2,5,506,830,2,50005,2
2,5,506,830,2,50006,2
2,5,506,830,2,50007,2
2,5,506,830,2,50008,2
2,5,506,830,2,50009,2
2,5,506,830,2,50010,2
2,5,502,2194,1,50016,2
2,5,515,18,2,50021,2
2,5,515,18,2,50022,2
2,5,515,18,2,50023,2
2,5,515,18,2,50024,2
2,5,515,18,2,50025,2
2,5,515,18,2,50026,2
2,5,515,18,2,50027,2
2,5,515,18,2,50028,2
2,5,515,18,2,50029,2
2,5,515,18,2,50030,2
2,5,502,3878,2,50031,2
2,5,502,3878,2,50032,2
2,5,502,3878,2,50033,2
2,5,502,3878,2,50034,2
2,5,502,3878,2,50035,1
2,5,502,3878,2,50036,1
2,5,502,0,2,50037,2
2,5,502,3878,2,50038,1
2,5,502,3878,2,50039,2
2,5,502,3878,2,50040,2
2,5,504,708,2,50041,2
2,5,504,708,2,50042,2
2,5,504,708,2,50043,2
2,5,504,708,2,50044,2
2,5,504,708,2,50045,2
2,5,504,708,2,50046,2
2,5,504,708,2,50047,2
2,5,504,708,2,50048,2
2,5,504,708,2,50049,2
2,5,504,708,2,50050,2
2,5,513,348,2,50051,2
2,5,513,348,2,50052,2
2,5,513,348,2,50053,2
2,5,513,348,2,50054,2
2,5,513,348,2,50055,2
2,5,513,348,2,50056,2
2,5,513,348,2,50057,2
2,5,513,348,2,50058,2
2,5,513,348,2,50059,2
2,5,513,348,2,50060,2
2,5,514,710,2,50061,2
2,5,514,710,2,50062,1
2,5,514,710,2,50063,2
2,5,514,710,2,50064,2
2,5,514,710,2,50065,2
2,5,514,710,2,50066,2
2,5,514,710,2,50067,1
2,5,514,710,2,50068,1
2,5,514,710,2,50069,2
2,5,514,710,2,50070,2
2,5,501,60,2,50071,2
2,5,501,60,2,50072,2
2,5,501,60,2,50073,2
2,5,501,60,2,50074,2
2,5,501,60,2,50075,2
2,5,501,60,2,50076,2
2,5,501,60,2,50077,2
2,5,501,60,2,50079,2
2,5,501,60,2,50080,2
2,5,516,942,2,50081,2
2,5,516,942,2,50082,2
2,5,516,942,2,50083,2
2,5,516,942,2,50084,2
2,5,516,942,2,50085,2
2,5,516,942,2,50086,2
2,5,516,942,2,50087,2
2,5,516,942,2,50088,2
2,5,516,942,2,50089,2
2,5,516,942,2,50090,2
2,5,508,984,2,50091,2
2,5,508,984,2,50092,2
2,5,508,984,2,50093,2
2,5,508,984,2,50094,2
2,5,508,984,2,50095,2
2,5,508,984,2,50097,2
2,5,508,984,2,50098,2
2,5,508,984,2,50099,2
2,5,508,984,2,50100,2
2,5,514,2036,1,50101,2
2,5,514,2036,1,50102,2
2,5,514,2036,1,50110,2
2,5,508,718,2,50112,2
2,5,508,718,2,50113,2
2,5,508,718,2,50114,2
2,5,508,718,2,50116,2
2,5,508,718,2,50117,2
2,5,508,718,2,50118,2
2,34,3410,0,2,50119,2
2,5,508,718,2,50120,2
2,5,510,872,1,50124,2
2,5,510,872,1,50125,2
2,5,518,1588,2,50131,2
2,5,518,1588,2,50132,2
2,5,518,1588,2,50133,2
2,5,518,1588,2,50134,2
2,5,518,1588,2,50135,2
2,5,518,1588,2,50136,2
2,5,518,1588,2,50137,2
2,5,518,1588,2,50138,2
2,5,518,1588,2,50139,2
2,5,510,1516,2,50141,2
2,5,510,1516,2,50142,2
2,5,510,1516,2,50143,2
2,5,510,1516,2,50144,2
2,5,510,1516,2,50145,2
2,5,510,1516,2,50146,2
2,5,510,1516,2,50147,2
2,5,510,1516,2,50148,2
2,5,510,1516,2,50149,2
2,5,510,1516,2,50150,2
2,5,518,1304,2,50151,2
2,5,518,1304,2,50152,2
2,5,518,1304,2,50153,2
2,5,518,1304,2,50154,2
2,5,518,1304,2,50155,2
2,5,518,1304,2,50156,2
2,5,518,1304,2,50157,2
2,5,518,1304,2,50158,2
2,5,518,1304,2,50159,2
2,5,520,1756,2,50161,2
2,5,520,1756,2,50162,2
2,5,520,1756,2,50163,2
2,5,520,1756,2,50164,2
2,5,520,1756,2,50165,2
2,5,520,1756,2,50166,2
2,5,520,1756,2,50167,2
2,5,520,1756,2,50168,2
2,5,520,1756,2,50169,2
