"zone","state","lga","sector","ea","hhid","plotid","s11b1q1","s11b1q2","s11b1q3","s11b1q4","s11b1q5","s11b1q6a","s11b1q6b","s11b1q7","s11b1q8","s11b1q8b","s11b1q8a","s11b1q8b1","s11b1q8b2","s11b1q8b3","s11b1q9","s11b1q9_os","s11b1q9a","s11b1q10a","s11b1q10b","s11b1q10c","s11b1q10d","s11b1q11","s11b1q12a","s11b1q12b","s11b1q12c","s11b1q12d","s11b1q13","s11b1q14","s11b1q15","s11b1q16a1","s11b1q16a2","s11b1q16b1","s11b1q16b2","s11b1q17","s11b1q18","s11b1q19","s11b1q19a","s11b1q20","s11b1q21","s11b1q22a","s11b1q22b","s11b1q22c","s11b1q23a","s11b1q23b","s11b1q23c","s11b1q23d","s11b1q24","s11b1q25a","s11b1q25b","s11b1q26","s11b1q27","s11b1q28","s11b1q28a","s11b1q29","s11b1q30a","s11b1q30b","s11b1q31","s11b1q32","s11b1q33","s11b1q34","s11b1q35","s11b1q39","s11b1q40","s11b1q41a","s11b1q41b","s11b1q42","s11b1q43","s11b1q43b","s11b1q44","s11b1q44_os","s11b1q45","s11b1q46","s11b1q47","s11b1q48","s11b1q49","s11b1q50a","s11b1q50a_os","s11b1q50b","s11b1q51"
4,1,107,2,1044,10062,3,2,2,,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,1,,580000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10063,1,1,,1982,1,250000,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,250000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10063,2,1,,1982,1,180000,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,200000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10063,3,1,,1982,1,250000,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,150000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10063,4,1,,1982,1,150000,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,150000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10064,1,1,,1986,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,"N1",,,,1,54,,680000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10064,2,1,,1986,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,"N1",,,,1,54,,430000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,102,1,0,10065,1,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,8000,0,"N1",2,,2,,2,1,,,,,,,,,,,,,,,2000000,1,,,,,,,,,,,2,,,,,,,5,,1,1,1,2,2,,,,
4,1,102,1,0,10065,2,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,8000,0,"N1",2,,2,,2,1,,,,,,,,,,,,,,,2000000,1,,,,,,,,,,,2,,,,,,,5,,1,1,1,2,2,,,,
4,1,102,1,0,10065,3,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,3000,0,"N2",2,,2,,2,1,,,,,,,,,,,,,,,700000,1,,,,,,,,,,,2,,,,,,,5,,1,1,1,2,2,,,,
4,1,107,2,1044,10066,1,1,,1990,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,6,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10066,2,1,,1990,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,6,,,2,54,,120000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10066,3,1,,1990,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,6,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10066,4,1,,1990,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,6,,,2,54,,101000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10066,5,1,,1990,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,6,,,2,54,,100000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10067,1,2,1,1995,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,4,,,2,54,,120000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10067,2,2,1,1995,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,4,,,2,54,,140000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10067,3,2,1,1995,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,4,,,2,54,,110000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10068,1,1,,1995,5,,2,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
