"zone","state","lga","sector","ea","group_cd","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
2,2,214,2,898,303,2,,,,,,
2,2,214,2,898,304,2,,,,,,
2,2,214,2,898,305,2,,,,,,
2,2,214,2,898,306,1,1,2,,100,30,37
2,2,214,2,898,307,1,2,2,,200,61,35
2,2,214,2,898,308,2,,,,,,
2,2,214,2,898,309,1,1,3,,30,12,0
2,2,214,2,898,310,2,,,,,,
2,2,214,2,898,311,1,1,3,,1000,40,0
2,2,214,2,898,312,2,,,,,,
2,2,214,2,898,313,1,1,1,,20,0,4
2,2,214,2,898,314,2,,,,,,
2,2,214,2,898,315,2,,,,,,
2,2,215,1,8,301,2,,,,,,
2,2,215,1,8,302,2,,,,,,
2,2,215,1,8,303,2,,,,,,
2,2,215,1,8,304,2,,,,,,
2,2,215,1,8,305,1,1,3,,50,50,7
2,2,215,1,8,306,1,1,2,,100,0,22
2,2,215,1,8,307,2,,,,,,
2,2,215,1,8,308,2,,,,,,
2,2,215,1,8,309,1,1,2,,10,3,2
2,2,215,1,8,310,2,,,,,,
2,2,215,1,8,311,1,2,2,,250,15,0
2,2,215,1,8,312,2,,,,,,
2,2,215,1,8,313,1,1,1,,20,0,3
2,2,215,1,8,314,2,,,,,,
2,2,215,1,8,315,2,,,,,,
2,2,216,2,200,301,2,,,,,,
2,2,216,2,200,302,2,,,,,,
2,2,216,2,200,303,2,,,,,,
2,2,216,2,200,304,2,,,,,,
2,2,216,2,200,305,1,1,2,,36,36,11
2,2,216,2,200,306,1,1,2,,38,3,12
2,2,216,2,200,307,2,,,,,,
2,2,216,2,200,308,2,,,,,,
2,2,216,2,200,309,2,,,,,,
2,2,216,2,200,310,2,,,,,,
2,2,216,2,200,311,1,1,3,,50,13,0
2,2,216,2,200,312,2,,,,,,
2,2,216,2,200,313,1,1,2,,5,0,1
2,2,216,2,200,314,2,,,,,,
2,2,216,2,200,315,2,,,,,,
2,2,218,2,1592,301,1,1,3,,100,0,60
2,2,218,2,1592,302,2,,,,,,
2,2,218,2,1592,303,2,,,,,,
2,2,218,2,1592,304,2,,,,,,
2,2,218,2,1592,305,2,,,,,,
2,2,218,2,1592,306,1,1,3,,30,0,16
2,2,218,2,1592,307,1,1,3,,4,0,0
2,2,218,2,1592,308,2,,,,,,
2,2,218,2,1592,309,2,,,,,,
2,2,218,2,1592,310,2,,,,,,
2,2,218,2,1592,311,2,,,,,,
2,2,218,2,1592,312,2,,,,,,
2,2,218,2,1592,313,1,1,2,,10,0,0
2,2,218,2,1592,314,2,,,,,,
2,2,218,2,1592,315,2,,,,,,
2,2,221,2,18,301,2,,,,,,
2,2,221,2,18,302,2,,,,,,
2,2,221,2,18,303,2,,,,,,
2,2,221,2,18,304,2,,,,,,
2,2,221,2,18,305,2,,,,,,
2,2,221,2,18,306,1,1,3,,40,5,31
2,2,221,2,18,307,1,1,2,,50,10,22
2,2,221,2,18,308,2,,,,,,
2,2,221,2,18,309,1,2,2,,10,2,1
2,2,221,2,18,310,2,,,,,,
2,2,221,2,18,311,1,1,3,,30,4,2
2,2,221,2,18,312,2,,,,,,
2,2,221,2,18,313,1,1,1,,20,0,0
2,2,221,2,18,314,2,,,,,,
2,2,221,2,18,315,2,,,,,,
5,3,301,1,1198,301,2,,,,,,
5,3,301,1,1198,302,2,,,,,,
5,3,301,1,1198,303,2,,,,,,
5,3,301,1,1198,304,2,,,,,,
5,3,301,1,1198,305,1,1,2,,50,50,20
5,3,301,1,1198,306,1,1,2,,60,20,20
5,3,301,1,1198,307,1,2,2,,38,15,18
5,3,301,1,1198,308,1,2,2,,20,12,15
5,3,301,1,1198,309,2,,,,,,
5,3,301,1,1198,310,1,1,2,,12,4,6
5,3,301,1,1198,311,1,1,2,,65,40,15
5,3,301,1,1198,312,2,,,,,,
5,3,301,1,1198,313,1,1,2,,35,0,10
5,3,301,1,1198,314,2,,,,,,
5,3,301,1,1198,315,2,,,,,,
5,3,305,2,4,301,1,1,2,,15,0,0
5,3,305,2,4,302,2,,,,,,
5,3,305,2,4,303,2,,,,,,
5,3,305,2,4,304,2,,,,,,
5,3,305,2,4,305,1,2,1,,450,450,200
5,3,305,2,4,306,1,1,2,,400,100,250
5,3,305,2,4,307,1,5,2,,150,68,50
5,3,305,2,4,308,1,3,2,,53,25,20
5,3,305,2,4,309,2,,,,,,
5,3,305,2,4,310,1,1,3,,12,0,0
5,3,305,2,4,311,1,1,3,,280,120,80
5,3,305,2,4,312,2,,,,,,
5,3,305,2,4,313,1,1,2,,20,0,20
5,3,305,2,4,314,2,,,,,,
5,3,305,2,4,315,2,,,,,,
5,3,305,2,1542,301,2,,,,,,
5,3,305,2,1542,302,2,,,,,,
5,3,305,2,1542,303,2,,,,,,
5,3,305,2,1542,304,2,,,,,,
5,3,305,2,1542,305,1,1,2,,80,80,25
5,3,305,2,1542,306,1,1,2,,60,20,25
5,3,305,2,1542,307,1,1,2,,40,12,25
