"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fc5","s11fq1a","s11fq1b","s11fq2","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq5","s11fq6","s11fq7","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq12a","s11fq12b","s11fq12b_os","s11fq13","s11fq14a","s11fq14b","s11fq14c","s11fq14c_os","s11fq15"
4,1,106,2,880,10022,2,1,,1020,1,201,1,4,5,2015,,,,,,,,,,,,,,,,9,131,,1,100,,,,54000
4,1,106,2,880,10022,2,2,,1080,1,74,3,4,5,2015,,,,,,,,,,,,,,,,10,131,,1,100,,,,46000
4,1,106,2,880,10023,1,1,,1020,1,510,1,4,4,2015,,,,,,,,,,,,,,,,50,1,,1,,18,131,,10000
4,1,106,2,880,10023,1,2,,2190,1,50,2,4,4,2015,,,,,,,,,,,,,,,,30,161,,1,,24,161,,2400
4,1,106,2,880,10023,1,3,,1080,1,510,1,4,4,2015,,,,,,,,,,,,,,,,3,131,,1,,2,132,,4500
4,1,106,2,880,10023,2,1,,1020,1,480,1,4,4,2015,,,,,,,,,,,,,,,,100,101,,1,,20,131,,22000
4,1,106,2,880,10023,2,2,,2190,1,70,2,4,4,2015,,,,,,,,,,,,,,,,40,161,,1,,30,161,,3000
4,1,106,2,880,10023,3,1,,1020,1,380,3,1,4,2014,,,,,,,,,,,,,,,,18,131,,2,,,,,
4,1,106,2,880,10024,1,1,,1020,1,200,1,4,4,2015,,,,,,,,,,,,,,,,20,130,,1,,5,130,,1500
4,1,106,2,880,10024,1,2,,1080,1,100,3,4,4,2015,,,,,,,,,,,,,,,,10,131,,1,,7,131,,3500
4,1,106,2,880,10024,2,1,,1020,1,300,1,4,5,2015,,,,,,,,,,,,,,,,25,130,,2,,,,,
4,1,106,2,880,10024,2,2,,1120,1,50,1,4,4,2015,,,,,,,,,,,,,,,,70,82,,2,,,,,
4,1,106,2,880,10024,2,3,,3180,2,,,,,,20,3,20,1980,0,3,2015,7,2015,2,,,1,14,,2,14,,1,,1,14,,4000
4,1,106,2,880,10025,1,1,,1020,1,200,1,4,4,2015,,,,,,,,,,,,,,,,20,131,,1,50,10,131,,5000
4,1,106,2,880,10025,1,2,,2190,1,50,1,4,4,2015,,,,,,,,,,,,,,,,10,162,,1,,7,162,,1400
4,1,106,2,880,10025,1,3,,3180,2,,,,,,30,3,,2003,0,5,2015,7,2015,2,,,3,14,,3,14,,1,,2,14,,10000
4,1,106,2,880,10025,2,1,,1020,1,250,1,4,4,2015,,,,,,,,,,,,,,,,18,131,,2,,,,,
4,1,106,2,880,10025,3,1,,1020,1,230,1,4,4,2015,,,,,,,,,,,,,,,,22,131,,1,,7,131,,3500
4,1,106,2,880,10027,1,1,,1020,1,85,2,4,5,2015,,,,,,,,,,,,,,,,2,11,,2,,,,,
4,1,106,2,880,10027,1,2,,1124,1,250,2,1,5,2015,,,,,,,,,,,,,,,,3,150,,1,60,40,150,,4500
4,1,106,2,880,10027,1,3,,2193,1,50,2,4,6,2015,,,,,,,,,,,,,,,,11,160,,1,40,60,160,,400
4,1,106,2,880,10027,2,1,,1020,1,250,3,4,5,2015,,,,,,,,,,,,,,,,2,11,,1,100,10,11,,4000
4,1,106,2,880,10027,3,1,,2080,1,100,3,4,5,2015,,,,,,,,,,,,,,,,5,131,,1,80,120,131,,16400
4,1,106,2,880,10027,3,2,,1020,1,400,3,4,5,2015,,,,,,,,,,,,,,,,2,11,,1,80,20,11,,2400
4,1,106,2,880,10027,3,3,,2193,1,200,1,4,5,2015,,,,,,,,,,,,,,,,10,160,,1,100,10,160,,1300
4,1,106,2,880,10027,3,4,,1124,1,200,3,4,5,2015,,,,,,,,,,,,,,,,2,150,,1,70,30,150,,4000
4,1,106,2,880,10027,3,5,,1080,1,300,3,4,4,2015,,,,,,,,,,,,,,,,4,150,,1,50,30,150,,1200
4,1,106,2,880,10029,1,1,,1080,1,50,2,4,4,2015,,,,,,,,,,,,,,,,3,132,,1,,25,132,,5000
4,1,106,2,880,10029,1,2,,1020,1,50,2,4,4,2015,,,,,,,,,,,,,,,,40,131,,1,,10,131,,10000
4,1,106,2,880,10029,1,3,,2190,1,20,2,4,4,2015,,,,,,,,,,,,,,,,10,102,,1,,5,102,,1500
