"zone","state","lga","sector","ea","hhid","network_cd","sa10q2","sa10q2b","sa10q3"
2,2,210,2,1300,20064,"N02",1,,1
2,2,210,2,1300,20064,"N03",9,,1
2,2,210,2,1300,20064,"N04",9,,1
2,2,210,2,1300,20065,"N01",9,,2
2,2,210,2,1300,20066,"N01",1,,1
2,2,210,2,1300,20066,"N02",1,,1
2,2,210,2,1300,20066,"N03",9,,2
2,2,210,2,1300,20066,"N04",11,,2
2,2,210,2,1300,20068,"N01",10,,2
2,2,210,2,1300,20068,"N02",10,,2
2,2,210,2,1300,20069,"N01",2,,1
2,2,210,2,1300,20069,"N02",2,,1
2,2,210,2,1300,20069,"N03",10,,2
2,2,210,2,1300,20069,"N04",10,,5
2,2,210,2,1300,20070,"N01",2,,1
2,2,210,2,1300,20070,"N02",10,,2
2,2,210,2,1300,20070,"N03",13,,2
2,2,214,2,898,20072,"N01",13,,3
2,2,214,2,898,20072,"N02",1,,3
2,2,214,2,898,20072,"N03",12,,3
2,2,214,2,898,20074,"N01",12,,3
2,2,214,2,898,20074,"N02",12,,3
2,2,214,2,898,20077,"N01",10,,3
2,2,214,2,898,20077,"N02",10,,3
2,2,215,1,8,20081,"N01",13,,2
2,2,215,1,8,20081,"N02",13,,2
2,2,215,1,8,20082,"N01",12,,3
2,2,215,1,8,20082,"N02",12,,3
2,2,215,1,8,20082,"N03",12,,3
2,2,215,1,8,20082,"N04",12,,3
2,2,215,1,8,20083,"N01",10,,3
2,2,215,1,8,20086,"N01",10,,3
2,2,215,1,8,20088,"N01",13,,3
2,2,215,1,8,20088,"N02",13,,3
2,2,207,2,1302,20091,"N01",10,,2
2,2,207,2,1302,20092,"N01",10,,5
2,2,207,2,1302,20092,"N02",13,,3
2,2,207,2,1302,20093,"N01",10,,1
2,2,207,2,1302,20093,"N02",2,,1
2,2,207,2,1302,20093,"N03",10,,2
2,2,207,2,1302,20095,"N01",11,,2
2,2,207,2,1302,20096,"N01",10,,2
2,2,207,2,1302,20096,"N02",2,,2
2,2,207,2,1302,20096,"N03",10,,2
2,2,207,2,1302,20096,"N04",10,,2
2,2,207,2,1302,20097,"N01",10,,2
2,2,207,2,1302,20098,"N01",10,,2
2,2,207,2,1302,20098,"N02",2,,2
2,2,207,2,1302,20098,"N03",10,,2
2,2,207,2,1302,20098,"N04",10,,2
2,2,207,2,1302,20099,"N01",10,,5
2,2,207,2,1302,20100,"N01",11,,1
2,2,207,2,1302,20100,"N02",9,,1
2,2,205,2,712,20101,"N01",10,,1
2,2,205,2,712,20102,"N01",10,,5
2,2,205,2,712,20102,"N02",10,,5
2,2,205,2,712,20103,"N01",10,,1
2,2,205,2,712,20103,"N02",1,,1
2,2,205,2,712,20103,"N03",10,,2
2,2,205,2,712,20104,"N01",9,,2
2,2,205,2,712,20106,"N01",10,,5
2,2,205,2,712,20106,"N02",10,,2
2,2,205,2,712,20106,"N03",10,,5
2,2,205,2,712,20106,"N04",10,,5
2,2,205,2,712,20107,"N01",13,,5
2,2,205,2,712,20107,"N02",10,,5
2,2,205,2,712,20107,"N03",12,,2
2,2,205,2,712,20108,"N01",2,,2
2,2,205,2,712,20108,"N02",2,,2
2,2,205,2,712,20108,"N03",2,,2
2,2,205,2,712,20108,"N04",2,,2
2,2,205,2,712,20108,"N05",2,,2
2,2,205,2,712,20108,"N06",10,,5
2,2,205,2,712,20108,"N07",9,,2
2,2,205,2,712,20110,"N01",10,,1
2,2,205,2,712,20110,"N02",10,,1
2,2,218,2,1592,20111,"N01",9,,2
2,2,218,2,1592,20112,"N01",9,,2
2,2,218,2,1592,20113,"N01",9,,2
2,2,218,2,1592,20113,"N02",13,,2
2,2,218,2,1592,20114,"N01",12,,4
2,2,218,2,1592,20114,"N02",12,,4
2,2,218,2,1592,20115,"N01",10,,2
2,2,218,2,1592,20115,"N02",10,,3
2,2,218,2,1592,20115,"N03",12,,3
2,2,218,2,1592,20116,"N01",10,,2
2,2,218,2,1592,20116,"N02",12,,3
2,2,218,2,1592,20117,"N01",13,,1
2,2,218,2,1592,20117,"N02",13,,1
2,2,218,2,1592,20118,"N01",10,,2
