"hhid","zone","state","lga","ea","hhstatus_w1v1","hhstatus_w1v2","hhstatus_w2v1","hhstatus_w2v2","hhstatus_w3v1","hhstatus_w3v2","tracking_w1v2","tracking_w2v1","tracking_w2v2","tracking_w3v1","tracking_w3v2","moved_w2v1","moved_w2v2","moved_w3v1","moved_w3v2","wt_w1v1","wt_w1v2","wt_w2v1","wt_w2v2","wt_w3v1","wt_w3v2","wt_wave1","wt_wave2","wt_wave3","wt_combined","wt_w1_w3","wt_w2_w3","wt_w1_w2_w3"
10019,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10020,4,1,104,1364,1,1,2,2,2,2,0,,,0,0,,,,,10198.8487597275,10198.8487597275,,,,,10198.8487597275,,,,,,
10021,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10022,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10023,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10024,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10025,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10026,4,1,106,880,1,1,1,1,4,4,0,0,0,0,0,0,0,,,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,,,3172.97516969301,3172.97516969301,,3172.97516969301,,,
10027,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10028,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10029,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
