"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7a_os","s9q7b","s9q7b_os","s9q7c","s9q7c_os"
2,2,209,2,1040,20005,4,1,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,4,,5,,,
2,2,209,2,1040,20006,2,2,0,0,0,0,0,0,0,4,3,1,,,,1,7,8,,,,,4,,5,,,
2,2,209,2,1040,20007,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20008,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20009,3,0,0,0,0,0,0,0,0,2,3,1,,,,1,8,,,8,,,4,,5,,9,
2,2,209,2,1040,20010,3,3,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,8,,,5,,,,,
2,34,3416,2,0,20011,5,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,7,,,4,,5,,,
2,2,221,2,18,20012,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20013,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20014,4,3,2,0,0,0,0,0,0,2,2,1,,,,1,9,,,,,,4,,3,,,
2,2,221,2,18,20015,3,2,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,5,,4,,,
2,2,221,2,18,20016,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20017,4,4,0,0,0,0,0,0,0,5,2,1,,,,1,8,,,,,,3,,4,,5,
2,2,221,2,18,20018,0,0,0,0,0,0,2,2,0,3,3,1,,,,1,8,,,8,,,5,,4,,9,
2,2,221,2,18,20019,4,4,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,4,,,,,
2,2,221,2,18,20020,0,2,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20021,3,2,2,2,2,0,0,0,0,2,2,1,,,,1,8,,,8,,,4,,10,"LACK OF MONEY",,
2,2,201,2,60,20022,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20023,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20024,5,5,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,4,,,,,
2,2,201,2,60,20025,1,1,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,8,,,4,,5,,10,"TOO MANY PEOPLE IN THE HOUSEHOLD"
2,2,201,2,60,20026,2,1,1,0,0,0,0,0,1,3,3,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20027,4,4,2,1,3,0,0,0,0,2,2,1,,,,1,8,,,8,,,1,,2,,,
2,2,201,2,60,20028,1,2,0,0,0,0,0,0,0,3,5,1,,,,1,8,,,8,,,4,,5,,,
2,2,201,2,60,20029,4,2,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20030,4,4,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,1,,4,,,
2,2,216,2,200,20031,1,2,2,2,2,2,2,1,1,2,2,1,,,,1,7,,,8,,,10,"FLOOD4",4,,,
2,2,216,2,200,20032,2,2,2,2,2,0,1,1,1,2,2,1,,,,1,7,,,8,,,10,"FLOOD",4,,,
2,2,216,2,200,20033,3,5,5,2,0,0,0,0,0,2,2,1,,,,1,8,,,9,,,4,,8,,,
2,2,216,2,200,20034,4,3,2,3,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20035,5,5,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,4,,8,,,
2,2,216,2,200,20036,3,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20037,2,3,2,1,2,0,1,3,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20038,3,3,4,2,1,0,1,5,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20040,4,4,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,9,,,4,,8,,,
2,2,203,2,1224,20041,3,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20042,6,4,0,0,0,0,0,0,0,2,2,1,,,,1,6,,,7,,,1,,5,,,
2,2,203,2,1224,20043,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20044,0,0,0,1,1,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20045,4,4,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20046,0,0,0,0,0,0,2,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20047,1,3,2,3,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20048,2,1,0,0,2,0,0,0,0,3,4,1,,,,1,7,8,,,,,4,,5,,,
2,2,203,2,1224,20049,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20050,6,6,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,6,,,2,,4,,,
2,2,212,2,956,20051,0,2,2,1,1,0,0,0,0,3,3,1,,,,1,8,,,,,,5,,,,,
2,2,212,2,956,20052,1,1,2,1,0,0,2,1,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20053,3,6,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20054,3,3,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20055,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20056,6,6,0,0,0,0,0,0,0,2,2,1,,,,1,,,,7,,,4,,,,,
2,2,212,2,956,20057,3,5,0,0,0,0,0,0,0,2,2,1,,,,1,,,,8,,,1,,,,,
2,2,212,2,956,20058,3,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20059,1,2,1,2,0,1,0,0,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20060,0,0,1,1,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20061,0,1,0,2,1,1,0,0,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20062,2,2,2,1,0,0,0,1,0,2,2,1,,,,1,7,,,7,,,4,,,,,
2,2,210,2,1300,20063,4,3,5,3,2,0,0,1,3,2,2,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20064,3,3,2,0,0,0,0,0,0,3,2,1,,,,1,8,9,11,,,,5,,4,,9,
2,2,210,2,1300,20065,1,0,2,1,0,2,1,2,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20066,5,5,2,2,0,0,0,0,0,2,3,1,,,,1,9,10,11,7,8,,9,,4,,5,
6,24,2404,1,0,20067,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20068,0,0,2,2,3,0,3,1,1,2,2,1,,,,1,8,,,7,,,4,,,,,
2,2,210,2,1300,20069,4,4,0,0,0,0,0,0,0,2,2,1,,,,1,11,,,8,,,5,,10,"INSURGENT DESTROYED CROPS",,
2,2,210,2,1300,20070,5,7,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,10,"INSURGENT DESTROYED OUR GRAINS",,,,
2,2,214,2,898,20071,1,1,2,1,2,0,1,2,3,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20072,0,0,0,1,2,1,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20073,4,2,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,6,,7,,9,
2,2,214,2,898,20074,3,3,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20075,0,0,0,1,2,1,2,1,1,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20076,0,0,1,1,1,0,0,2,0,2,2,1,,,,1,8,,,7,,,2,,5,,,
2,2,214,2,898,20077,2,2,2,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20078,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20080,4,2,0,0,0,0,0,0,0,3,3,1,,,,1,12,,,4,,,5,,,,,
2,2,215,1,8,20081,0,0,1,0,2,1,0,2,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20082,2,4,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20083,0,0,1,1,1,0,0,2,2,2,2,1,,,,1,7,,,,,,4,,,,,
2,2,215,1,8,20084,3,2,0,0,0,0,0,0,0,2,2,1,,,,1,12,,,8,,,5,,,,,
2,2,215,1,8,20085,3,2,3,2,0,0,0,0,0,3,3,1,,,,1,7,8,,8,,,4,,5,,9,
2,2,215,1,8,20086,0,0,2,2,2,0,0,1,0,2,2,1,,,,1,7,,,8,,,4,,,,,
2,2,215,1,8,20087,1,2,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20088,2,3,0,0,0,0,0,0,0,2,2,1,,,,1,12,,,8,,,10,"INSURGENCY",,,,
2,2,215,1,8,20089,4,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20090,0,0,1,2,1,0,0,2,1,2,3,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20091,0,2,2,1,1,0,0,1,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20092,4,4,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20093,2,2,1,1,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20094,7,7,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,8,,,3,,10,"OLD AGE",,
2,2,207,2,1302,20095,2,2,2,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20096,1,0,2,1,0,2,0,1,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20097,3,3,0,0,0,0,0,0,0,2,4,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20098,1,1,2,1,2,1,3,1,2,3,3,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20099,4,3,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,8,,,3,,5,,,
2,2,207,2,1302,20100,5,5,0,0,0,0,0,0,0,3,4,1,,,,1,6,7,8,6,7,,5,,4,,9,
