"zone","state","lga","sector","ea","hhid","indiv","s3dq1a","s3dq1b","s3dq1c","s3dq1d","s3dq1e","s3dq1f","s3dq1g","s3dq1h","s3dq1i","s3dq1j","s3dq1k","s3dq1l","s3dq1m","s3dq1n","s3dq1o","s3dq1p","s3dq1q","s3dq1r","s3dq2a","s3dq2b","s3dq3a","s3dq3b","s3dq4","s3dq5","s3dq6","s3dq6b","s3dq7","s3dq8a","s3dq8b","s3dq9a","s3dq9b","s3dq10","s3dq11","s3dq12","s3dq12b","tracked_obs"
4,1,117,2,560,10072,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10072,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"CROP FARMING",9211,"AGRICULTURE",1,6,10,9,,2,,,,,,,,,0
4,1,117,2,560,10076,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10080,1,1,,,1,,,1,,,1,,,1,,,1,,,"CROP FARMING",9211,"AGRICULTURE",1,6,42,9,,1,"ANIMAL KEEPING ( GOAT )",9211,"AGRICULTURE",1,6,12,9,,0
4,1,117,2,560,10080,2,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,"CROP FARMING",9211,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
4,1,117,2,560,10080,3,2,1,,2,1,,2,1,,2,1,,2,1,,2,1,,"STONE ESCAVATION",7133,"MINING",8,6,60,9,,1,"CROP FARMING",9211,"AGRICULTURE",1,6,12,9,,0
4,1,117,2,560,10080,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10080,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10080,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10080,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10080,8,1,8,,1,8,,1,8,,1,8,,1,8,,1,8,,"CROP FARMING",9211,"AGRICULTURE",1,6,42,9,,1,"TRADING",3416,"BUYING & SELLING",47,6,60,9,,0
4,1,117,2,560,10080,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10104,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10104,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,1,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"SECURITY SERVICES",3449,"SECURITY SERVICES",80,6,60,1,,2,,,,,,,,,0
4,1,108,2,904,10109,2,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,"CROP FARMING",9211,"CROP FARMING",1,6,63,9,,1,"RESTAURANT SERVICES",8152,"SELLING OF FOOD /DRINKS",47,6,63,9,,0
4,1,108,2,904,10109,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"SHOP ATTENDANT",5220,"SHOP ATTENDANT",47,6,77,4,,2,,,,,,,,,0
4,1,108,2,904,10109,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10109,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20003,1,7,,,7,,,7,,,7,,,7,,,7,,,"OKADA RIDER",8321,"OKADA RIDER",49,6,56,9,,2,,,,,,,,,0
2,2,209,2,1040,20003,2,1,,,1,,,1,,,1,,,1,,,1,,,"KEEPING LIVESTOCK",6121,"REARING ANIMAL (DOMESTIC)",1,6,21,9,,2,,,,,,,,,0
2,2,209,2,1040,20003,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20003,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20003,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20005,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20005,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,26,9,,2,,,,,,,,,0
2,2,209,2,1040,20005,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,15,9,,2,,,,,,,,,0
2,2,209,2,1040,20005,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,28,9,,2,,,,,,,,,0
2,2,209,2,1040,20005,5,8,1,1,8,1,1,8,1,1,8,1,1,8,1,1,8,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,28,9,,1,"BUYING AND SELLING",3416,,47,,,,,0
2,2,209,2,1040,20005,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20005,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
