"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s8q9","s8q10","s8q11","tracked_obs"
4,1,117,2,560,10079,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10080,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10080,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10081,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10081,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10082,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10082,519,"Grass for thatching roof or ot",2,,,0
4,1,110,1,0,10083,518,"Woodpoles, bamboo",,,,0
4,1,110,1,0,10083,519,"Grass for thatching roof or ot",,,,0
4,1,110,2,76,10084,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10084,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10085,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10085,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10086,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10086,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10087,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10087,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10088,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10088,519,"Grass for thatching roof or ot",2,,,0
4,1,110,2,76,10089,518,"Woodpoles, bamboo",2,,,0
4,1,110,2,76,10089,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10091,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10091,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10092,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10092,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10094,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10094,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10096,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10096,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10097,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10097,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10098,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10098,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10099,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10099,519,"Grass for thatching roof or ot",2,,,0
4,1,105,2,638,10100,518,"Woodpoles, bamboo",2,,,0
4,1,105,2,638,10100,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10101,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10101,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10102,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10102,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10103,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10103,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10104,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10104,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10105,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10105,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10106,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10106,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10107,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10107,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10108,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10108,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10109,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10109,519,"Grass for thatching roof or ot",2,,,0
4,1,108,2,904,10110,518,"Woodpoles, bamboo",2,,,0
4,1,108,2,904,10110,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20001,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20001,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20002,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20002,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20003,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20003,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20004,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20004,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20005,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20005,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20006,518,"Woodpoles, bamboo",1,300,200,0
2,2,209,2,1040,20006,519,"Grass for thatching roof or ot",1,500,500,0
2,2,209,2,1040,20007,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20007,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20008,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20008,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20009,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20009,519,"Grass for thatching roof or ot",2,,,0
2,2,209,2,1040,20010,518,"Woodpoles, bamboo",2,,,0
2,2,209,2,1040,20010,519,"Grass for thatching roof or ot",1,1800,0,0
2,2,221,2,18,20011,518,"Woodpoles, bamboo",1,500,1000,0
2,2,221,2,18,20011,519,"Grass for thatching roof or ot",1,500,500,0
2,2,221,2,18,20012,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20012,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20013,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20013,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20014,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20014,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20015,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20015,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20016,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20016,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20017,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20017,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20018,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20018,519,"Grass for thatching roof or ot",2,,,0
2,2,221,2,18,20019,518,"Woodpoles, bamboo",2,,,0
2,2,221,2,18,20019,519,"Grass for thatching roof or ot",1,2400,,0
2,2,221,2,18,20020,518,"Woodpoles, bamboo",1,1500,500,0
2,2,221,2,18,20020,519,"Grass for thatching roof or ot",1,600,400,0
2,2,201,2,60,20021,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20021,519,"Grass for thatching roof or ot",2,,,0
2,2,201,2,60,20022,518,"Woodpoles, bamboo",1,300,,0
2,2,201,2,60,20022,519,"Grass for thatching roof or ot",1,200,500,0
2,2,201,2,60,20023,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20023,519,"Grass for thatching roof or ot",2,,,0
2,2,201,2,60,20024,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20024,519,"Grass for thatching roof or ot",2,,,0
2,2,201,2,60,20025,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20025,519,"Grass for thatching roof or ot",1,8000,0,0
2,2,201,2,60,20026,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20026,519,"Grass for thatching roof or ot",2,,,0
2,2,201,2,60,20027,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20027,519,"Grass for thatching roof or ot",2,,,0
2,2,201,2,60,20028,518,"Woodpoles, bamboo",1,2100,500,0
2,2,201,2,60,20028,519,"Grass for thatching roof or ot",1,2100,1000,0
2,2,201,2,60,20029,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20029,519,"Grass for thatching roof or ot",2,,,0
2,2,201,2,60,20030,518,"Woodpoles, bamboo",2,,,0
2,2,201,2,60,20030,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20031,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20031,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20032,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20032,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20033,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20033,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20034,518,"Woodpoles, bamboo",1,1500,1500,0
2,2,216,2,200,20034,519,"Grass for thatching roof or ot",1,1500,1500,0
2,2,216,2,200,20035,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20035,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20036,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20036,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20037,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20037,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20038,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20038,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20039,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20039,519,"Grass for thatching roof or ot",2,,,0
2,2,216,2,200,20040,518,"Woodpoles, bamboo",2,,,0
2,2,216,2,200,20040,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20041,518,"Woodpoles, bamboo",1,600,200,0
2,2,203,2,1224,20041,519,"Grass for thatching roof or ot",1,300,400,0
2,2,203,2,1224,20042,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20042,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20043,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20043,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20044,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20044,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20045,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20045,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20046,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20046,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20047,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20047,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20048,518,"Woodpoles, bamboo",1,1000,200,0
